Datetime,Open,High,Low,Close,Volume,atr,rrs_m5,rrs_d1
2017-01-03 10:40:00,11.41,11.45,11.4,11.44,456348,0.11,0.756,
2017-01-03 10:45:00,11.44,11.45,11.36,11.36,618582,0.11,0.498,
2017-01-03 10:50:00,11.37,11.4,11.32,11.34,785892,0.11,-0.026,
2017-01-03 10:55:00,11.34,11.34,11.25,11.26,1040906,0.11,0.701,
2017-01-03 11:00:00,11.25,11.29,11.23,11.28,713160,0.1,1.257,
2017-01-03 11:05:00,11.27,11.38,11.27,11.38,911095,0.1,2.62,
2017-01-03 11:10:00,11.37,11.37,11.31,11.32,474390,0.1,1.631,
2017-01-03 11:15:00,11.32,11.34,11.3,11.31,403850,0.1,2.877,
2017-01-03 11:20:00,11.31,11.4,11.31,11.4,477979,0.1,2.791,
2017-01-03 11:25:00,11.39,11.4,11.33,11.34,542234,0.09,3.165,
2017-01-03 11:30:00,11.34,11.39,11.34,11.38,291634,0.09,2.948,
2017-01-03 11:35:00,11.38,11.4,11.32,11.33,405883,0.09,3.258,
2017-01-03 11:40:00,11.32,11.34,11.26,11.28,729700,0.09,2.83,
2017-01-03 11:45:00,11.28,11.32,11.27,11.29,426199,0.09,2.466,
2017-01-03 11:50:00,11.29,11.33,11.27,11.33,587380,0.09,2.534,
2017-01-03 11:55:00,11.32,11.33,11.29,11.32,425051,0.08,1.718,
2017-01-03 12:00:00,11.32,11.32,11.25,11.26,606549,0.08,0.759,
2017-01-03 12:05:00,11.26,11.28,11.2,11.24,714279,0.08,-0.222,
2017-01-03 12:10:00,11.24,11.27,11.22,11.24,422648,0.08,0.279,
2017-01-03 12:15:00,11.23,11.25,11.2,11.22,384375,0.08,-0.312,
2017-01-03 12:20:00,11.22,11.22,11.2,11.22,294474,0.07,-0.134,
2017-01-03 12:25:00,11.22,11.24,11.18,11.2,404799,0.07,-0.842,
2017-01-03 12:30:00,11.2,11.2,11.15,11.19,736568,0.07,-1.327,
2017-01-03 12:35:00,11.2,11.21,11.17,11.18,202879,0.07,-1.637,
2017-01-03 12:40:00,11.18,11.19,11.13,11.13,397990,0.07,-2.049,
2017-01-03 12:45:00,11.12,11.18,11.11,11.18,547156,0.07,-1.636,
2017-01-03 12:50:00,11.19,11.21,11.16,11.19,396503,0.07,-1.303,
2017-01-03 12:55:00,11.19,11.26,11.19,11.24,531931,0.07,-0.502,
2017-01-03 13:00:00,11.24,11.25,11.21,11.23,319877,0.06,0.217,
2017-01-03 13:05:00,11.23,11.24,11.18,11.18,289311,0.06,0.198,
2017-01-03 13:10:00,11.18,11.21,11.18,11.21,249550,0.06,0.483,
2017-01-03 13:15:00,11.21,11.23,11.2,11.23,279945,0.06,0.581,
2017-01-03 13:20:00,11.23,11.27,11.22,11.26,417264,0.06,0.024,
