Datetime,Open,High,Low,Close,Volume,atr,rrs_m5,rrs_d1
2017-01-03 10:40:00,37.74,37.78,37.73,37.76,413060,0.12,-0.329,
2017-01-03 10:45:00,37.75,37.78,37.71,37.72,599340,0.12,-0.094,
2017-01-03 10:50:00,37.71,37.74,37.63,37.66,1149360,0.12,-0.785,
2017-01-03 10:55:00,37.67,37.68,37.6,37.64,806120,0.11,0.896,
2017-01-03 11:00:00,37.63,37.64,37.57,37.62,1077880,0.11,1.751,
2017-01-03 11:05:00,37.61,37.63,37.58,37.6,584480,0.11,1.829,
2017-01-03 11:10:00,37.6,37.62,37.58,37.61,644920,0.1,2.253,
2017-01-03 11:15:00,37.61,37.62,37.56,37.56,685320,0.1,3.009,
2017-01-03 11:20:00,37.57,37.59,37.56,37.57,719700,0.09,1.454,
2017-01-03 11:25:00,37.57,37.58,37.53,37.56,609100,0.09,1.842,
2017-01-03 11:30:00,37.54,37.63,37.53,37.59,836380,0.09,1.427,
2017-01-03 11:35:00,37.6,37.63,37.53,37.57,525960,0.09,2.063,
2017-01-03 11:40:00,37.55,37.55,37.43,37.46,1510980,0.09,1.105,
2017-01-03 11:45:00,37.47,37.51,37.43,37.49,762780,0.09,0.794,
2017-01-03 11:50:00,37.49,37.54,37.49,37.53,599760,0.09,1.312,
2017-01-03 11:55:00,37.52,37.54,37.51,37.53,455800,0.09,-0.015,
2017-01-03 12:00:00,37.54,37.56,37.5,37.52,563360,0.08,-0.157,
2017-01-03 12:05:00,37.52,37.52,37.48,37.51,493180,0.08,0.188,
2017-01-03 12:10:00,37.52,37.54,37.49,37.51,375480,0.08,-0.087,
2017-01-03 12:15:00,37.51,37.53,37.48,37.49,299320,0.08,-0.202,
2017-01-03 12:20:00,37.48,37.49,37.41,37.44,737940,0.08,0.236,
2017-01-03 12:25:00,37.44,37.47,37.43,37.46,603940,0.07,-0.428,
2017-01-03 12:30:00,37.46,37.5,37.45,37.5,461640,0.07,-0.174,
2017-01-03 12:35:00,37.49,37.49,37.43,37.43,519420,0.07,-1.641,
2017-01-03 12:40:00,37.42,37.46,37.42,37.43,628300,0.07,-0.461,
2017-01-03 12:45:00,37.42,37.44,37.39,37.41,1033920,0.07,-1.289,
2017-01-03 12:50:00,37.42,37.44,37.4,37.44,300200,0.07,-0.716,
2017-01-03 12:55:00,37.45,37.49,37.45,37.47,432360,0.07,-0.294,
2017-01-03 13:00:00,37.48,37.52,37.48,37.5,473820,0.06,0.328,
2017-01-03 13:05:00,37.5,37.51,37.48,37.5,297200,0.06,0.914,
2017-01-03 13:10:00,37.48,37.53,37.48,37.51,267960,0.06,0.925,
2017-01-03 13:15:00,37.51,37.54,37.49,37.53,411020,0.06,1.097,
2017-01-03 13:20:00,37.54,37.6,37.54,37.58,652660,0.06,1.758,
2017-01-03 13:25:00,37.59,37.59,37.51,37.51,450980,0.06,0.613,
2017-01-03 13:30:00,37.51,37.55,37.51,37.52,366900,0.06,0.502,
2017-01-03 13:35:00,37.52,37.53,37.48,37.49,1050500,0.06,0.822,
2017-01-03 13:40:00,37.49,37.49,37.42,37.44,1073000,0.06,-0.391,
2017-01-03 13:45:00,37.43,37.49,37.43,37.46,938420,0.06,2.04,
2017-01-03 13:50:00,37.45,37.49,37.45,37.47,193800,0.06,0.747,
2017-01-03 13:55:00,37.47,37.47,37.43,37.44,358740,0.06,0.801,
2017-01-03 14:00:00,37.44,37.46,37.42,37.45,988860,0.06,-0.689,
2017-01-03 14:05:00,37.45,37.47,37.45,37.46,374740,0.05,-0.977,
2017-01-03 14:10:00,37.47,37.48,37.46,37.47,311900,0.05,-1.158,
2017-01-03 14:15:00,37.47,37.48,37.42,37.43,1058400,0.05,-1.88,
2017-01-03 14:20:00,37.43,37.44,37.4,37.42,439640,0.05,-1.813,
2017-01-03 14:25:00,37.42,37.43,37.41,37.42,560220,0.05,-0.483,
2017-01-03 14:30:00,37.42,37.45,37.42,37.44,316960,0.05,0.099,
2017-01-03 14:35:00,37.43,37.47,37.43,37.46,349380,0.05,0.08,
2017-01-03 14:40:00,37.45,37.47,37.43,37.44,356160,0.05,-1.129,
2017-01-03 14:45:00,37.45,37.45,37.43,37.44,279840,0.04,-2.296,
2017-01-03 14:50:00,37.44,37.45,37.41,37.44,564920,0.04,-2.928,
2017-01-03 14:55:00,37.44,37.48,37.43,37.48,689660,0.04,-1.397,
2017-01-03 15:00:00,37.47,37.5,37.47,37.48,364300,0.04,-2.012,
2017-01-03 15:05:00,37.48,37.48,37.44,37.45,543760,0.04,-3.031,
2017-01-03 15:10:00,37.45,37.48,37.44,37.47,489820,0.04,-2.452,
2017-01-03 15:15:00,37.47,37.49,37.46,37.47,492760,0.04,-1.416,
2017-01-03 15:20:00,37.48,37.48,37.42,37.44,562020,0.04,-0.826,
2017-01-03 15:25:00,37.43,37.46,37.43,37.43,587440,0.04,-1.787,
2017-01-03 15:30:00,37.43,37.47,37.4,37.46,774540,0.04,-2.457,
2017-01-03 15:35:00,37.46,37.5,37.45,37.5,906380,0.04,-3.213,
2017-01-03 15:40:00,37.51,37.53,37.49,37.5,928400,0.04,-1.767,
2017-01-03 15:45:00,37.51,37.58,37.51,37.58,1048100,0.05,-1.185,
2017-01-03 15:50:00,37.59,37.66,37.58,37.65,2261920,0.05,0.433,
2017-01-03 15:55:00,37.65,37.68,37.61,37.67,4448220,0.05,-1.59,
2017-01-04 09:30:00,37.92,37.98,37.87,37.92,3423480,0.07,-1.368,
2017-01-04 09:35:00,37.91,37.92,37.78,37.85,1407640,0.07,-0.659,
2017-01-04 09:40:00,37.83,37.92,37.81,37.83,989800,0.08,-1.039,
2017-01-04 09:45:00,37.84,37.9,37.84,37.86,703320,0.08,-1.419,
2017-01-04 09:50:00,37.87,37.92,37.85,37.86,980300,0.08,-2.308,
2017-01-04 09:55:00,37.88,37.89,37.77,37.79,1215260,0.08,-2.574,
2017-01-04 10:00:00,37.79,37.86,37.79,37.85,663480,0.08,-2.928,
2017-01-04 10:05:00,37.85,37.85,37.78,37.78,870020,0.08,-2.988,
2017-01-04 10:10:00,37.78,37.79,37.74,37.76,881520,0.08,-2.707,
2017-01-04 10:15:00,37.76,37.77,37.71,37.74,777800,0.07,-3.001,
2017-01-04 10:20:00,37.74,37.77,37.71,37.75,602040,0.07,-3.466,
2017-01-04 10:25:00,37.76,37.8,37.74,37.75,681700,0.07,-1.874,
2017-01-04 10:30:00,37.75,37.78,37.73,37.73,706260,0.07,-1.231,
2017-01-04 10:35:00,37.74,37.77,37.72,37.76,420700,0.07,-1.402,
2017-01-04 10:40:00,37.77,37.8,37.76,37.76,446780,0.07,-1.153,
2017-01-04 10:45:00,37.77,37.83,37.77,37.83,670200,0.07,-0.874,
2017-01-04 10:50:00,37.83,37.85,37.8,37.83,722880,0.07,-0.281,
2017-01-04 10:55:00,37.82,37.85,37.82,37.84,294760,0.06,0.414,
2017-01-04 11:00:00,37.85,37.86,37.83,37.86,644600,0.06,0.514,
2017-01-04 11:05:00,37.87,37.9,37.87,37.89,915700,0.06,1.508,
2017-01-04 11:10:00,37.88,37.89,37.84,37.85,599320,0.06,0.53,
2017-01-04 11:15:00,37.85,37.85,37.8,37.82,369140,0.06,0.656,
2017-01-04 11:20:00,37.81,37.85,37.8,37.83,244960,0.06,0.802,
2017-01-04 11:25:00,37.83,37.86,37.82,37.84,305920,0.06,-1.389,
2017-01-04 11:30:00,37.84,37.85,37.83,37.83,351400,0.05,-1.232,
2017-01-04 11:35:00,37.83,37.84,37.81,37.83,396300,0.05,-1.315,
2017-01-04 11:40:00,37.83,37.84,37.8,37.83,411360,0.05,-1.245,
2017-01-04 11:45:00,37.83,37.86,37.82,37.83,551500,0.05,-1.548,
2017-01-04 11:50:00,37.84,37.85,37.82,37.84,412020,0.05,-2.014,
2017-01-04 11:55:00,37.84,37.88,37.81,37.86,656280,0.05,-1.892,
2017-01-04 12:00:00,37.86,37.9,37.86,37.89,480180,0.05,-1.94,
2017-01-04 12:05:00,37.89,37.9,37.85,37.85,370460,0.05,-3.379,
2017-01-04 12:10:00,37.85,37.86,37.84,37.86,441680,0.05,-2.262,
2017-01-04 12:15:00,37.85,37.89,37.82,37.85,654700,0.05,-1.859,
2017-01-04 12:20:00,37.85,37.85,37.82,37.83,191940,0.05,-2.909,
2017-01-04 12:25:00,37.83,37.84,37.8,37.82,318800,0.05,-1.723,
