Datetime,Open,High,Low,Close,Volume,atr,rrs_m5,rrs_d1
2017-01-03 10:40:00,1.02,1.02,1.02,1.02,5000,0.01,0.657,
2017-01-03 10:45:00,1.02,1.02,1.02,1.02,500,0.01,-1.566,
2017-01-03 10:50:00,1.02,1.03,1.02,1.03,2600,0.01,-0.417,
2017-01-03 10:55:00,1.02,1.02,1.02,1.02,9500,0.01,0.215,
2017-01-03 11:00:00,1.02,1.02,1.02,1.02,10106,0.01,1.175,
2017-01-03 11:05:00,1.02,1.03,1.02,1.03,401,0.01,5.384,
2017-01-03 11:10:00,1.02,1.02,1.02,1.02,100,0.01,3.609,
2017-01-03 11:15:00,1.02,1.03,1.02,1.02,8358,0.01,4.534,
2017-01-03 11:20:00,1.02,1.03,1.02,1.02,1461,0.01,3.599,
2017-01-03 11:25:00,1.02,1.02,1.02,1.02,300,0.01,4.224,
2017-01-03 11:30:00,1.02,1.03,1.02,1.02,11600,0.01,3.499,
2017-01-03 11:35:00,1.02,1.03,1.02,1.02,17288,0.01,2.697,
2017-01-03 11:40:00,1.02,1.02,1.01,1.02,2600,0.01,4.194,
2017-01-03 11:45:00,1.02,1.02,1.01,1.02,6608,0.01,3.079,
2017-01-03 11:50:00,1.02,1.02,1.02,1.02,500,0.01,1.461,
2017-01-03 11:55:00,1.01,1.02,1.01,1.02,1810,0.01,1.145,
2017-01-03 12:00:00,1.01,1.02,1.01,1.01,3725,0.01,-0.281,
2017-01-03 12:05:00,1.02,1.02,1.01,1.02,5037,0.01,0.005,
2017-01-03 12:10:00,1.02,1.02,1.01,1.02,1300,0.01,1.117,
2017-01-03 12:15:00,1.01,1.02,1.01,1.01,1100,0.01,-0.507,
2017-01-03 12:25:00,1.02,1.02,1.01,1.02,1100,0.01,0.854,
2017-01-03 12:30:00,1.02,1.02,1.01,1.01,1200,0.01,-0.116,
2017-01-03 12:35:00,1.01,1.02,1.01,1.02,13492,0.01,0.283,
2017-01-03 12:45:00,1.01,1.02,1.01,1.01,10433,0.01,-1.262,
2017-01-03 12:50:00,1.02,1.02,1.01,1.01,14100,0.01,-0.503,
2017-01-03 12:55:00,1.02,1.02,1.02,1.02,1000,0.01,0.618,
2017-01-03 13:00:00,1.02,1.02,1.02,1.02,1015,0.01,0.638,
2017-01-03 13:05:00,1.02,1.02,1.02,1.02,8413,0.01,1.072,
2017-01-03 13:10:00,1.02,1.02,1.01,1.02,800,0.01,2.221,
2017-01-03 13:15:00,1.02,1.02,1.01,1.02,800,0.01,0.426,
2017-01-03 13:20:00,1.02,1.02,1.01,1.01,800,0.01,-1.859,
2017-01-03 13:25:00,1.02,1.02,1.02,1.02,1783,0.01,0.99,
2017-01-03 13:30:00,1.02,1.02,1.01,1.02,900,0.01,0.177,
2017-01-03 13:35:00,1.02,1.02,1.01,1.02,908,0.01,0.99,
2017-01-03 13:40:00,1.02,1.02,1.01,1.01,6525,0.01,-1.718,
2017-01-03 13:45:00,1.01,1.02,1.01,1.02,900,0.01,2.345,
2017-01-03 13:50:00,1.02,1.02,1.02,1.02,11400,0.01,1.374,
2017-01-03 13:55:00,1.02,1.02,1.02,1.02,2730,0.01,1.317,
2017-01-03 14:00:00,1.02,1.02,1.02,1.02,1000,0.01,0.194,
2017-01-03 14:05:00,1.02,1.02,1.02,1.02,5188,0.01,-0.253,
2017-01-03 14:10:00,1.02,1.02,1.01,1.02,860,0.01,-0.393,
2017-01-03 14:15:00,1.02,1.02,1.01,1.02,1505,0.01,0.135,
2017-01-03 14:20:00,1.02,1.02,1.01,1.02,1400,0.01,2.814,
2017-01-03 14:25:00,1.02,1.02,1.01,1.02,1501,0.01,1.331,
2017-01-03 14:30:00,1.02,1.02,1.02,1.02,800,0.01,1.796,
2017-01-03 14:35:00,1.02,1.02,1.01,1.02,1576,0.01,0.736,
2017-01-03 14:40:00,1.02,1.02,1.01,1.02,900,0.01,0.297,
2017-01-03 14:45:00,1.02,1.02,1.01,1.02,1328,0.01,-1.849,
2017-01-03 14:50:00,1.02,1.02,1.02,1.02,812,0.01,-2.226,
2017-01-03 14:55:00,1.02,1.02,1.02,1.02,810,0.01,-2.338,
2017-01-03 15:00:00,1.02,1.02,1.01,1.02,1341,0.01,-2.708,
2017-01-03 15:05:00,1.02,1.02,1.01,1.02,3255,0.01,-2.793,
2017-01-03 15:10:00,1.02,1.02,1.02,1.02,1100,0.01,-2.452,
2017-01-03 15:15:00,1.02,1.02,1.01,1.02,1100,0.01,-2.375,
2017-01-03 15:20:00,1.02,1.02,1.02,1.02,2401,0.01,-1.317,
2017-01-03 15:25:00,1.02,1.04,1.02,1.04,60640,0.01,1.272,
2017-01-03 15:30:00,1.04,1.04,1.04,1.04,5900,0.01,-0.175,
2017-01-03 15:35:00,1.04,1.04,1.04,1.04,12500,0.01,-1.11,
2017-01-03 15:40:00,1.04,1.04,1.03,1.04,6800,0.01,0.168,
2017-01-03 15:45:00,1.04,1.04,1.03,1.04,9400,0.01,-1.252,
2017-01-03 15:50:00,1.04,1.04,1.03,1.04,24751,0.01,-1.061,
2017-01-03 15:55:00,1.04,1.05,1.03,1.05,50164,0.01,-1.117,
2017-01-04 09:30:00,1.09,1.1,1.08,1.09,67552,0.01,-1.255,
2017-01-04 09:35:00,1.09,1.09,1.05,1.05,30686,0.01,-3.55,
2017-01-04 09:40:00,1.05,1.09,1.05,1.09,23350,0.01,-0.599,
2017-01-04 09:45:00,1.09,1.1,1.08,1.09,8096,0.02,-1.879,
2017-01-04 09:55:00,1.09,1.09,1.08,1.08,4411,0.01,-3.459,
