Datetime,Open,High,Low,Close,Volume,atr,rrs_m5,rrs_d1
2017-01-03 10:40:00,40.4,40.45,40.39,40.44,301360,0.12,1.055,
2017-01-03 10:45:00,40.44,40.45,40.36,40.36,423300,0.12,0.085,
2017-01-03 10:50:00,40.37,40.38,40.33,40.33,441360,0.11,-0.017,
2017-01-03 10:55:00,40.33,40.34,40.25,40.3,528040,0.11,1.284,
2017-01-03 11:00:00,40.3,40.3,40.25,40.3,408380,0.11,1.914,
2017-01-03 11:05:00,40.28,40.35,40.28,40.33,284840,0.11,2.758,
2017-01-03 11:10:00,40.32,40.33,40.3,40.3,276840,0.1,2.348,
2017-01-03 11:15:00,40.3,40.33,40.26,40.26,335000,0.1,2.959,
2017-01-03 11:20:00,40.28,40.33,40.27,40.3,324900,0.1,2.037,
2017-01-03 11:25:00,40.3,40.34,40.26,40.34,642360,0.1,3.412,
2017-01-03 11:30:00,40.34,40.42,40.33,40.39,729960,0.09,3.415,
2017-01-03 11:35:00,40.38,40.4,40.33,40.34,702560,0.09,3.58,
2017-01-03 11:40:00,40.34,40.36,40.25,40.29,360200,0.09,2.869,
2017-01-03 11:45:00,40.26,40.34,40.25,40.33,205440,0.09,2.813,
2017-01-03 11:50:00,40.34,40.38,40.31,40.37,307480,0.09,2.986,
2017-01-03 11:55:00,40.37,40.42,40.37,40.42,432320,0.09,2.26,
2017-01-03 12:00:00,40.44,40.45,40.35,40.37,603500,0.09,1.642,
2017-01-03 12:05:00,40.36,40.39,40.32,40.37,228040,0.09,1.613,
2017-01-03 12:10:00,40.37,40.42,40.37,40.4,200300,0.09,2.118,
2017-01-03 12:15:00,40.4,40.42,40.37,40.41,359760,0.08,2.237,
2017-01-03 12:20:00,40.42,40.42,40.37,40.39,139780,0.08,2.886,
2017-01-03 12:25:00,40.39,40.43,40.38,40.42,167020,0.08,1.759,
2017-01-03 12:30:00,40.43,40.43,40.38,40.43,245880,0.08,1.498,
2017-01-03 12:35:00,40.42,40.42,40.36,40.37,502640,0.08,0.648,
2017-01-03 12:40:00,40.37,40.41,40.33,40.36,525540,0.08,0.814,
2017-01-03 12:45:00,40.34,40.41,40.34,40.41,227040,0.08,0.842,
2017-01-03 12:50:00,40.42,40.43,40.38,40.4,175360,0.07,0.978,
2017-01-03 12:55:00,40.41,40.44,40.4,40.43,171260,0.07,0.746,
2017-01-03 13:00:00,40.44,40.44,40.41,40.42,292060,0.07,1.309,
2017-01-03 13:05:00,40.42,40.42,40.36,40.4,106920,0.07,1.495,
2017-01-03 13:10:00,40.39,40.42,40.36,40.41,127840,0.07,1.068,
2017-01-03 13:15:00,40.4,40.41,40.38,40.41,136220,0.06,0.426,
2017-01-03 13:20:00,40.41,40.44,40.41,40.43,220160,0.06,-0.014,
2017-01-03 13:25:00,40.43,40.43,40.4,40.41,150820,0.06,-0.383,
2017-01-03 13:30:00,40.42,40.45,40.42,40.43,336660,0.06,0.177,
2017-01-03 13:35:00,40.43,40.43,40.35,40.35,173640,0.06,-0.526,
2017-01-03 13:40:00,40.35,40.35,40.3,40.31,163500,0.06,-1.391,
2017-01-03 13:45:00,40.31,40.34,40.29,40.3,307540,0.06,-0.649,
2017-01-03 13:50:00,40.3,40.34,40.28,40.29,409640,0.06,-1.632,
2017-01-03 13:55:00,40.28,40.29,40.25,40.26,176600,0.06,-1.578,
2017-01-03 14:00:00,40.26,40.31,40.26,40.29,191260,0.06,-2.08,
2017-01-03 14:05:00,40.27,40.29,40.27,40.28,194920,0.05,-2.374,
2017-01-03 14:10:00,40.28,40.31,40.28,40.31,269560,0.05,-2.262,
2017-01-03 14:15:00,40.31,40.31,40.27,40.27,213080,0.05,-2.58,
2017-01-03 14:20:00,40.27,40.28,40.2,40.22,285600,0.05,-2.795,
2017-01-03 14:25:00,40.23,40.23,40.18,40.19,214600,0.05,-2.816,
2017-01-03 14:30:00,40.2,40.25,40.17,40.24,618240,0.06,-1.803,
2017-01-03 14:35:00,40.23,40.26,40.21,40.23,299780,0.05,-1.444,
2017-01-03 14:40:00,40.24,40.29,40.22,40.25,356200,0.06,-2.227,
2017-01-03 14:45:00,40.26,40.29,40.25,40.27,551460,0.05,-2.386,
2017-01-03 14:50:00,40.28,40.29,40.25,40.28,292660,0.05,-2.41,
2017-01-03 14:55:00,40.27,40.29,40.25,40.27,197880,0.05,-2.151,
2017-01-03 15:00:00,40.26,40.31,40.25,40.3,347880,0.05,-2.517,
2017-01-03 15:05:00,40.3,40.32,40.28,40.29,383140,0.05,-2.604,
2017-01-03 15:10:00,40.3,40.3,40.28,40.29,158400,0.05,-2.837,
2017-01-03 15:15:00,40.28,40.31,40.26,40.26,310920,0.05,-2.578,
2017-01-03 15:20:00,40.27,40.27,40.22,40.23,392460,0.05,-1.113,
2017-01-03 15:25:00,40.23,40.26,40.2,40.24,326660,0.05,-1.01,
2017-01-03 15:30:00,40.22,40.27,40.2,40.26,466400,0.05,-2.543,
2017-01-03 15:35:00,40.26,40.32,40.25,40.32,727600,0.05,-2.392,
2017-01-03 15:40:00,40.33,40.35,40.3,40.31,590440,0.05,-1.999,
2017-01-03 15:45:00,40.31,40.33,40.31,40.32,741980,0.05,-3.434,
2017-01-03 15:50:00,40.32,40.39,40.32,40.39,973640,0.05,-1.86,
2017-01-03 15:55:00,40.39,40.4,40.35,40.4,2401980,0.05,-2.915,
2017-01-04 09:30:00,40.49,40.65,40.42,40.65,1709100,0.07,-3.181,
2017-01-04 09:35:00,40.64,40.67,40.55,40.59,740500,0.07,-1.754,
2017-01-04 09:40:00,40.58,40.65,40.5,40.53,692020,0.08,-2.321,
2017-01-04 09:45:00,40.53,40.58,40.48,40.49,508860,0.08,-3.318,
2017-01-04 09:50:00,40.5,40.52,40.4,40.4,540460,0.08,-5.442,
2017-01-04 09:55:00,40.42,40.42,40.28,40.31,675280,0.08,-6.279,
2017-01-04 10:00:00,40.3,40.39,40.3,40.37,527120,0.09,-6.403,
2017-01-04 10:05:00,40.38,40.44,40.34,40.36,1043760,0.09,-5.966,
2017-01-04 10:10:00,40.37,40.39,40.36,40.38,171620,0.08,-5.149,
2017-01-04 10:15:00,40.38,40.38,40.3,40.34,275380,0.08,-4.813,
2017-01-04 10:20:00,40.35,40.35,40.28,40.31,281640,0.08,-5.719,
2017-01-04 10:25:00,40.31,40.31,40.25,40.26,540120,0.08,-4.62,
2017-01-04 10:30:00,40.23,40.25,40.21,40.23,417340,0.08,-3.831,
2017-01-04 10:35:00,40.24,40.25,40.22,40.24,361380,0.07,-4.602,
2017-01-04 10:40:00,40.25,40.29,40.25,40.29,404880,0.07,-3.372,
2017-01-04 10:45:00,40.27,40.33,40.27,40.29,520060,0.07,-3.187,
2017-01-04 10:50:00,40.29,40.34,40.29,40.32,248020,0.07,-0.958,
2017-01-04 10:55:00,40.32,40.33,40.31,40.32,189720,0.07,-0.197,
2017-01-04 11:00:00,40.32,40.35,40.3,40.33,259840,0.07,-0.254,
2017-01-04 11:05:00,40.32,40.37,40.32,40.33,276020,0.06,-0.776,
2017-01-04 11:10:00,40.33,40.33,40.3,40.31,247600,0.06,-2.109,
2017-01-04 11:15:00,40.3,40.33,40.27,40.28,227200,0.06,-1.716,
2017-01-04 11:20:00,40.29,40.3,40.26,40.28,174700,0.06,-1.088,
2017-01-04 11:25:00,40.27,40.3,40.25,40.29,228480,0.06,-2.462,
2017-01-04 11:30:00,40.29,40.3,40.27,40.29,240120,0.06,-2.001,
2017-01-04 11:35:00,40.29,40.34,40.28,40.33,699160,0.06,-1.03,
2017-01-04 11:40:00,40.34,40.35,40.32,40.32,395740,0.06,-2.093,
2017-01-04 11:45:00,40.32,40.35,40.3,40.3,207400,0.06,-1.362,
2017-01-04 11:50:00,40.29,40.32,40.28,40.32,206360,0.05,-2.219,
2017-01-04 11:55:00,40.31,40.35,40.31,40.33,292100,0.05,-2.123,
2017-01-04 12:00:00,40.34,40.35,40.31,40.35,155780,0.05,-2.159,
2017-01-04 12:05:00,40.35,40.35,40.3,40.33,386540,0.05,-2.553,
2017-01-04 12:10:00,40.32,40.35,40.32,40.34,266800,0.05,-1.872,
2017-01-04 12:15:00,40.35,40.35,40.31,40.35,376020,0.05,-1.07,
2017-01-04 12:20:00,40.35,40.39,40.35,40.37,191360,0.05,-1.031,
2017-01-04 12:25:00,40.38,40.39,40.34,40.34,203040,0.05,-0.236,
2017-01-04 12:30:00,40.34,40.38,40.33,40.37,102320,0.05,1.594,
2017-01-04 12:35:00,40.37,40.4,40.36,40.39,347080,0.05,1.353,
2017-01-04 12:40:00,40.4,40.41,40.38,40.38,264480,0.05,0.572,
2017-01-04 12:45:00,40.38,40.41,40.38,40.41,87540,0.05,1.483,
2017-01-04 12:50:00,40.41,40.42,40.39,40.39,147120,0.04,1.687,
2017-01-04 12:55:00,40.4,40.4,40.39,40.4,79860,0.04,1.961,
2017-01-04 13:00:00,40.39,40.41,40.39,40.39,218900,0.04,2.394,
2017-01-04 13:05:00,40.39,40.41,40.38,40.4,114220,0.04,3.59,
2017-01-04 13:10:00,40.4,40.44,40.4,40.44,228240,0.04,3.707,
2017-01-04 13:15:00,40.44,40.45,40.43,40.44,427900,0.04,3.086,
2017-01-04 13:20:00,40.44,40.44,40.4,40.4,187660,0.04,1.819,
2017-01-04 13:25:00,40.41,40.44,40.4,40.43,279560,0.04,2.313,
2017-01-04 13:30:00,40.43,40.45,40.41,40.43,277240,0.04,0.833,
2017-01-04 13:35:00,40.45,40.45,40.42,40.42,162860,0.04,0.131,
2017-01-04 13:40:00,40.42,40.44,40.4,40.43,223600,0.04,1.629,
