Datetime,Open,High,Low,Close,Volume,atr,rrs_m5,rrs_d1
2017-01-03 10:40:00,134.78,134.83,134.69,134.72,41644,0.26,-1.713,
2017-01-03 10:45:00,134.71,134.85,134.66,134.71,58542,0.25,-1.336,
2017-01-03 10:50:00,134.7,134.72,134.53,134.6,82315,0.25,-0.873,
2017-01-03 10:55:00,134.59,134.7,134.48,134.64,106730,0.24,1.11,
2017-01-03 11:00:00,134.63,134.7,134.49,134.63,64596,0.24,1.915,
2017-01-03 11:05:00,134.63,134.72,134.55,134.64,82494,0.24,2.194,
2017-01-03 11:10:00,134.63,134.71,134.57,134.68,60426,0.23,2.444,
2017-01-03 11:15:00,134.67,134.69,134.33,134.35,104525,0.24,2.75,
2017-01-03 11:20:00,134.37,134.41,134.22,134.22,41303,0.24,1.5,
2017-01-03 11:25:00,134.22,134.24,134.1,134.18,51067,0.23,1.692,
2017-01-03 11:30:00,134.16,134.46,134.16,134.44,89959,0.23,1.69,
2017-01-03 11:35:00,134.44,134.58,134.34,134.5,106946,0.23,2.759,
2017-01-03 11:40:00,134.5,134.54,134.19,134.32,105463,0.24,2.636,
2017-01-03 11:45:00,134.3,134.4,134.24,134.29,21920,0.24,1.49,
2017-01-03 11:50:00,134.31,134.41,134.28,134.36,119073,0.23,1.687,
2017-01-03 11:55:00,134.36,134.36,134.12,134.27,42594,0.23,-0.364,
2017-01-03 12:00:00,134.29,134.31,134.04,134.07,36570,0.23,-1.327,
2017-01-03 12:05:00,134.06,134.23,133.99,134.22,24558,0.23,-0.479,
2017-01-03 12:10:00,134.21,134.34,134.21,134.22,27441,0.23,-0.751,
2017-01-03 12:15:00,134.23,134.3,134.19,134.21,21644,0.22,0.078,
2017-01-03 12:20:00,134.2,134.24,134.12,134.23,37687,0.21,1.951,
2017-01-03 12:25:00,134.23,134.26,134.18,134.19,25231,0.2,0.9,
2017-01-03 12:30:00,134.19,134.27,134.17,134.22,22406,0.19,-0.04,
2017-01-03 12:35:00,134.22,134.22,134.08,134.1,30191,0.19,-1.748,
2017-01-03 12:40:00,134.11,134.11,134.02,134.05,20251,0.18,-1.452,
2017-01-03 12:45:00,134.05,134.16,134.04,134.13,48770,0.18,-1.014,
2017-01-03 12:50:00,134.13,134.18,134.06,134.15,19934,0.17,-0.573,
2017-01-03 12:55:00,134.14,134.15,134.07,134.13,27787,0.17,-0.189,
2017-01-03 13:00:00,134.15,134.21,134.12,134.12,42795,0.16,0.94,
2017-01-03 13:05:00,134.13,134.16,134.0,134.03,26869,0.16,-0.12,
2017-01-03 13:10:00,134.04,134.21,134.02,134.21,62341,0.16,0.862,
2017-01-03 13:15:00,134.24,134.24,134.1,134.1,68196,0.16,-0.252,
2017-01-03 13:20:00,134.1,134.22,134.09,134.16,23089,0.16,-1.059,
2017-01-03 13:25:00,134.15,134.17,134.09,134.09,18100,0.15,-0.858,
2017-01-03 13:30:00,134.1,134.13,134.01,134.04,17311,0.15,-1.014,
2017-01-03 13:35:00,134.03,134.07,133.93,133.96,26745,0.15,-1.126,
2017-01-03 13:40:00,133.97,133.99,133.88,133.88,32109,0.15,-1.711,
2017-01-03 13:45:00,133.89,133.97,133.85,133.92,31215,0.15,-0.247,
2017-01-03 13:50:00,133.93,133.97,133.84,133.89,38556,0.14,-1.577,
2017-01-03 13:55:00,133.86,133.9,133.79,133.86,43114,0.14,-0.59,
2017-01-03 14:00:00,133.86,133.95,133.83,133.88,50189,0.14,-1.533,
2017-01-03 14:05:00,133.9,133.9,133.8,133.84,29073,0.14,-1.636,
2017-01-03 14:10:00,133.83,133.9,133.75,133.8,51180,0.14,-3.447,
2017-01-03 14:15:00,133.8,133.81,133.74,133.76,61158,0.13,-2.373,
2017-01-03 14:20:00,133.77,133.81,133.75,133.75,49055,0.13,-1.795,
2017-01-03 14:25:00,133.75,133.76,133.67,133.67,33012,0.13,-2.048,
2017-01-03 14:30:00,133.68,133.74,133.59,133.72,41210,0.13,-0.839,
2017-01-03 14:35:00,133.72,133.76,133.62,133.67,33357,0.13,-1.607,
2017-01-03 14:40:00,133.67,133.73,133.66,133.72,40951,0.12,-2.407,
2017-01-03 14:45:00,133.72,133.8,133.71,133.79,46833,0.12,-2.928,
2017-01-03 14:50:00,133.79,133.85,133.78,133.84,106508,0.12,-2.65,
2017-01-03 14:55:00,133.83,133.95,133.81,133.94,104311,0.12,-1.637,
2017-01-03 15:00:00,133.95,133.95,133.89,133.93,63827,0.12,-2.278,
2017-01-03 15:05:00,133.92,134.06,133.9,133.93,75792,0.12,-1.986,
2017-01-03 15:10:00,133.92,134.0,133.92,133.98,45770,0.12,-0.894,
2017-01-03 15:15:00,133.98,134.0,133.94,133.96,50025,0.11,-0.598,
2017-01-03 15:20:00,133.98,133.98,133.82,133.85,47868,0.12,-0.392,
2017-01-03 15:25:00,133.84,133.87,133.81,133.87,144081,0.11,-0.246,
2017-01-03 15:30:00,133.87,134.0,133.84,134.0,67719,0.11,-0.352,
2017-01-03 15:35:00,134.0,134.06,133.96,134.02,99904,0.11,-1.016,
2017-01-03 15:40:00,134.02,134.22,134.02,134.21,99895,0.12,1.274,
2017-01-03 15:45:00,134.22,134.33,134.22,134.29,119424,0.12,-0.167,
2017-01-03 15:50:00,134.28,134.29,134.13,134.21,116819,0.12,-0.934,
2017-01-03 15:55:00,134.22,134.29,134.14,134.27,217333,0.12,-2.719,
2017-01-04 09:30:00,134.34,135.1,134.34,135.1,98822,0.18,-0.55,
2017-01-04 09:35:00,135.08,135.2,134.8,134.89,55635,0.19,-0.912,
2017-01-04 09:40:00,134.89,135.12,134.86,135.01,50607,0.2,-0.513,
2017-01-04 09:45:00,135.04,135.17,134.97,135.13,40821,0.2,-0.557,
2017-01-04 09:50:00,135.13,135.28,135.11,135.24,46744,0.19,-0.792,
2017-01-04 09:55:00,135.21,135.23,135.11,135.21,45238,0.19,-0.505,
2017-01-04 10:00:00,135.21,135.23,134.95,135.04,65351,0.2,-2.357,
2017-01-04 10:05:00,135.05,135.05,134.86,134.99,65019,0.2,-1.654,
2017-01-04 10:10:00,134.99,135.15,134.89,134.9,70805,0.2,-2.522,
2017-01-04 10:15:00,134.91,134.95,134.7,134.73,44943,0.2,-2.927,
2017-01-04 10:20:00,134.72,135.0,134.72,135.0,61116,0.21,-1.025,
2017-01-04 10:25:00,135.0,135.04,134.9,134.9,77196,0.2,-0.03,
2017-01-04 10:30:00,134.94,135.19,134.94,135.1,87688,0.21,1.338,
2017-01-04 10:35:00,135.1,135.19,135.09,135.18,41860,0.2,1.185,
2017-01-04 10:40:00,135.19,135.25,135.14,135.2,33796,0.2,0.762,
2017-01-04 10:45:00,135.22,135.29,135.2,135.25,31631,0.19,0.172,
2017-01-04 10:50:00,135.25,135.34,135.2,135.31,32757,0.19,0.53,
2017-01-04 10:55:00,135.3,135.38,135.27,135.35,62486,0.18,0.413,
2017-01-04 11:00:00,135.34,135.5,135.28,135.49,89407,0.18,2.863,
2017-01-04 11:05:00,135.49,135.72,135.49,135.67,46370,0.19,3.41,
2017-01-04 11:10:00,135.66,135.67,135.56,135.65,31624,0.18,3.015,
2017-01-04 11:15:00,135.67,135.68,135.52,135.56,54444,0.18,3.88,
2017-01-04 11:20:00,135.52,135.67,135.49,135.63,41564,0.18,2.935,
2017-01-04 11:25:00,135.65,135.77,135.58,135.7,50287,0.18,1.5,
2017-01-04 11:30:00,135.69,135.8,135.68,135.77,41545,0.18,0.691,
2017-01-04 11:35:00,135.74,135.84,135.72,135.78,37761,0.17,0.783,
2017-01-04 11:40:00,135.78,135.94,135.77,135.86,75362,0.17,1.249,
2017-01-04 11:45:00,135.85,135.94,135.78,135.82,37471,0.17,1.802,
2017-01-04 11:50:00,135.82,135.82,135.7,135.75,32299,0.17,0.38,
2017-01-04 11:55:00,135.77,135.79,135.7,135.73,30833,0.16,-0.014,
2017-01-04 12:00:00,135.74,135.81,135.71,135.77,30176,0.16,-0.788,
2017-01-04 12:05:00,135.78,135.81,135.73,135.79,27249,0.15,-1.774,
2017-01-04 12:10:00,135.8,135.82,135.77,135.78,19856,0.14,-1.589,
2017-01-04 12:15:00,135.78,135.8,135.71,135.71,25837,0.14,-1.435,
2017-01-04 12:20:00,135.7,135.75,135.64,135.68,28245,0.14,-2.54,
2017-01-04 12:25:00,135.67,135.69,135.57,135.66,27248,0.14,-1.594,
2017-01-04 12:30:00,135.66,135.79,135.64,135.78,50238,0.14,-0.015,
2017-01-04 12:35:00,135.79,135.9,135.76,135.87,55383,0.14,0.768,
2017-01-04 12:40:00,135.86,135.92,135.78,135.89,23747,0.14,-0.48,
2017-01-04 12:45:00,135.89,135.89,135.81,135.88,19027,0.13,-0.482,
2017-01-04 12:50:00,135.88,135.9,135.8,135.85,26454,0.13,0.876,
2017-01-04 12:55:00,135.86,135.9,135.84,135.86,21535,0.13,1.356,
2017-01-04 13:00:00,135.84,135.85,135.73,135.73,24288,0.13,1.075,
2017-01-04 13:05:00,135.73,135.77,135.72,135.72,26725,0.12,1.21,
2017-01-04 13:10:00,135.72,135.76,135.7,135.75,17476,0.12,0.816,
2017-01-04 13:15:00,135.75,135.75,135.65,135.65,15887,0.12,0.189,
2017-01-04 13:20:00,135.65,135.71,135.6,135.67,22540,0.12,0.91,
2017-01-04 13:25:00,135.67,135.79,135.67,135.76,26229,0.12,0.776,
2017-01-04 13:30:00,135.75,135.77,135.72,135.72,40158,0.11,-1.319,
2017-01-04 13:35:00,135.73,135.77,135.73,135.76,18881,0.11,-1.704,
2017-01-04 13:40:00,135.77,135.77,135.71,135.73,26655,0.1,-1.302,
2017-01-04 13:45:00,135.73,135.86,135.68,135.8,66591,0.11,-0.675,
2017-01-04 13:50:00,135.8,135.88,135.78,135.85,159065,0.11,-0.556,
2017-01-04 13:55:00,135.84,135.86,135.68,135.71,34399,0.11,-1.151,
2017-01-04 14:00:00,135.7,135.71,135.63,135.64,28142,0.11,-0.673,
2017-01-04 14:05:00,135.65,135.78,135.51,135.53,47059,0.12,-2.02,
2017-01-04 14:10:00,135.53,135.56,135.48,135.51,38372,0.12,-3.81,
2017-01-04 14:15:00,135.5,135.51,135.41,135.46,38759,0.12,-4.559,
2017-01-04 14:20:00,135.45,135.56,135.36,135.36,67431,0.12,-3.621,
2017-01-04 14:25:00,135.4,135.42,135.27,135.38,43446,0.13,-4.899,
2017-01-04 14:30:00,135.38,135.44,135.36,135.39,39391,0.12,-4.645,
2017-01-04 14:35:00,135.41,135.43,135.38,135.39,27463,0.12,-5.121,
2017-01-04 14:40:00,135.39,135.4,135.27,135.37,36281,0.12,-5.369,
2017-01-04 14:45:00,135.38,135.38,135.24,135.32,33132,0.12,-4.742,
2017-01-04 14:50:00,135.32,135.35,135.24,135.24,28395,0.12,-5.546,
2017-01-04 14:55:00,135.27,135.34,135.25,135.33,19807,0.12,-4.419,
2017-01-04 15:00:00,135.33,135.39,135.28,135.36,39703,0.12,-4.421,
2017-01-04 15:05:00,135.36,135.44,135.35,135.4,30850,0.12,-3.571,
2017-01-04 15:10:00,135.4,135.48,135.4,135.47,53042,0.11,-1.172,
2017-01-04 15:15:00,135.46,135.51,135.44,135.46,49214,0.11,0.373,
2017-01-04 15:20:00,135.45,135.52,135.45,135.48,52682,0.11,-0.013,
2017-01-04 15:25:00,135.48,135.58,135.47,135.55,48804,0.11,1.531,
2017-01-04 15:30:00,135.54,135.54,135.49,135.53,41970,0.1,1.714,
2017-01-04 15:35:00,135.53,135.7,135.47,135.61,81539,0.11,1.586,
2017-01-04 15:40:00,135.61,135.62,135.54,135.56,51954,0.11,1.141,
2017-01-04 15:45:00,135.58,135.62,135.45,135.48,67480,0.11,1.368,
2017-01-04 15:50:00,135.48,135.49,135.4,135.44,68358,0.11,1.158,
2017-01-04 15:55:00,135.45,135.53,135.34,135.45,182172,0.12,0.728,
2017-01-05 09:30:00,134.98,135.3,134.62,135.3,176461,0.17,1.124,
2017-01-05 09:35:00,135.39,135.46,134.85,134.96,82730,0.2,-0.447,
2017-01-05 09:40:00,134.94,135.2,134.94,135.16,34033,0.2,-0.225,
2017-01-05 09:45:00,135.14,135.29,135.07,135.13,36732,0.21,-0.752,
2017-01-05 09:50:00,135.18,135.26,135.08,135.21,44015,0.2,-0.849,
2017-01-05 09:55:00,135.24,135.37,135.18,135.22,38194,0.2,-0.164,
2017-01-05 10:00:00,135.23,135.28,134.89,134.92,39860,0.22,-1.394,
2017-01-05 10:05:00,134.92,135.1,134.87,134.94,48415,0.22,-1.723,
2017-01-05 10:10:00,134.94,134.99,134.84,134.99,24521,0.21,-1.503,
2017-01-05 10:15:00,134.99,135.05,134.85,134.9,33511,0.21,-2.557,
2017-01-05 10:20:00,134.92,134.99,134.82,134.97,21268,0.21,-1.501,
2017-01-05 10:25:00,135.0,135.0,134.84,134.92,22269,0.21,-2.395,
2017-01-05 10:30:00,134.92,134.99,134.85,134.89,23743,0.2,-1.745,
2017-01-05 10:35:00,134.89,134.91,134.77,134.81,27269,0.2,-1.102,
2017-01-05 10:40:00,134.82,134.83,134.74,134.79,22206,0.19,-1.154,
2017-01-05 10:45:00,134.79,134.79,134.67,134.71,24630,0.18,-1.226,
2017-01-05 10:50:00,134.74,134.82,134.73,134.77,33436,0.18,-1.061,
2017-01-05 10:55:00,134.78,134.81,134.76,134.78,18466,0.17,-2.331,
2017-01-05 11:00:00,134.76,134.79,134.66,134.67,26810,0.17,-0.816,
2017-01-05 11:05:00,134.67,134.67,134.35,134.46,45521,0.18,1.494,
2017-01-05 11:10:00,134.45,134.49,134.38,134.44,29283,0.17,0.843,
2017-01-05 11:15:00,134.44,134.45,134.32,134.34,29760,0.17,-0.335,
2017-01-05 11:20:00,134.32,134.36,134.18,134.33,35430,0.17,-0.814,
2017-01-05 11:25:00,134.33,134.45,134.32,134.43,52886,0.17,0.593,
2017-01-05 11:30:00,134.43,134.47,134.36,134.4,35642,0.16,-0.03,
2017-01-05 11:35:00,134.4,134.43,134.18,134.32,32670,0.17,0.401,
2017-01-05 11:40:00,134.31,134.31,134.03,134.1,26224,0.18,0.457,
2017-01-05 11:45:00,134.1,134.28,134.09,134.26,21909,0.18,1.411,
2017-01-05 11:50:00,134.27,134.32,134.22,134.31,23495,0.17,1.102,
