Datetime,Open,High,Low,Close,Volume,atr,rrs_m5,rrs_d1
2017-01-03 10:40:00,119.93,119.94,119.81,119.91,69395,0.37,-2.964,
2017-01-03 10:45:00,119.93,120.03,119.85,119.85,40639,0.35,-2.587,
2017-01-03 10:50:00,119.87,119.89,119.79,119.82,58077,0.33,-2.946,
2017-01-03 10:55:00,119.81,119.81,119.3,119.65,141700,0.35,-2.142,
2017-01-03 11:00:00,119.65,119.8,119.57,119.74,78453,0.34,-0.498,
2017-01-03 11:05:00,119.74,119.76,119.3,119.46,74749,0.35,0.462,
2017-01-03 11:10:00,119.47,119.77,119.46,119.72,43640,0.35,1.156,
2017-01-03 11:15:00,119.71,119.93,119.69,119.87,51511,0.34,3.506,
2017-01-03 11:20:00,119.85,119.95,119.8,119.88,31333,0.32,4.073,
2017-01-03 11:25:00,119.85,119.9,119.73,119.8,49466,0.31,4.341,
2017-01-03 11:30:00,119.82,119.89,119.71,119.73,38754,0.3,2.796,
2017-01-03 11:35:00,119.73,119.84,119.71,119.72,55852,0.29,3.255,
2017-01-03 11:40:00,119.72,119.75,119.58,119.64,50795,0.28,3.293,
2017-01-03 11:45:00,119.64,119.73,119.49,119.57,90212,0.28,2.109,
2017-01-03 11:50:00,119.57,119.59,119.44,119.44,53840,0.27,1.29,
2017-01-03 11:55:00,119.46,119.49,119.34,119.47,61408,0.26,0.486,
2017-01-03 12:00:00,119.49,119.52,119.39,119.44,48066,0.25,-0.179,
2017-01-03 12:05:00,119.44,119.48,119.25,119.25,73264,0.25,0.389,
2017-01-03 12:10:00,119.26,119.44,119.26,119.38,32353,0.25,-0.242,
2017-01-03 12:15:00,119.38,119.44,119.31,119.37,34944,0.24,-1.37,
2017-01-03 12:20:00,119.37,119.42,119.31,119.34,27168,0.23,-0.385,
2017-01-03 12:25:00,119.33,119.37,119.25,119.25,31625,0.22,-1.589,
2017-01-03 12:30:00,119.23,119.3,119.2,119.28,37530,0.21,-1.051,
2017-01-03 12:35:00,119.29,119.29,119.12,119.14,34882,0.21,-2.523,
2017-01-03 12:40:00,119.14,119.24,119.13,119.23,26171,0.2,-2.061,
2017-01-03 12:45:00,119.22,119.36,119.15,119.36,35788,0.2,-1.216,
2017-01-03 12:50:00,119.37,119.48,119.35,119.48,28155,0.2,0.807,
2017-01-03 12:55:00,119.48,119.49,119.32,119.35,19258,0.2,-0.009,
2017-01-03 13:00:00,119.33,119.39,119.26,119.35,38000,0.19,0.163,
2017-01-03 13:05:00,119.36,119.38,119.32,119.37,47799,0.18,1.721,
2017-01-03 13:10:00,119.37,119.38,119.26,119.3,22905,0.18,0.466,
2017-01-03 13:15:00,119.3,119.36,119.28,119.33,23816,0.17,0.191,
2017-01-03 13:20:00,119.32,119.38,119.31,119.35,24769,0.16,-0.56,
2017-01-03 13:25:00,119.35,119.43,119.29,119.3,20777,0.16,0.1,
2017-01-03 13:30:00,119.3,119.34,119.25,119.25,23277,0.16,-0.019,
2017-01-03 13:35:00,119.25,119.26,119.18,119.23,28275,0.15,0.424,
2017-01-03 13:40:00,119.23,119.25,119.12,119.12,32609,0.15,-1.334,
2017-01-03 13:45:00,119.13,119.17,119.11,119.15,40756,0.14,-0.282,
2017-01-03 13:50:00,119.15,119.21,119.14,119.16,29173,0.14,-2.132,
2017-01-03 13:55:00,119.16,119.16,119.11,119.11,31247,0.13,-0.54,
2017-01-03 14:00:00,119.12,119.19,119.11,119.16,38028,0.13,-1.355,
2017-01-03 14:05:00,119.16,119.17,119.12,119.16,39665,0.12,-2.017,
2017-01-03 14:10:00,119.15,119.18,119.14,119.18,29652,0.12,-1.452,
2017-01-03 14:15:00,119.17,119.24,119.15,119.23,36050,0.11,-0.798,
2017-01-03 14:20:00,119.24,119.29,119.15,119.15,33261,0.12,-0.535,
2017-01-03 14:25:00,119.17,119.2,119.11,119.12,27401,0.11,-0.326,
2017-01-03 14:30:00,119.12,119.16,119.11,119.13,45577,0.11,0.675,
2017-01-03 14:35:00,119.13,119.13,119.0,119.02,66005,0.11,-1.317,
2017-01-03 14:40:00,119.02,119.11,118.96,119.03,65640,0.11,-1.989,
2017-01-03 14:45:00,119.03,119.16,119.01,119.12,49248,0.12,-2.126,
2017-01-03 14:50:00,119.1,119.14,119.05,119.08,32652,0.11,-2.942,
2017-01-03 14:55:00,119.08,119.17,119.02,119.05,49241,0.12,-2.884,
2017-01-03 15:00:00,119.05,119.31,119.05,119.27,61969,0.13,-1.738,
2017-01-03 15:05:00,119.26,119.35,119.26,119.33,44370,0.12,-1.44,
2017-01-03 15:10:00,119.33,119.34,119.25,119.28,32446,0.12,-1.636,
2017-01-03 15:15:00,119.28,119.34,119.25,119.33,37632,0.12,-1.541,
2017-01-03 15:20:00,119.33,119.34,119.27,119.31,41012,0.12,0.046,
2017-01-03 15:25:00,119.31,119.39,119.3,119.34,51441,0.11,-0.085,
2017-01-03 15:30:00,119.34,119.36,119.28,119.35,58666,0.11,-0.968,
2017-01-03 15:35:00,119.35,119.42,119.32,119.42,67639,0.11,-0.454,
2017-01-03 15:40:00,119.42,119.48,119.41,119.47,83260,0.11,0.945,
2017-01-03 15:45:00,119.46,119.65,119.46,119.58,141798,0.11,0.007,
2017-01-03 15:50:00,119.57,119.63,119.51,119.62,112915,0.11,0.774,
2017-01-03 15:55:00,119.62,119.64,119.49,119.62,242022,0.12,-0.36,
2017-01-04 09:30:00,119.0,119.0,118.39,118.82,355579,0.2,-13.823,
2017-01-04 09:35:00,118.86,118.86,118.18,118.25,129830,0.23,-11.321,
2017-01-04 09:40:00,118.25,118.53,118.21,118.42,108026,0.24,-9.094,
2017-01-04 09:45:00,118.36,118.47,118.23,118.38,71867,0.24,-9.968,
2017-01-04 09:50:00,118.4,118.59,118.38,118.58,72207,0.24,-10.433,
2017-01-04 09:55:00,118.59,118.86,118.58,118.86,159206,0.24,-9.038,
2017-01-04 10:00:00,118.85,118.97,118.77,118.97,123046,0.24,-9.152,
2017-01-04 10:05:00,118.97,119.01,118.8,118.8,104765,0.23,-8.922,
2017-01-04 10:10:00,118.8,118.99,118.76,118.98,56195,0.23,-7.934,
2017-01-04 10:15:00,118.99,119.08,118.98,119.03,58378,0.22,-7.311,
2017-01-04 10:20:00,119.03,119.18,118.97,119.16,51240,0.22,-6.761,
2017-01-04 10:25:00,119.18,119.28,119.16,119.27,65040,0.22,-4.463,
2017-01-04 10:30:00,119.28,119.41,119.27,119.31,59438,0.21,3.562,
2017-01-04 10:35:00,119.32,119.38,119.28,119.37,32913,0.2,5.091,
2017-01-04 10:40:00,119.36,119.37,119.16,119.17,45542,0.2,3.518,
2017-01-04 10:45:00,119.16,119.24,119.04,119.08,47573,0.2,2.99,
2017-01-04 10:50:00,119.08,119.34,119.07,119.29,57751,0.21,3.637,
2017-01-04 10:55:00,119.3,119.46,119.28,119.46,44379,0.21,2.521,
2017-01-04 11:00:00,119.47,119.48,119.38,119.47,40095,0.2,2.769,
2017-01-04 11:05:00,119.48,119.57,119.47,119.53,41908,0.19,3.372,
2017-01-04 11:10:00,119.53,119.53,119.42,119.47,28567,0.19,1.577,
2017-01-04 11:15:00,119.47,119.56,119.46,119.52,25312,0.18,1.95,
2017-01-04 11:20:00,119.52,119.63,119.5,119.61,38288,0.18,1.959,
2017-01-04 11:25:00,119.61,119.62,119.52,119.55,35260,0.17,-1.352,
2017-01-04 11:30:00,119.53,119.63,119.52,119.63,35164,0.17,-1.116,
2017-01-04 11:35:00,119.62,119.74,119.57,119.67,63607,0.17,-0.796,
2017-01-04 11:40:00,119.67,119.67,119.5,119.52,23412,0.17,-0.475,
2017-01-04 11:45:00,119.52,119.56,119.45,119.45,23977,0.16,0.72,
2017-01-04 11:50:00,119.46,119.49,119.36,119.48,32751,0.16,-1.022,
2017-01-04 11:55:00,119.5,119.5,119.32,119.35,26716,0.16,-3.018,
2017-01-04 12:00:00,119.37,119.44,119.34,119.44,46843,0.16,-2.739,
2017-01-04 12:05:00,119.47,119.52,119.42,119.5,25889,0.15,-2.749,
2017-01-04 12:10:00,119.51,119.52,119.46,119.49,18091,0.15,-2.334,
2017-01-04 12:15:00,119.49,119.5,119.37,119.41,16737,0.15,-3.286,
2017-01-04 12:20:00,119.41,119.5,119.41,119.48,15438,0.14,-3.833,
2017-01-04 12:25:00,119.48,119.48,119.39,119.41,21607,0.14,-2.321,
2017-01-04 12:30:00,119.43,119.44,119.36,119.44,15800,0.13,-1.524,
2017-01-04 12:35:00,119.44,119.47,119.42,119.47,10287,0.13,-1.465,
2017-01-04 12:40:00,119.47,119.54,119.46,119.54,22904,0.12,-0.539,
2017-01-04 12:45:00,119.53,119.54,119.39,119.41,23756,0.13,-1.266,
2017-01-04 12:50:00,119.4,119.44,119.39,119.42,16655,0.12,-0.388,
2017-01-04 12:55:00,119.43,119.43,119.33,119.36,29840,0.12,0.425,
2017-01-04 13:00:00,119.36,119.41,119.35,119.37,15856,0.11,0.787,
2017-01-04 13:05:00,119.38,119.42,119.37,119.41,16979,0.11,0.956,
2017-01-04 13:10:00,119.4,119.44,119.4,119.44,16620,0.11,0.593,
2017-01-04 13:15:00,119.44,119.45,119.41,119.42,11146,0.1,0.826,
2017-01-04 13:20:00,119.43,119.45,119.4,119.41,18820,0.1,0.255,
2017-01-04 13:25:00,119.4,119.48,119.4,119.41,22502,0.1,-0.126,
2017-01-04 13:30:00,119.41,119.46,119.39,119.42,15366,0.09,-1.005,
2017-01-04 13:35:00,119.41,119.43,119.39,119.41,17576,0.09,-1.354,
2017-01-04 13:40:00,119.42,119.42,119.39,119.4,13067,0.09,-1.4,
2017-01-04 13:45:00,119.4,119.4,119.33,119.35,19053,0.08,-0.617,
2017-01-04 13:50:00,119.35,119.38,119.29,119.32,27590,0.09,-1.828,
2017-01-04 13:55:00,119.32,119.37,119.31,119.36,21239,0.08,0.282,
2017-01-04 14:00:00,119.36,119.44,119.36,119.39,28175,0.08,0.395,
2017-01-04 14:05:00,119.39,119.47,119.36,119.4,29363,0.08,-0.395,
2017-01-04 14:10:00,119.4,119.5,119.39,119.46,19536,0.09,-1.592,
2017-01-04 14:15:00,119.49,119.49,119.41,119.47,16222,0.09,-2.352,
2017-01-04 14:20:00,119.48,119.49,119.37,119.38,20060,0.09,-1.33,
2017-01-04 14:25:00,119.38,119.41,119.34,119.39,30781,0.09,-2.061,
2017-01-04 14:30:00,119.36,119.49,119.36,119.47,33486,0.09,-1.434,
2017-01-04 14:35:00,119.48,119.52,119.42,119.5,33253,0.09,-1.074,
2017-01-04 14:40:00,119.5,119.5,119.41,119.5,20828,0.09,-1.15,
2017-01-04 14:45:00,119.5,119.5,119.43,119.47,20404,0.09,0.692,
2017-01-04 14:50:00,119.46,119.52,119.43,119.49,22213,0.09,1.509,
2017-01-04 14:55:00,119.49,119.51,119.45,119.5,19866,0.09,0.381,
2017-01-04 15:00:00,119.49,119.54,119.46,119.52,32786,0.09,-0.508,
2017-01-04 15:05:00,119.52,119.58,119.52,119.58,24205,0.08,-0.341,
2017-01-04 15:10:00,119.58,119.61,119.49,119.55,42723,0.09,0.262,
2017-01-04 15:15:00,119.54,119.54,119.48,119.5,33608,0.09,0.721,
2017-01-04 15:20:00,119.5,119.54,119.48,119.49,32300,0.08,0.17,
2017-01-04 15:25:00,119.49,119.56,119.48,119.51,37468,0.08,1.356,
2017-01-04 15:30:00,119.5,119.54,119.49,119.52,42470,0.08,0.988,
2017-01-04 15:35:00,119.51,119.58,119.5,119.54,56540,0.08,-0.084,
2017-01-04 15:40:00,119.54,119.54,119.49,119.51,51514,0.08,-0.429,
2017-01-04 15:45:00,119.51,119.54,119.47,119.48,79224,0.08,0.035,
2017-01-04 15:50:00,119.48,119.52,119.47,119.52,105997,0.08,-0.199,
2017-01-04 15:55:00,119.52,119.57,119.42,119.48,180521,0.08,-0.608,
2017-01-05 09:30:00,119.34,119.52,119.1,119.11,70660,0.11,-3.446,
2017-01-05 09:35:00,119.15,119.34,119.13,119.25,45985,0.11,-1.002,
2017-01-05 09:40:00,119.25,119.36,119.22,119.27,23087,0.12,-1.128,
2017-01-05 09:45:00,119.27,119.4,119.24,119.34,30028,0.12,-0.562,
2017-01-05 09:50:00,119.34,119.51,119.32,119.51,24725,0.12,0.55,
2017-01-05 09:55:00,119.5,119.6,119.43,119.54,23247,0.13,1.602,
2017-01-05 10:00:00,119.54,119.64,119.41,119.44,47876,0.14,0.871,
2017-01-05 10:05:00,119.42,119.47,119.33,119.41,31884,0.14,0.299,
2017-01-05 10:10:00,119.41,119.44,119.37,119.38,27191,0.13,0.076,
2017-01-05 10:15:00,119.38,119.49,119.34,119.46,22423,0.13,-0.085,
2017-01-05 10:20:00,119.45,119.53,119.42,119.53,22734,0.13,0.713,
2017-01-05 10:25:00,119.54,119.65,119.54,119.58,24746,0.13,0.811,
2017-01-05 10:30:00,119.6,119.69,119.58,119.63,31070,0.13,4.111,
2017-01-05 10:35:00,119.62,119.73,119.58,119.73,47536,0.13,3.293,
2017-01-05 10:40:00,119.71,119.81,119.68,119.79,27045,0.13,4.622,
2017-01-05 10:45:00,119.79,119.86,119.71,119.86,24496,0.13,4.908,
2017-01-05 10:50:00,119.83,119.93,119.82,119.91,42435,0.13,4.312,
2017-01-05 10:55:00,119.9,119.94,119.88,119.92,60444,0.12,3.018,
2017-01-05 11:00:00,119.91,119.93,119.81,119.86,24951,0.12,4.012,
2017-01-05 11:05:00,119.88,119.89,119.75,119.83,28832,0.13,7.761,
2017-01-05 11:10:00,119.82,119.88,119.79,119.83,20057,0.12,7.497,
2017-01-05 11:15:00,119.81,119.81,119.67,119.67,18884,0.13,4.624,
2017-01-05 11:20:00,119.68,119.77,119.58,119.77,29995,0.13,4.883,
2017-01-05 11:25:00,119.78,119.86,119.74,119.82,20392,0.13,5.307,
2017-01-05 11:30:00,119.82,119.88,119.8,119.86,28880,0.13,4.679,
2017-01-05 11:35:00,119.86,119.87,119.71,119.83,38054,0.13,4.227,
2017-01-05 11:40:00,119.83,119.83,119.58,119.62,31483,0.14,3.233,
2017-01-05 11:45:00,119.6,119.7,119.6,119.67,19798,0.13,2.565,
2017-01-05 11:50:00,119.66,119.8,119.65,119.78,23730,0.14,2.706,
2017-01-05 11:55:00,119.78,119.8,119.7,119.77,31160,0.13,2.726,
2017-01-05 12:00:00,119.77,119.79,119.75,119.77,28703,0.13,2.461,
2017-01-05 12:05:00,119.77,119.81,119.74,119.81,51260,0.12,1.212,
2017-01-05 12:10:00,119.81,119.93,119.81,119.93,45951,0.12,1.829,
2017-01-05 12:15:00,119.92,120.09,119.9,120.09,81586,0.13,3.588,
2017-01-05 12:20:00,120.09,120.19,120.07,120.16,73999,0.13,3.188,
2017-01-05 12:25:00,120.17,120.19,120.11,120.19,98883,0.12,3.114,
2017-01-05 12:30:00,120.18,120.2,120.06,120.06,34895,0.12,1.359,
2017-01-05 12:35:00,120.06,120.06,119.9,119.92,27123,0.13,-0.043,
2017-01-05 12:40:00,119.92,120.01,119.86,120.0,23090,0.13,1.104,
2017-01-05 12:45:00,119.98,119.98,119.89,119.94,19299,0.13,0.283,
2017-01-05 12:50:00,119.94,119.99,119.92,119.97,20418,0.12,-0.835,
2017-01-05 12:55:00,119.99,119.99,119.91,119.94,26885,0.12,-0.396,
2017-01-05 13:00:00,119.94,120.0,119.92,119.96,36463,0.12,-0.351,
2017-01-05 13:05:00,119.95,120.0,119.94,119.98,23937,0.11,-2.229,
2017-01-05 13:10:00,119.98,120.08,119.94,120.08,96503,0.12,-1.791,
2017-01-05 13:15:00,120.08,120.09,120.0,120.0,45903,0.11,-1.934,
2017-01-05 13:20:00,120.0,120.03,119.96,119.97,19721,0.11,-2.886,
2017-01-05 13:25:00,119.97,119.99,119.92,119.98,21564,0.11,-3.039,
2017-01-05 13:30:00,119.96,119.98,119.88,119.91,24799,0.11,-2.118,
2017-01-05 13:35:00,119.91,119.93,119.84,119.9,27300,0.11,-1.238,
2017-01-05 13:40:00,119.92,119.92,119.88,119.92,23941,0.1,-2.219,
2017-01-05 13:45:00,119.92,119.92,119.8,119.8,27627,0.1,-3.023,
2017-01-05 13:50:00,119.8,119.91,119.77,119.91,25573,0.1,-1.424,
2017-01-05 13:55:00,119.91,119.94,119.89,119.91,28187,0.1,-1.167,
2017-01-05 14:00:00,119.9,119.96,119.9,119.92,26636,0.1,-2.252,
2017-01-05 14:05:00,119.92,120.0,119.92,119.93,35876,0.1,-0.721,
2017-01-05 14:10:00,119.93,120.0,119.93,119.99,27815,0.09,-2.32,
2017-01-05 14:15:00,120.0,120.0,119.92,119.94,41760,0.09,-1.9,
2017-01-05 14:20:00,119.94,119.96,119.9,119.9,22537,0.09,-2.449,
2017-01-05 14:25:00,119.9,119.92,119.87,119.89,20029,0.09,-2.531,
2017-01-05 14:30:00,119.9,119.9,119.82,119.82,16253,0.09,-2.625,
2017-01-05 14:35:00,119.82,119.92,119.82,119.9,30798,0.09,-1.561,
2017-01-05 14:40:00,119.89,119.93,119.86,119.86,23651,0.09,-1.808,
2017-01-05 14:45:00,119.85,119.88,119.82,119.88,26062,0.09,0.342,
2017-01-05 14:50:00,119.88,119.89,119.83,119.86,32849,0.08,-1.513,
2017-01-05 14:55:00,119.86,119.87,119.78,119.8,32698,0.08,-1.258,
2017-01-05 15:00:00,119.8,119.84,119.78,119.84,51685,0.08,-0.88,
2017-01-05 15:05:00,119.83,119.83,119.76,119.78,41320,0.08,-1.971,
2017-01-05 15:10:00,119.78,119.86,119.78,119.84,29222,0.08,-1.598,
2017-01-05 15:15:00,119.84,119.88,119.82,119.86,37433,0.08,-0.531,
2017-01-05 15:20:00,119.86,119.94,119.86,119.92,40616,0.08,-0.225,
2017-01-05 15:25:00,119.93,119.93,119.88,119.88,37329,0.08,-1.231,
2017-01-05 15:30:00,119.89,119.91,119.87,119.9,47335,0.08,-0.77,
2017-01-05 15:35:00,119.91,119.93,119.88,119.92,60355,0.07,-0.472,
2017-01-05 15:40:00,119.92,119.93,119.8,119.82,66294,0.08,-1.679,
2017-01-05 15:45:00,119.8,119.82,119.73,119.74,103604,0.08,-3.934,
2017-01-05 15:50:00,119.73,119.76,119.66,119.67,136504,0.08,-3.966,
2017-01-05 15:55:00,119.66,119.71,119.61,119.68,261733,0.08,-4.85,
2017-01-06 09:30:00,118.89,119.08,118.52,118.76,173627,0.16,-13.627,
2017-01-06 09:35:00,118.85,119.06,118.65,118.97,128120,0.18,-4.543,
2017-01-06 09:40:00,119.0,119.62,119.0,119.57,88078,0.21,-1.23,
2017-01-06 09:45:00,119.54,119.77,119.49,119.64,103100,0.22,-0.304,
2017-01-06 09:50:00,119.64,119.92,119.56,119.87,57494,0.23,0.677,
2017-01-06 09:55:00,119.86,119.98,119.79,119.89,49931,0.22,-0.609,
2017-01-06 10:00:00,119.89,120.1,119.81,120.1,42031,0.23,-0.279,
2017-01-06 10:05:00,120.1,120.57,120.1,120.49,102994,0.25,0.613,
2017-01-06 10:10:00,120.48,120.65,120.38,120.64,80708,0.25,1.667,
2017-01-06 10:15:00,120.64,120.81,120.63,120.74,71914,0.24,3.059,
2017-01-06 10:20:00,120.72,121.03,120.67,120.94,164063,0.25,3.875,
2017-01-06 10:25:00,120.94,121.28,120.85,121.25,125305,0.26,5.137,
2017-01-06 10:30:00,121.25,121.3,121.21,121.23,107465,0.25,7.946,
2017-01-06 10:35:00,121.22,121.23,120.89,121.12,75709,0.26,7.176,
2017-01-06 10:40:00,121.11,121.15,121.02,121.09,62370,0.25,4.306,
2017-01-06 10:45:00,121.08,121.29,121.08,121.22,74438,0.25,3.7,
2017-01-06 10:50:00,121.21,121.34,121.09,121.33,72551,0.25,2.718,
2017-01-06 10:55:00,121.33,121.42,121.15,121.16,100037,0.25,4.065,
2017-01-06 11:00:00,121.16,121.18,121.0,121.04,43203,0.24,3.077,
2017-01-06 11:05:00,121.03,121.12,121.01,121.05,41921,0.23,2.253,
2017-01-06 11:10:00,121.02,121.17,120.95,121.13,31369,0.23,0.419,
2017-01-06 11:15:00,121.14,121.15,121.0,121.09,33768,0.23,-0.238,
2017-01-06 11:20:00,121.1,121.11,121.0,121.09,24723,0.22,-1.467,
2017-01-06 11:25:00,121.09,121.13,120.99,121.05,24868,0.21,-3.701,
2017-01-06 11:30:00,121.07,121.13,121.04,121.13,19123,0.2,-4.557,
2017-01-06 11:35:00,121.13,121.13,120.96,121.01,31634,0.2,-5.261,
2017-01-06 11:40:00,121.01,121.26,121.01,121.26,32935,0.2,-4.344,
2017-01-06 11:45:00,121.23,121.38,121.22,121.34,51201,0.2,-4.386,
2017-01-06 11:50:00,121.35,121.36,121.22,121.26,25011,0.2,-4.137,
2017-01-06 11:55:00,121.27,121.35,121.15,121.15,27066,0.2,-4.531,
2017-01-06 12:00:00,121.16,121.17,121.09,121.17,22336,0.19,-2.897,
2017-01-06 12:05:00,121.17,121.19,121.1,121.12,17430,0.18,-3.812,
2017-01-06 12:10:00,121.12,121.21,121.12,121.19,18267,0.18,-3.389,
