Datetime,Open,High,Low,Close,Volume,atr,rrs_m5,rrs_d1
2017-01-03 10:40:00,127.39,127.48,127.05,127.46,118407,0.59,0.812,
2017-01-03 10:45:00,127.42,127.55,127.3,127.4,98427,0.56,0.256,
2017-01-03 10:50:00,127.39,127.64,127.29,127.5,103343,0.55,0.057,
2017-01-03 10:55:00,127.53,127.59,127.22,127.52,116478,0.54,1.569,
2017-01-03 11:00:00,127.5,127.52,127.19,127.48,121638,0.52,2.326,
2017-01-03 11:05:00,127.49,127.9,127.48,127.87,140721,0.51,4.354,
2017-01-03 11:10:00,127.9,127.9,127.62,127.87,151773,0.5,3.671,
2017-01-03 11:15:00,127.88,128.19,127.69,127.78,292739,0.5,5.187,
2017-01-03 11:20:00,127.78,128.04,127.78,127.78,106890,0.48,3.344,
2017-01-03 11:25:00,127.79,127.82,127.35,127.38,113787,0.48,3.868,
2017-01-03 11:30:00,127.35,127.5,127.31,127.33,82314,0.46,3.25,
2017-01-03 11:35:00,127.34,127.6,127.34,127.38,118147,0.45,3.89,
2017-01-03 11:40:00,127.38,127.38,127.03,127.05,156628,0.44,3.524,
2017-01-03 11:45:00,127.05,127.34,127.03,127.27,68450,0.43,2.859,
2017-01-03 11:50:00,127.24,127.28,127.13,127.14,43526,0.41,1.99,
2017-01-03 11:55:00,127.14,127.37,127.03,127.36,75485,0.4,0.844,
2017-01-03 12:00:00,127.37,127.49,127.26,127.4,66098,0.39,0.806,
2017-01-03 12:05:00,127.41,127.44,127.25,127.3,56018,0.38,0.064,
2017-01-03 12:10:00,127.34,127.44,127.28,127.3,37922,0.36,-0.105,
2017-01-03 12:15:00,127.28,127.42,127.25,127.38,27641,0.35,-0.237,
2017-01-03 12:20:00,127.41,127.41,126.82,126.86,105279,0.37,-0.291,
2017-01-03 12:25:00,126.82,126.94,126.63,126.65,102161,0.36,-0.832,
2017-01-03 12:30:00,126.6,126.75,126.51,126.73,101378,0.35,-0.391,
2017-01-03 12:35:00,126.74,126.78,126.54,126.6,57975,0.34,-1.631,
2017-01-03 12:40:00,126.62,126.78,126.41,126.57,119395,0.35,-1.268,
2017-01-03 12:45:00,126.5,126.85,126.5,126.65,104283,0.35,-1.727,
2017-01-03 12:50:00,126.67,126.67,126.41,126.46,67258,0.34,-1.148,
2017-01-03 12:55:00,126.47,126.63,126.41,126.47,52610,0.33,-1.741,
2017-01-03 13:00:00,126.49,126.6,126.48,126.51,43543,0.32,-1.805,
2017-01-03 13:05:00,126.54,126.67,126.3,126.39,184871,0.32,-1.568,
2017-01-03 13:10:00,126.44,126.7,126.36,126.66,44134,0.32,-0.92,
2017-01-03 13:15:00,126.6,126.96,126.55,126.96,83638,0.33,-0.786,
2017-01-03 13:20:00,126.98,127.38,126.86,127.2,131768,0.34,0.345,
2017-01-03 13:25:00,127.22,127.24,127.02,127.06,36831,0.33,0.898,
