Datetime,Open,High,Low,Close,Volume,atr,rrs_m5,rrs_d1
2017-01-03 10:40:00,2.61,2.62,2.6,2.61,13955080,0.02,-0.396,
2017-01-03 10:45:00,2.61,2.62,2.6,2.6,13676960,0.02,-1.139,
2017-01-03 10:50:00,2.6,2.61,2.59,2.6,16473760,0.02,-0.417,
2017-01-03 10:55:00,2.6,2.6,2.58,2.59,13945280,0.02,0.353,
2017-01-03 11:00:00,2.58,2.59,2.58,2.59,13910000,0.02,1.272,
2017-01-03 11:05:00,2.59,2.6,2.58,2.6,11996640,0.02,2.004,
2017-01-03 11:10:00,2.6,2.6,2.59,2.59,9654640,0.02,1.028,
2017-01-03 11:15:00,2.59,2.6,2.58,2.59,10770320,0.02,2.977,
2017-01-03 11:20:00,2.59,2.61,2.59,2.6,10128920,0.02,2.806,
2017-01-03 11:25:00,2.6,2.6,2.59,2.59,8382760,0.02,3.417,
2017-01-03 11:30:00,2.59,2.6,2.59,2.59,6958160,0.02,2.65,
2017-01-03 11:35:00,2.59,2.59,2.58,2.58,11557800,0.02,2.584,
2017-01-03 11:40:00,2.58,2.58,2.57,2.58,14652480,0.02,2.792,
2017-01-03 11:45:00,2.58,2.58,2.56,2.57,14157880,0.02,1.611,
2017-01-03 11:50:00,2.57,2.57,2.55,2.56,20127040,0.02,0.665,
2017-01-03 11:55:00,2.56,2.56,2.55,2.56,15803520,0.02,-0.328,
2017-01-03 12:00:00,2.55,2.56,2.54,2.54,29330000,0.02,-1.603,
2017-01-03 12:05:00,2.54,2.54,2.51,2.52,40961520,0.02,-2.87,
2017-01-03 12:10:00,2.52,2.54,2.51,2.53,25298560,0.02,-1.822,
2017-01-03 12:15:00,2.53,2.54,2.52,2.53,16344760,0.02,-2.159,
2017-01-03 12:20:00,2.53,2.54,2.52,2.53,14556400,0.02,-1.409,
2017-01-03 12:25:00,2.53,2.53,2.53,2.53,9955720,0.02,-2.0,
2017-01-03 12:30:00,2.53,2.53,2.52,2.52,15763920,0.02,-2.604,
2017-01-03 12:35:00,2.52,2.52,2.51,2.52,15005640,0.02,-2.961,
2017-01-03 12:40:00,2.52,2.52,2.49,2.49,39849960,0.02,-5.107,
2017-01-03 12:45:00,2.48,2.5,2.48,2.5,33264560,0.02,-3.866,
2017-01-03 12:50:00,2.5,2.51,2.5,2.5,15417880,0.02,-2.569,
2017-01-03 12:55:00,2.5,2.52,2.5,2.52,16184280,0.02,-1.585,
2017-01-03 13:00:00,2.52,2.53,2.51,2.52,24398640,0.02,-0.454,
2017-01-03 13:05:00,2.52,2.52,2.51,2.52,13558560,0.02,1.072,
2017-01-03 13:10:00,2.52,2.52,2.52,2.52,11846720,0.02,0.361,
2017-01-03 13:15:00,2.52,2.52,2.51,2.52,13321360,0.02,-0.188,
2017-01-03 13:20:00,2.52,2.52,2.52,2.52,9522080,0.01,-1.257,
2017-01-03 13:25:00,2.52,2.52,2.5,2.51,20795080,0.01,-1.609,
2017-01-03 13:30:00,2.51,2.51,2.5,2.5,14806680,0.01,-1.165,
2017-01-03 13:35:00,2.5,2.5,2.49,2.5,9653920,0.01,-1.564,
2017-01-03 13:40:00,2.5,2.51,2.5,2.51,13395040,0.01,0.855,
2017-01-03 13:45:00,2.51,2.52,2.51,2.51,18157160,0.01,1.93,
2017-01-03 13:50:00,2.51,2.53,2.51,2.52,15496280,0.01,1.731,
2017-01-03 13:55:00,2.52,2.52,2.52,2.52,6697120,0.01,1.317,
2017-01-03 14:00:00,2.52,2.54,2.52,2.54,25764440,0.01,1.752,
2017-01-03 14:05:00,2.54,2.54,2.53,2.54,12856080,0.01,1.236,
2017-01-03 14:10:00,2.54,2.55,2.54,2.55,14579200,0.01,1.888,
2017-01-03 14:15:00,2.54,2.54,2.54,2.54,12668160,0.01,1.687,
2017-01-03 14:20:00,2.54,2.54,2.54,2.54,12429680,0.01,2.937,
2017-01-03 14:25:00,2.54,2.54,2.52,2.52,18094600,0.01,2.194,
2017-01-03 14:30:00,2.52,2.53,2.51,2.52,13496720,0.01,3.423,
2017-01-03 14:35:00,2.52,2.52,2.51,2.52,8712120,0.01,2.282,
2017-01-03 14:40:00,2.52,2.52,2.51,2.51,12810920,0.01,-1.129,
2017-01-03 14:45:00,2.51,2.52,2.51,2.52,11730480,0.01,-1.047,
2017-01-03 14:50:00,2.52,2.52,2.52,2.52,11185480,0.01,-2.226,
2017-01-03 14:55:00,2.52,2.53,2.52,2.53,20120120,0.01,-1.449,
2017-01-03 15:00:00,2.53,2.55,2.53,2.54,20122280,0.01,-2.708,
2017-01-03 15:05:00,2.54,2.56,2.54,2.55,20519520,0.01,-1.951,
2017-01-03 15:10:00,2.55,2.55,2.54,2.54,15877760,0.01,-3.248,
2017-01-03 15:15:00,2.54,2.55,2.54,2.55,14763120,0.01,-1.565,
2017-01-03 15:20:00,2.55,2.55,2.53,2.54,13524560,0.01,-1.317,
2017-01-03 15:25:00,2.54,2.54,2.53,2.54,12582360,0.01,-0.461,
2017-01-03 15:30:00,2.54,2.54,2.52,2.53,22772000,0.01,-2.145,
2017-01-03 15:35:00,2.53,2.54,2.53,2.54,29451680,0.01,-2.611,
2017-01-03 15:40:00,2.53,2.54,2.53,2.54,23607600,0.01,-0.802,
2017-01-03 15:45:00,2.54,2.55,2.54,2.54,18101320,0.01,-2.798,
2017-01-03 15:50:00,2.55,2.55,2.54,2.55,17244440,0.01,-1.636,
2017-01-03 15:55:00,2.55,2.55,2.55,2.55,32924400,0.01,-3.784,
2017-01-04 09:30:00,2.59,2.64,2.58,2.62,69496760,0.02,-2.813,
2017-01-04 09:35:00,2.62,2.64,2.62,2.62,34335760,0.02,-2.211,
2017-01-04 09:40:00,2.62,2.64,2.6,2.61,33157560,0.02,-1.732,
2017-01-04 09:45:00,2.61,2.62,2.61,2.62,17856880,0.02,-2.694,
2017-01-04 09:50:00,2.62,2.62,2.59,2.59,26716440,0.02,-4.913,
2017-01-04 09:55:00,2.59,2.6,2.57,2.57,35055320,0.02,-5.605,
2017-01-04 10:00:00,2.57,2.59,2.57,2.58,25159160,0.02,-5.233,
2017-01-04 10:05:00,2.58,2.58,2.57,2.58,18289800,0.02,-4.483,
2017-01-04 10:10:00,2.58,2.58,2.56,2.57,20894240,0.02,-4.413,
2017-01-04 10:15:00,2.57,2.57,2.56,2.57,16161200,0.02,-3.535,
2017-01-04 10:20:00,2.57,2.58,2.57,2.57,19660920,0.02,-3.719,
2017-01-04 10:25:00,2.57,2.57,2.56,2.56,11317000,0.02,-2.39,
2017-01-04 10:30:00,2.56,2.57,2.56,2.57,13085400,0.02,-1.51,
2017-01-04 10:35:00,2.57,2.57,2.56,2.56,10998720,0.02,-3.696,
2017-01-04 10:40:00,2.56,2.57,2.55,2.55,24092240,0.02,-3.824,
2017-01-04 10:45:00,2.55,2.58,2.55,2.57,22607200,0.02,-3.432,
2017-01-04 10:50:00,2.57,2.57,2.56,2.56,12377080,0.02,-1.527,
2017-01-04 10:55:00,2.56,2.56,2.55,2.56,12391560,0.02,-0.924,
2017-01-04 11:00:00,2.56,2.56,2.55,2.56,15216680,0.02,-0.854,
2017-01-04 11:05:00,2.56,2.56,2.55,2.56,14555040,0.02,-1.56,
2017-01-04 11:10:00,2.56,2.56,2.55,2.55,13778120,0.02,-2.291,
2017-01-04 11:15:00,2.55,2.55,2.54,2.54,15643760,0.01,-2.717,
2017-01-04 11:20:00,2.54,2.55,2.54,2.54,11814400,0.01,-2.644,
2017-01-04 11:25:00,2.54,2.55,2.54,2.55,16797800,0.01,-3.677,
2017-01-04 11:30:00,2.55,2.56,2.55,2.56,15162200,0.01,-3.758,
2017-01-04 11:35:00,2.56,2.56,2.56,2.56,10668680,0.01,-2.65,
2017-01-04 11:40:00,2.56,2.57,2.55,2.57,13153160,0.01,-1.019,
2017-01-04 11:45:00,2.57,2.58,2.57,2.58,14773840,0.01,-0.782,
2017-01-04 11:50:00,2.58,2.58,2.57,2.58,12009560,0.01,-0.656,
2017-01-04 11:55:00,2.58,2.58,2.57,2.57,17413840,0.01,-1.519,
2017-01-04 12:00:00,2.57,2.58,2.57,2.57,10872480,0.01,-1.74,
2017-01-04 12:05:00,2.57,2.57,2.57,2.57,6984400,0.01,-1.731,
2017-01-04 12:10:00,2.57,2.58,2.57,2.58,8466360,0.01,0.224,
2017-01-04 12:15:00,2.58,2.59,2.58,2.59,13173200,0.01,2.017,
2017-01-04 12:20:00,2.59,2.6,2.59,2.6,21494480,0.01,2.566,
2017-01-04 12:25:00,2.6,2.61,2.6,2.6,17562040,0.01,3.301,
2017-01-04 12:30:00,2.6,2.6,2.6,2.6,15505240,0.01,3.611,
2017-01-04 12:35:00,2.6,2.6,2.59,2.6,10805920,0.01,4.133,
2017-01-04 12:40:00,2.6,2.6,2.59,2.6,9083120,0.01,2.323,
2017-01-04 12:45:00,2.6,2.61,2.6,2.61,14403680,0.01,2.097,
2017-01-04 12:50:00,2.61,2.61,2.6,2.61,13617400,0.01,3.13,
2017-01-04 12:55:00,2.61,2.61,2.6,2.61,9962240,0.01,4.365,
2017-01-04 13:00:00,2.61,2.61,2.6,2.6,8215960,0.01,4.421,
2017-01-04 13:05:00,2.6,2.61,2.6,2.6,7037480,0.01,4.797,
2017-01-04 13:10:00,2.6,2.61,2.6,2.61,8612520,0.01,4.088,
2017-01-04 13:15:00,2.61,2.61,2.6,2.6,7950760,0.01,1.73,
2017-01-04 13:20:00,2.6,2.61,2.6,2.61,8025200,0.01,2.004,
2017-01-04 13:25:00,2.61,2.62,2.61,2.62,15547800,0.01,1.882,
2017-01-04 13:30:00,2.62,2.62,2.62,2.62,8191160,0.01,1.225,
2017-01-04 13:35:00,2.62,2.62,2.61,2.62,9512920,0.01,1.519,
2017-01-04 13:40:00,2.62,2.62,2.61,2.61,7347000,0.01,1.356,
2017-01-04 13:45:00,2.61,2.62,2.61,2.62,7291520,0.01,1.217,
2017-01-04 13:50:00,2.62,2.62,2.62,2.62,5152360,0.01,0.516,
2017-01-04 13:55:00,2.62,2.62,2.61,2.61,9854920,0.01,0.282,
2017-01-04 14:00:00,2.61,2.62,2.61,2.61,6847440,0.01,1.291,
2017-01-04 14:05:00,2.61,2.61,2.6,2.6,14247360,0.01,-0.267,
2017-01-04 14:10:00,2.6,2.61,2.59,2.6,13974520,0.01,-2.965,
2017-01-04 14:15:00,2.6,2.61,2.6,2.6,10803480,0.01,-2.953,
