Datetime,Open,High,Low,Close,Volume,atr,rrs_m5,rrs_d1
2017-01-03 10:40:00,119.54,119.64,119.53,119.59,230803,0.23,1.147,
2017-01-03 10:45:00,119.59,119.63,119.44,119.45,395851,0.23,0.334,
2017-01-03 10:50:00,119.46,119.5,119.38,119.43,288149,0.22,0.309,
2017-01-03 10:55:00,119.43,119.43,119.19,119.24,462494,0.22,0.496,
2017-01-03 11:00:00,119.24,119.25,119.1,119.23,257639,0.21,0.846,
2017-01-03 11:05:00,119.23,119.4,119.23,119.35,225547,0.21,1.341,
2017-01-03 11:10:00,119.36,119.39,119.29,119.34,139573,0.2,1.422,
2017-01-03 11:15:00,119.34,119.34,119.12,119.14,246186,0.2,1.486,
2017-01-03 11:20:00,119.15,119.3,119.14,119.27,305442,0.2,0.682,
2017-01-03 11:25:00,119.27,119.27,119.14,119.16,156516,0.2,1.105,
2017-01-03 11:30:00,119.15,119.32,119.15,119.24,117485,0.19,1.29,
2017-01-03 11:35:00,119.23,119.27,119.06,119.08,179723,0.2,1.533,
2017-01-03 11:40:00,119.08,119.09,118.89,118.92,341060,0.2,0.672,
2017-01-03 11:45:00,118.92,119.06,118.91,119.02,235563,0.19,0.828,
2017-01-03 11:50:00,119.01,119.09,118.97,119.06,135638,0.19,0.653,
2017-01-03 11:55:00,119.07,119.14,119.0,119.14,173771,0.18,0.595,
2017-01-03 12:00:00,119.15,119.16,119.05,119.08,229261,0.18,0.12,
2017-01-03 12:05:00,119.09,119.09,118.96,119.04,301537,0.18,-0.571,
2017-01-03 12:10:00,119.04,119.15,119.04,119.12,170528,0.17,-0.183,
2017-01-03 12:15:00,119.1,119.16,119.07,119.13,145925,0.16,0.609,
2017-01-03 12:20:00,119.13,119.14,119.01,119.06,133907,0.16,0.578,
2017-01-03 12:25:00,119.06,119.12,119.06,119.07,256947,0.15,0.277,
2017-01-03 12:30:00,119.08,119.14,119.02,119.12,214432,0.15,0.217,
2017-01-03 12:35:00,119.12,119.12,119.01,119.02,169243,0.15,-0.129,
2017-01-03 12:40:00,119.01,119.04,118.92,118.92,154159,0.15,-0.048,
2017-01-03 12:45:00,118.93,119.08,118.9,119.07,211694,0.15,0.212,
2017-01-03 12:50:00,119.08,119.09,118.96,119.03,64028,0.15,0.396,
2017-01-03 12:55:00,119.03,119.11,119.03,119.08,175159,0.14,0.197,
2017-01-03 13:00:00,119.08,119.13,119.05,119.07,95013,0.14,0.565,
2017-01-03 13:05:00,119.07,119.1,118.99,119.03,122709,0.14,0.996,
2017-01-03 13:10:00,119.03,119.09,119.0,119.09,70637,0.13,0.695,
2017-01-03 13:15:00,119.1,119.13,119.06,119.12,155604,0.13,0.348,
2017-01-03 13:20:00,119.12,119.2,119.1,119.19,309712,0.13,0.438,
2017-01-03 13:25:00,119.2,119.2,119.11,119.11,66537,0.12,0.108,
