Datetime,Open,High,Low,Close,Volume,atr,rrs_m5,rrs_d1
2018-04-03 13:50:00,159.25,160.0,157.81,158.03,298493,2.34,-2.615,
2018-04-03 13:55:00,158.1,158.5,157.33,157.33,188822,2.26,-2.87,
2018-04-03 14:00:00,157.35,157.4,155.76,156.45,259527,2.21,-3.419,
2018-04-03 14:05:00,156.39,156.89,155.36,156.18,215710,2.16,-3.52,
2018-04-03 14:10:00,156.18,156.3,155.21,155.32,319436,2.09,-2.86,
2018-04-03 14:15:00,155.28,156.0,155.0,155.3,505259,2.01,-1.797,
2018-04-03 14:20:00,155.35,155.5,155.0,155.12,407511,1.9,-1.168,
2018-04-03 14:25:00,155.11,156.0,155.0,155.62,795990,1.84,-0.518,
2018-04-03 14:30:00,155.58,155.58,153.11,153.3,637546,1.88,-0.814,
2018-04-03 14:35:00,153.29,153.29,152.0,152.17,720010,1.84,-2.353,
2018-04-03 14:40:00,152.16,152.38,150.98,151.05,896441,1.81,-1.676,
2018-04-03 14:45:00,151.06,151.5,150.21,150.7,339381,1.77,-5.682,
2018-04-03 14:50:00,150.7,151.74,150.07,150.15,534724,1.77,-4.123,
2018-04-03 14:55:00,150.17,150.69,150.0,150.55,441237,1.69,-4.365,
2018-04-03 15:00:00,150.54,151.75,150.29,151.21,360236,1.67,-4.901,
2018-04-03 15:05:00,151.23,151.6,150.02,150.08,410490,1.67,-7.126,
2018-04-03 15:10:00,150.08,151.25,150.0,150.8,947780,1.64,-5.292,
2018-04-03 15:15:00,150.93,151.65,149.09,150.41,1255183,1.7,-6.172,
2018-04-03 15:20:00,150.53,151.0,150.0,150.51,114949,1.65,-5.772,
2018-04-03 15:25:00,150.56,150.65,149.06,149.61,324812,1.65,-7.762,
2018-04-03 15:30:00,149.7,150.5,148.48,150.0,434777,1.67,-5.803,
2018-04-03 15:35:00,150.0,150.0,148.62,149.14,371529,1.65,-5.128,
2018-04-03 15:40:00,149.19,149.72,148.26,149.41,281060,1.64,-4.975,
2018-04-03 15:45:00,149.43,150.0,148.55,149.72,276409,1.63,-2.449,
2018-04-03 15:50:00,149.73,149.94,149.0,149.87,318530,1.58,-2.405,
2018-04-03 15:55:00,149.89,150.5,148.7,149.94,458987,1.59,-2.434,
2018-04-04 09:30:00,140.0,141.8,136.4,140.88,1147862,2.45,-2.649,
2018-04-04 09:35:00,140.71,142.5,140.26,142.21,301476,2.43,0.464,
2018-04-04 09:40:00,142.31,143.4,141.0,142.43,239306,2.43,-0.766,
2018-04-04 09:45:00,142.4,145.0,142.23,144.97,288821,2.45,1.172,
2018-04-04 09:50:00,144.98,145.0,143.5,144.06,154704,2.39,0.444,
2018-04-04 09:55:00,144.07,144.84,144.0,144.1,140438,2.28,0.86,
2018-04-04 10:00:00,144.06,144.8,143.5,144.08,123214,2.21,0.08,
2018-04-04 10:05:00,144.19,145.0,144.0,144.8,207055,2.12,0.219,
2018-04-04 10:10:00,144.87,145.0,144.14,144.85,134833,2.03,-0.293,
2018-04-04 10:15:00,144.97,145.99,142.58,143.16,391675,2.13,-1.285,
2018-04-04 10:20:00,142.78,143.15,141.5,142.81,93169,2.09,-0.618,
2018-04-04 10:25:00,142.59,142.59,141.22,141.58,94360,2.06,-0.605,
2018-04-04 10:30:00,141.66,142.5,141.37,141.57,46470,1.99,-0.223,
2018-04-04 10:35:00,141.57,142.0,141.0,141.71,78189,1.92,-1.042,
2018-04-04 10:40:00,141.83,142.0,141.25,141.31,90699,1.84,-1.056,
2018-04-04 10:45:00,141.41,143.73,141.31,142.97,142414,1.88,-3.792,
2018-04-04 10:50:00,142.97,143.99,142.84,143.95,61463,1.83,-1.619,
2018-04-04 10:55:00,143.82,144.15,142.39,142.5,53019,1.82,-2.549,
2018-04-04 11:00:00,142.71,143.0,141.81,141.99,43415,1.78,-2.785,
2018-04-04 11:05:00,141.99,142.18,141.75,141.75,84728,1.68,-2.566,
2018-04-04 11:10:00,141.75,141.8,141.05,141.14,71279,1.61,-2.683,
2018-04-04 11:15:00,141.17,141.49,141.09,141.28,85950,1.53,-2.836,
2018-04-04 11:20:00,141.28,141.31,140.49,140.77,109220,1.48,-4.597,
2018-04-04 11:25:00,140.77,141.55,140.76,141.26,102004,1.43,-2.977,
2018-04-04 11:30:00,141.26,141.26,139.91,140.42,196627,1.42,-4.425,
2018-04-04 11:35:00,140.47,140.5,139.96,140.0,124821,1.36,-3.981,
2018-04-04 11:40:00,140.07,140.22,139.01,139.67,98911,1.35,-3.589,
2018-04-04 11:45:00,139.75,140.0,139.41,139.69,134379,1.29,-3.439,
2018-04-04 11:50:00,139.56,139.74,138.91,139.5,165522,1.26,-4.418,
2018-04-04 11:55:00,139.59,140.69,139.5,140.24,202489,1.26,-2.888,
2018-04-04 12:00:00,140.24,140.38,139.58,140.08,131448,1.22,-3.062,
2018-04-04 12:05:00,140.08,140.1,139.65,139.92,37073,1.17,-4.408,
2018-04-04 12:10:00,139.87,141.41,139.87,141.34,107392,1.2,-3.074,
2018-04-04 12:15:00,141.35,141.39,140.5,140.5,37644,1.17,-2.421,
2018-04-04 12:20:00,140.5,140.65,140.01,140.38,175178,1.14,-1.83,
2018-04-04 12:25:00,140.39,140.5,140.0,140.0,100028,1.09,-3.057,
2018-04-04 12:30:00,140.0,140.38,140.0,140.1,25912,1.04,-1.739,
2018-04-04 12:35:00,140.13,140.52,140.1,140.52,60845,0.99,-1.72,
2018-04-04 12:40:00,140.5,140.53,139.12,139.64,75218,1.02,-3.095,
2018-04-04 12:45:00,139.64,140.18,139.5,140.08,38599,1.0,-1.809,
2018-04-04 12:50:00,140.07,140.1,139.17,139.27,119139,0.99,-2.804,
2018-04-04 12:55:00,139.27,139.86,139.17,139.54,57055,0.97,-2.414,
2018-04-04 13:00:00,139.58,140.0,139.58,139.93,44065,0.94,-1.598,
2018-04-04 13:05:00,139.93,140.0,139.63,139.97,42023,0.9,0.164,
2018-04-04 13:10:00,139.97,139.99,139.39,139.39,37409,0.87,-1.485,
2018-04-04 13:15:00,139.39,139.5,138.68,138.78,74190,0.87,-1.112,
2018-04-04 13:20:00,138.78,139.4,138.5,138.95,117730,0.87,0.476,
2018-04-04 13:25:00,138.75,139.14,138.6,138.7,49864,0.85,0.228,
2018-04-04 13:30:00,138.65,138.8,138.0,138.3,80379,0.85,-0.028,
2018-04-04 13:35:00,138.31,138.54,138.08,138.43,30659,0.82,-1.01,
2018-04-04 13:40:00,138.36,138.45,138.0,138.24,67695,0.79,-0.392,
2018-04-04 13:45:00,138.3,138.85,138.13,138.44,72551,0.79,-0.297,
2018-04-04 13:50:00,138.45,139.7,138.43,139.65,104915,0.82,2.35,
2018-04-04 13:55:00,139.65,139.7,138.52,138.78,155630,0.85,0.165,
2018-04-04 14:00:00,138.82,138.95,138.55,138.58,44251,0.81,-1.409,
2018-04-04 14:05:00,138.6,138.7,137.16,137.3,96782,0.87,-4.691,
2018-04-04 14:10:00,137.3,138.5,137.3,138.32,97077,0.89,-3.516,
2018-04-04 14:15:00,138.4,138.45,137.65,137.84,57504,0.88,-5.1,
2018-04-04 14:20:00,137.93,137.97,137.5,137.61,55315,0.85,-6.417,
2018-04-04 14:25:00,137.61,137.61,136.71,137.29,204564,0.86,-6.797,
2018-04-04 14:30:00,137.29,137.31,136.02,136.06,115299,0.89,-7.741,
2018-04-04 14:35:00,136.1,137.0,136.0,136.23,104923,0.9,-5.896,
2018-04-04 14:40:00,136.23,136.94,135.51,136.39,135236,0.93,-6.734,
2018-04-04 14:45:00,136.36,137.4,136.07,136.08,92397,0.96,-7.465,
2018-04-04 14:50:00,136.44,136.44,135.64,135.94,71338,0.95,-8.703,
2018-04-04 14:55:00,135.96,136.35,135.51,136.33,51433,0.94,-7.463,
2018-04-04 15:00:00,136.32,136.63,135.85,136.07,108019,0.93,-7.788,
2018-04-04 15:05:00,136.16,136.88,135.81,136.76,55546,0.94,-5.203,
2018-04-04 15:10:00,136.82,138.5,136.61,138.49,87883,1.01,-2.742,
2018-04-04 15:15:00,138.48,139.6,138.13,139.16,114784,1.04,-0.267,
2018-04-04 15:20:00,139.01,139.75,138.2,139.2,86034,1.08,-1.114,
2018-04-04 15:25:00,138.97,139.67,138.6,139.43,63896,1.08,-0.461,
2018-04-04 15:30:00,139.42,141.22,139.17,140.99,153140,1.15,1.686,
2018-04-04 15:35:00,141.26,143.8,140.7,143.01,183558,1.29,1.644,
2018-04-04 15:40:00,143.28,144.8,142.48,144.39,389020,1.36,4.009,
2018-04-04 15:45:00,144.29,146.54,144.26,146.3,544331,1.43,4.234,
2018-04-04 15:50:00,146.3,148.75,146.22,148.45,311453,1.51,4.512,
2018-04-04 15:55:00,148.33,148.93,144.8,145.87,556006,1.69,3.595,
2018-04-05 09:30:00,149.23,151.1,147.5,150.59,547570,1.95,2.567,
2018-04-05 09:35:00,150.6,151.8,150.0,151.0,469651,1.93,4.014,
2018-04-05 09:40:00,151.0,152.41,150.0,150.09,286458,1.97,2.037,
2018-04-05 09:45:00,150.02,150.18,149.22,150.0,187239,1.9,1.437,
2018-04-05 09:50:00,150.0,151.1,149.99,150.5,182546,1.84,2.545,
2018-04-05 09:55:00,150.69,150.69,148.03,148.17,100352,1.9,1.333,
2018-04-05 10:00:00,148.2,149.5,148.16,149.49,100369,1.86,1.565,
2018-04-05 10:05:00,149.48,150.25,149.14,149.8,108393,1.81,0.823,
2018-04-05 10:10:00,149.68,150.8,149.68,150.35,94418,1.76,-0.216,
2018-04-05 10:15:00,150.44,150.44,149.35,149.67,87798,1.71,-0.277,
2018-04-05 10:20:00,149.65,150.44,149.5,149.68,59342,1.65,-0.842,
2018-04-05 10:25:00,149.68,149.73,148.8,149.2,99921,1.6,-0.354,
2018-04-05 10:30:00,149.27,149.9,149.0,149.77,45003,1.55,0.442,
2018-04-05 10:35:00,149.88,150.2,149.2,149.2,92335,1.51,-1.499,
2018-04-05 10:40:00,149.2,149.59,149.01,149.18,34922,1.45,-0.969,
2018-04-05 10:45:00,149.24,149.69,149.2,149.63,45006,1.38,-0.511,
2018-04-05 10:50:00,149.63,149.63,149.09,149.38,57493,1.32,-0.661,
2018-04-05 10:55:00,149.36,150.0,149.35,149.76,95927,1.27,2.256,
2018-04-05 11:00:00,149.81,149.85,148.85,149.18,67668,1.25,-1.112,
2018-04-05 11:05:00,149.38,150.01,149.19,149.94,62254,1.22,-1.36,
2018-04-05 11:10:00,150.0,151.45,150.0,151.12,192335,1.24,-0.549,
2018-04-05 11:15:00,151.1,151.73,150.45,150.7,83965,1.25,-1.273,
2018-04-05 11:20:00,150.75,151.08,149.05,149.05,160383,1.3,-3.318,
2018-04-05 11:25:00,149.08,150.2,149.08,150.11,67274,1.29,-2.163,
2018-04-05 11:30:00,150.16,150.31,150.0,150.15,39824,1.22,-3.027,
2018-04-05 11:35:00,150.23,150.7,149.81,150.21,209593,1.2,-2.389,
2018-04-05 11:40:00,150.11,150.59,149.91,149.91,45295,1.16,-2.442,
2018-04-05 11:45:00,150.02,150.12,149.25,149.78,62926,1.14,-3.273,
