Datetime,Open,High,Low,Close,Volume,atr,rrs_m5,rrs_d1
2017-01-03 10:40:00,90.89,90.98,90.86,90.93,122274,0.16,-0.496,
2017-01-03 10:45:00,90.93,91.02,90.93,90.95,137272,0.16,-0.939,
2017-01-03 10:50:00,90.95,91.0,90.88,90.95,118355,0.15,-0.827,
2017-01-03 10:55:00,90.96,90.97,90.84,90.91,152578,0.15,0.915,
2017-01-03 11:00:00,90.9,90.95,90.76,90.78,171526,0.16,1.478,
2017-01-03 11:05:00,90.78,90.78,90.67,90.74,76560,0.15,3.209,
2017-01-03 11:10:00,90.74,90.81,90.63,90.8,116278,0.15,3.044,
2017-01-03 11:15:00,90.79,90.86,90.65,90.67,80934,0.16,3.603,
2017-01-03 11:20:00,90.67,90.79,90.66,90.7,72029,0.16,3.064,
2017-01-03 11:25:00,90.7,90.7,90.41,90.43,143806,0.17,2.376,
2017-01-03 11:30:00,90.46,90.56,90.45,90.48,98302,0.16,2.106,
2017-01-03 11:35:00,90.47,90.47,90.28,90.3,97911,0.17,1.223,
2017-01-03 11:40:00,90.3,90.3,90.15,90.23,102846,0.16,0.918,
2017-01-03 11:45:00,90.24,90.52,90.22,90.49,123867,0.17,0.871,
2017-01-03 11:50:00,90.5,90.52,90.42,90.43,47664,0.17,0.218,
2017-01-03 11:55:00,90.45,90.45,90.36,90.45,77171,0.16,-1.085,
2017-01-03 12:00:00,90.46,90.55,90.46,90.5,66994,0.16,-0.463,
2017-01-03 12:05:00,90.5,90.5,90.33,90.4,90704,0.16,-0.58,
2017-01-03 12:10:00,90.4,90.4,90.26,90.26,78092,0.16,-1.771,
2017-01-03 12:15:00,90.25,90.29,90.21,90.23,62137,0.15,-1.733,
2017-01-03 12:20:00,90.22,90.31,90.21,90.25,96092,0.15,-0.672,
2017-01-03 12:25:00,90.25,90.3,90.23,90.28,40858,0.14,-0.037,
2017-01-03 12:30:00,90.27,90.28,90.2,90.28,45490,0.14,-0.22,
2017-01-03 12:35:00,90.27,90.34,90.25,90.27,70648,0.14,0.088,
2017-01-03 12:40:00,90.27,90.3,90.24,90.28,53141,0.13,0.29,
2017-01-03 12:45:00,90.29,90.43,90.28,90.43,59677,0.13,-0.57,
2017-01-03 12:50:00,90.44,90.49,90.41,90.49,40640,0.13,1.028,
2017-01-03 12:55:00,90.48,90.52,90.44,90.51,45095,0.12,1.057,
2017-01-03 13:00:00,90.5,90.52,90.43,90.47,32738,0.12,0.41,
2017-01-03 13:05:00,90.48,90.48,90.38,90.42,52374,0.12,1.227,
2017-01-03 13:10:00,90.42,90.49,90.38,90.47,35608,0.12,2.593,
2017-01-03 13:15:00,90.48,90.48,90.38,90.43,27422,0.12,2.032,
2017-01-03 13:20:00,90.44,90.49,90.38,90.39,37785,0.12,0.521,
2017-01-03 13:25:00,90.4,90.49,90.38,90.47,56402,0.12,1.34,
2017-01-03 13:30:00,90.48,90.52,90.4,90.41,46641,0.12,1.255,
2017-01-03 13:35:00,90.41,90.42,90.36,90.42,41820,0.11,1.061,
