,0
Start,2017-01-03 10:40:00
End,2019-01-02 15:55:00
Duration,729 days 05:15:00
Exposure Time [%],34.543079602499745
Equity Final [$],11706.806267302372
Equity Peak [$],11948.100208584116
Return [%],17.068062673023725
Buy & Hold Return [%],36.46733494642239
Return (Ann.) [%],8.214945721475765
Volatility (Ann.) [%],4.173870643678389
Sharpe Ratio,1.9681840724790691
Sortino Ratio,4.056343190076286
Calmar Ratio,2.906655954208875
Max. Drawdown [%],-2.8262532101814175
Avg. Drawdown [%],-0.20052778284720246
Max. Drawdown Duration,89 days 22:20:00
Avg. Drawdown Duration,3 days 00:30:00
# Trades,652
Win Rate [%],47.239263803680984
Best Trade [%],3.4185967969319053
Worst Trade [%],-1.8863072183382013
Avg. Trade [%],0.11350476377256502
Max. Trade Duration,0 days 06:15:00
Avg. Trade Duration,0 days 03:17:00
Profit Factor,1.5835737708564812
Expectancy [%],0.11610956009869632
SQN,4.055888317499351
Kelly Criterion,0.7799123371840252
