,0
Start,2017-01-03 10:40:00
End,2019-01-02 15:55:00
Duration,729 days 05:15:00
Exposure Time [%],31.323722149410223
Equity Final [$],16289.694112856372
Equity Peak [$],16289.694112856372
Return [%],62.896941128563725
Buy & Hold Return [%],117.22770361772103
Return (Ann.) [%],27.69300685398248
Volatility (Ann.) [%],13.111292279083814
Sharpe Ratio,2.1121493034031884
Sortino Ratio,6.05645311529
Calmar Ratio,4.6382173417174135
Max. Drawdown [%],-5.970614314448763
Avg. Drawdown [%],-0.47494110370965203
Max. Drawdown Duration,244 days 01:00:00
Avg. Drawdown Duration,2 days 22:02:00
# Trades,315
Win Rate [%],49.2063492063492
Best Trade [%],4.303904524738056
Worst Trade [%],-3.4346622095243973
Avg. Trade [%],0.17432276154631943
Max. Trade Duration,1 days 18:55:00
Avg. Trade Duration,0 days 03:17:00
Profit Factor,1.711653832652217
Expectancy [%],0.1789533248023511
SQN,3.4924961697236667
Kelly Criterion,0.7614267464029952
