,0
Start,2017-01-03 10:40:00
End,2019-01-02 15:55:00
Duration,729 days 05:15:00
Exposure Time [%],38.72215108834827
Equity Final [$],11524.574331123998
Equity Peak [$],11754.12953417792
Return [%],15.245743311239984
Buy & Hold Return [%],64.5979020979021
Return (Ann.) [%],7.367713387819386
Volatility (Ann.) [%],4.553571607528961
Sharpe Ratio,1.6180075823640216
Sortino Ratio,3.418458379503385
Calmar Ratio,3.4873607403871656
Max. Drawdown [%],-2.1126903513289608
Avg. Drawdown [%],-0.2002364353224013
Max. Drawdown Duration,143 days 19:20:00
Avg. Drawdown Duration,3 days 08:38:00
# Trades,684
Win Rate [%],46.92982456140351
Best Trade [%],10.70354114321338
Worst Trade [%],-5.244044268312731
Avg. Trade [%],0.25338110765666944
Max. Trade Duration,2 days 20:40:00
Avg. Trade Duration,0 days 03:42:00
Profit Factor,1.4810967284136045
Expectancy [%],0.27262761371252525
SQN,3.2402320024727818
Kelly Criterion,0.7987707973982072
