,0
Start,2017-01-03 10:40:00
End,2019-01-02 15:55:00
Duration,729 days 05:15:00
Exposure Time [%],37.71628954643187
Equity Final [$],12194.171014622058
Equity Peak [$],13171.952517406411
Return [%],21.941710146220576
Buy & Hold Return [%],27.954275534441802
Return (Ann.) [%],10.448997713116626
Volatility (Ann.) [%],7.3235545487201446
Sharpe Ratio,1.42676587490465
Sortino Ratio,2.8094720787823904
Calmar Ratio,1.1695572569941024
Max. Drawdown [%],-8.93414807238404
Avg. Drawdown [%],-0.3012028961409803
Max. Drawdown Duration,78 days 00:15:00
Avg. Drawdown Duration,2 days 13:30:00
# Trades,373
Win Rate [%],47.18498659517426
Best Trade [%],3.338152187630472
Worst Trade [%],-2.30622501273543
Avg. Trade [%],0.06671393873294296
Max. Trade Duration,2 days 23:40:00
Avg. Trade Duration,0 days 03:31:00
Profit Factor,1.3424626980256562
Expectancy [%],0.06882942279519796
SQN,1.9824023409427762
Kelly Criterion,0.8273011413999134
