,0
Start,2017-01-03 10:40:00
End,2019-01-02 15:55:00
Duration,729 days 05:15:00
Exposure Time [%],25.258709016393443
Equity Final [$],10259.3412024808
Equity Peak [$],10677.436633556921
Return [%],2.5934120248080035
Buy & Hold Return [%],29.51751818713938
Return (Ann.) [%],1.2909839682603286
Volatility (Ann.) [%],4.598843593729911
Sharpe Ratio,0.28071925951568855
Sortino Ratio,0.43629280634284373
Calmar Ratio,0.3296950526476295
Max. Drawdown [%],-3.9156910541818246
Avg. Drawdown [%],-0.3977943996443442
Max. Drawdown Duration,191 days 21:55:00
Avg. Drawdown Duration,11 days 17:21:00
# Trades,253
Win Rate [%],45.8498023715415
Best Trade [%],2.4843472488768503
Worst Trade [%],-1.5041504729550903
Avg. Trade [%],0.01107735843233204
Max. Trade Duration,0 days 06:15:00
Avg. Trade Duration,0 days 03:10:00
Profit Factor,1.0732631768179182
Expectancy [%],0.01228765535244958
SQN,0.41081839936712483
Kelly Criterion,0.8838379477916962
