,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion
AAPL,2017-01-03 10:40:00,2019-01-02 15:55:00,729 days 05:15:00,34.543079602499745,11706.806267302372,11948.100208584116,17.068062673023725,36.46733494642239,8.214945721475765,4.173870643678389,1.9681840724790691,4.056343190076286,2.906655954208875,-2.8262532101814175,-0.20052778284720246,89 days 22:20:00,3 days 00:30:00,652,47.239263803680984,3.4185967969319053,-1.8863072183382013,0.11350476377256502,0 days 06:15:00,0 days 03:17:00,1.5835737708564812,0.11610956009869632,4.055888317499351,0.7799123371840252
TSLA,2017-01-03 10:40:00,2019-01-02 15:55:00,729 days 05:15:00,44.125339761013386,11538.71498190685,11676.062581251063,15.387149819068508,41.285030758714974,7.433694232280419,4.839344858627919,1.5360951635895745,2.889819234654898,2.2051611728426255,-3.371043497332127,-0.2587563079008942,69 days 05:30:00,3 days 17:10:00,814,44.840294840294845,10.705997435080494,-4.914922505957575,0.16292059584184226,0 days 06:15:00,0 days 03:21:00,1.3411825216314064,0.17665429080202663,3.1247339648033146,0.7892217272225519
MU,2017-01-03 10:40:00,2019-01-02 15:55:00,729 days 05:15:00,38.4915041390092,12085.299296057598,12265.418190181103,20.852992960575975,45.53531763660593,9.953857928159326,8.55814032896592,1.16308655216478,2.0652543517087816,1.303875016624796,-7.634058327097815,-0.40245414488581266,210 days 20:15:00,4 days 16:49:00,676,47.485207100591715,6.367924528301883,-3.814485526091238,0.15074473268927857,2 days 22:40:00,0 days 03:48:00,1.3449968376340438,0.16149511973163674,2.4403718449780287,0.8460247962072092
AMZN,2017-01-03 10:40:00,2019-01-02 15:55:00,729 days 05:15:00,33.70872989405095,11896.704856393011,12099.704856393011,18.96704856393011,103.86652542372883,9.090848710257294,8.673119753339314,1.0481636330176516,1.9366539371510603,0.8162288301346301,-11.137622655104984,-0.3787076756600395,245 days 21:55:00,4 days 20:26:00,598,47.82608695652174,6.940371456500493,-2.8111455108359107,0.09143388776184924,2 days 23:50:00,0 days 03:38:00,1.3510627375533883,0.09610957068378795,2.1685898794827088,0.8419706237218154
XOM,2017-01-03 10:40:00,2019-01-02 15:55:00,729 days 05:15:00,34.23165430836103,11018.510060294257,11241.429650712194,10.185100602942567,-23.38062245683493,4.979211850817378,5.646591291256833,0.8818084387526287,1.5275484847924299,0.8868485242707481,-5.614500914811538,-0.38081281938065736,222 days 03:15:00,6 days 10:07:00,652,46.31901840490797,2.6552462526766574,-1.68735091538188,0.03983521054180539,1 days 23:55:00,0 days 03:26:00,1.2350785510213869,0.04134263534010596,1.8238294792524883,0.8542355077380412
AMD,2017-01-03 10:40:00,2019-01-02 15:55:00,729 days 05:15:00,38.72215108834827,11524.574331123998,11754.12953417792,15.245743311239984,64.5979020979021,7.367713387819386,4.553571607528961,1.6180075823640216,3.418458379503385,3.4873607403871656,-2.1126903513289608,-0.2002364353224013,143 days 19:20:00,3 days 08:38:00,684,46.92982456140351,10.70354114321338,-5.244044268312731,0.25338110765666944,2 days 20:40:00,0 days 03:42:00,1.4810967284136045,0.27262761371252525,3.2402320024727818,0.7987707973982072
QQQ,2017-01-03 10:40:00,2019-01-02 15:55:00,729 days 05:15:00,25.258709016393443,10259.3412024808,10677.436633556921,2.5934120248080035,29.51751818713938,1.2909839682603286,4.598843593729911,0.28071925951568855,0.43629280634284373,0.3296950526476295,-3.9156910541818246,-0.3977943996443442,191 days 21:55:00,11 days 17:21:00,253,45.8498023715415,2.4843472488768503,-1.5041504729550903,0.01107735843233204,0 days 06:15:00,0 days 03:10:00,1.0732631768179182,0.01228765535244958,0.41081839936712483,0.8838379477916962
META,2017-01-03 10:40:00,2019-01-02 15:55:00,729 days 05:15:00,34.99026340063544,12897.016433037445,13468.016433037445,28.97016433037445,15.374149659863956,13.593755230714066,8.302965942484578,1.6372167879381032,3.379547201640579,2.956821605554258,-4.597421503271892,-0.5265899962611695,125 days 23:20:00,4 days 08:03:00,346,47.398843930635834,4.7973549881180855,-3.1850744742447867,0.09301563337378305,1 days 23:35:00,0 days 03:21:00,1.3999177145654191,0.09652307096120705,2.2787102771082077,0.8056229217808715
GOOGL,2017-01-03 10:40:00,2019-01-02 15:55:00,729 days 05:15:00,33.1740649404028,11077.463082869577,11336.091899953997,10.774630828695772,30.440158259149364,5.260233950258653,4.4126945060380125,1.1920684613586843,2.1195734300144036,1.320343016646872,-3.9839904357713674,-0.2421145785496211,97 days 02:30:00,4 days 00:00:00,642,46.26168224299065,2.7384144006127875,-2.3747003250189747,0.06203051434581219,2 days 01:25:00,0 days 03:21:00,1.3042428706620788,0.06424318410323604,2.3901913276588678,0.8260630581861352
ORCL,2017-01-03 10:40:00,2019-01-02 15:55:00,729 days 05:15:00,32.4392116713591,10490.384854936925,11122.258464590814,4.90384854936925,17.52014556797505,2.42745406145215,3.924307443153209,0.6185687784700358,0.965170727209559,0.3803320917304597,-6.382459209286184,-0.2217590839901576,166 days 20:40:00,4 days 07:47:00,652,44.785276073619634,3.0525073000352343,-3.4476457055524046,0.030190112038641637,2 days 22:00:00,0 days 03:34:00,1.1430816276951088,0.03245260110948236,1.1872461629616375,0.8501596771711184
