,0
Start,2018-04-03 13:50:00
End,2019-01-02 15:55:00
Duration,274 days 02:05:00
Exposure Time [%],39.42864934887844
Equity Final [$],12221.191395078318
Equity Peak [$],13415.038836275207
Return [%],22.21191395078318
Buy & Hold Return [%],-28.04530785293932
Return (Ann.) [%],30.478835187559874
Volatility (Ann.) [%],16.15944530068881
Sharpe Ratio,1.8861312761930442
Sortino Ratio,4.310318658342844
Calmar Ratio,3.424849303321623
Max. Drawdown [%],-8.899321543286497
Avg. Drawdown [%],-0.7345525243408149
Max. Drawdown Duration,75 days 03:20:00
Avg. Drawdown Duration,2 days 16:37:00
# Trades,148
Win Rate [%],52.702702702702695
Best Trade [%],4.138517313770218
Worst Trade [%],-3.0845869960340333
Avg. Trade [%],0.1348508030214468
Max. Trade Duration,0 days 06:15:00
Avg. Trade Duration,0 days 03:18:00
Profit Factor,1.3347229590389877
Expectancy [%],0.14351939666156394
SQN,1.756404064053873
Kelly Criterion,0.8852320397067046
