,0
Start,2017-01-03 10:40:00
End,2019-01-02 15:55:00
Duration,729 days 05:15:00
Exposure Time [%],44.125339761013386
Equity Final [$],11538.71498190685
Equity Peak [$],11676.062581251063
Return [%],15.387149819068508
Buy & Hold Return [%],41.285030758714974
Return (Ann.) [%],7.433694232280419
Volatility (Ann.) [%],4.839344858627919
Sharpe Ratio,1.5360951635895745
Sortino Ratio,2.889819234654898
Calmar Ratio,2.2051611728426255
Max. Drawdown [%],-3.371043497332127
Avg. Drawdown [%],-0.2587563079008942
Max. Drawdown Duration,69 days 05:30:00
Avg. Drawdown Duration,3 days 17:10:00
# Trades,814
Win Rate [%],44.840294840294845
Best Trade [%],10.705997435080494
Worst Trade [%],-4.914922505957575
Avg. Trade [%],0.16292059584184226
Max. Trade Duration,0 days 06:15:00
Avg. Trade Duration,0 days 03:21:00
Profit Factor,1.3411825216314064
Expectancy [%],0.17665429080202663
SQN,3.1247339648033146
Kelly Criterion,0.7892217272225519
