,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,SL,TP,Duration
0,50,465,502,108.51,108.12,-19.5,-0.0,2017-01-11 10:25:00,2017-01-11 13:30:00,107.83253783388034,109.89492433223931,0 days 03:05:00
1,50,515,531,108.75,108.96,10.5,0.0,2017-01-11 14:35:00,2017-01-11 15:55:00,108.24351188470682,109.88297623058638,0 days 01:20:00
2,50,600,609,108.38,108.63,12.5,0.0,2017-01-12 15:10:00,2017-01-12 15:55:00,107.95752385173648,109.25495229652704,0 days 00:45:00
3,50,872,921,108.94,109.84,45.0,0.01,2017-01-19 11:50:00,2017-01-19 15:55:00,108.33934816569929,110.26130366860143,0 days 04:05:00
4,50,946,999,110.08,110.65,28.5,0.01,2017-01-20 11:30:00,2017-01-20 15:55:00,109.39378219868108,111.39243560263785,0 days 04:25:00
5,50,1002,1022,111.79,111.01,-39.19,-0.01,2017-01-23 09:40:00,2017-01-23 11:20:00,,113.2376920113253,0 days 01:40:00
6,50,1040,1077,110.99,110.94,-2.5,-0.0,2017-01-23 12:50:00,2017-01-23 15:55:00,110.41310405667394,112.11379188665212,0 days 03:05:00
7,50,1080,1155,112.15,113.74,79.5,0.01,2017-01-24 09:40:00,2017-01-24 15:55:00,111.07966524803436,114.32066950393127,0 days 06:15:00
8,50,1181,1233,113.81,114.14,16.5,0.0,2017-01-25 11:35:00,2017-01-25 15:55:00,113.19157872782813,115.04684254434375,0 days 04:20:00
9,50,1438,1467,113.19,113.8,30.5,0.01,2017-01-30 13:30:00,2017-01-30 15:55:00,112.67378705598632,114.10242588802737,0 days 02:25:00
10,50,1579,1597,113.34,113.0,-17.0,-0.0,2017-02-01 12:15:00,2017-02-01 13:45:00,112.76369434853189,114.46261130293622,0 days 01:30:00
11,50,1602,1623,113.35,113.29,-3.0,-0.0,2017-02-01 14:10:00,2017-02-01 15:55:00,112.79084296949821,114.28831406100359,0 days 01:45:00
12,50,1635,1654,113.38,113.02,-18.0,-0.0,2017-02-02 10:25:00,2017-02-02 12:00:00,112.42955849782919,115.1908830043416,0 days 01:35:00
13,50,1673,1685,113.29,112.95,-17.0,-0.0,2017-02-02 13:35:00,2017-02-02 14:35:00,112.89547198667204,114.10905602665592,0 days 01:00:00
14,50,1706,1779,114.34,115.14,40.0,0.01,2017-02-03 09:50:00,2017-02-03 15:55:00,113.49919923824133,116.02160152351735,0 days 06:05:00
15,50,1942,2013,115.14,116.3,58.0,0.01,2017-02-08 10:00:00,2017-02-08 15:55:00,114.36253065105304,116.66493869789392,0 days 05:55:00
16,-50,2253,2291,117.17,117.43,-13.0,-0.0,2017-02-14 09:55:00,2017-02-14 13:05:00,117.9053471916466,115.69930561670681,0 days 03:10:00
17,-50,2433,2474,118.63,118.9,-13.5,-0.0,2017-02-16 11:55:00,2017-02-16 15:20:00,119.21564211730953,117.45871576538093,0 days 03:25:00
18,-50,2506,2510,118.53,118.93,-20.0,-0.0,2017-02-17 11:30:00,2017-02-17 11:50:00,119.04419864860543,117.35160270278915,0 days 00:20:00
19,-50,2603,2633,119.4,119.68,-14.0,-0.0,2017-02-21 13:05:00,2017-02-21 15:35:00,119.92111364964903,118.41777270070195,0 days 02:30:00
20,-50,2719,2780,118.96,118.91,2.5,0.0,2017-02-23 09:45:00,2017-02-23 14:50:00,119.65364893843726,117.4827021231255,0 days 05:05:00
21,-50,2821,2846,118.39,118.63,-12.0,-0.0,2017-02-24 11:45:00,2017-02-24 13:50:00,119.03182263325803,117.16635473348393,0 days 02:05:00
22,-50,2877,2926,118.38,118.6,-11.0,-0.0,2017-02-27 09:55:00,2017-02-27 14:00:00,119.1937477733558,116.69250445328841,0 days 04:05:00
23,-50,2964,3015,118.36,118.6,-12.0,-0.0,2017-02-28 10:40:00,2017-02-28 14:55:00,119.0309698182268,116.95806036354642,0 days 04:15:00
24,-50,3203,3213,119.61,119.93,-16.0,-0.0,2017-03-03 11:05:00,2017-03-03 11:55:00,120.34558340490227,118.16883319019547,0 days 00:50:00
25,50,3282,3339,120.06,120.3,12.0,0.0,2017-03-06 11:10:00,2017-03-06 15:55:00,119.3750377519798,121.39992449604038,0 days 04:45:00
26,50,3343,3371,120.25,120.04,-10.5,-0.0,2017-03-07 09:45:00,2017-03-07 12:05:00,119.71371582030017,121.47256835939966,0 days 02:20:00
27,50,3391,3414,120.23,119.91,-16.0,-0.0,2017-03-07 13:45:00,2017-03-07 15:40:00,119.87016880719953,121.00966238560093,0 days 01:55:00
