,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,SL,TP,Duration
0,-50,388,396,11.41,11.53,-6.0,-0.01,2017-01-10 10:30:00,2017-01-10 11:10:00,11.657371093651145,10.47051562539542,0 days 00:40:00
1,-50,388,396,11.41,11.53,-6.0,-0.01,2017-01-10 10:30:00,2017-01-10 11:10:00,11.657371093651145,10.94525781269771,0 days 00:40:00
2,-50,406,453,11.46,11.44,1.0,0.0,2017-01-10 12:00:00,2017-01-10 15:55:00,11.626416528312896,10.794333886748419,0 days 03:55:00
3,-50,406,453,11.46,11.44,1.0,0.0,2017-01-10 12:00:00,2017-01-10 15:55:00,11.626416528312896,11.12716694337421,0 days 03:55:00
4,-50,457,531,11.29,11.22,3.5,0.01,2017-01-11 09:45:00,2017-01-11 15:55:00,11.463508152744888,10.595967389020444,0 days 06:10:00
5,-50,457,531,11.29,11.22,3.5,0.01,2017-01-11 09:45:00,2017-01-11 15:55:00,11.463508152744888,10.942983694510222,0 days 06:10:00
6,-50,534,585,10.83,10.84,-0.5,-0.0,2017-01-12 09:40:00,2017-01-12 13:55:00,11.070808511761392,9.816765952954434,0 days 04:15:00
7,-50,534,585,10.83,10.84,-0.5,-0.0,2017-01-12 09:40:00,2017-01-12 13:55:00,11.070808511761392,10.318382976477217,0 days 04:15:00
8,-50,617,687,10.69,10.6,4.5,0.01,2017-01-13 10:05:00,2017-01-13 15:55:00,10.934660222761696,9.711359108953213,0 days 05:50:00
9,-50,617,687,10.69,10.6,4.5,0.01,2017-01-13 10:05:00,2017-01-13 15:55:00,10.934660222761696,10.200679554476606,0 days 05:50:00
10,-50,690,765,10.03,9.82,10.5,0.02,2017-01-17 09:40:00,2017-01-17 15:55:00,10.31575312943648,8.886987482254076,0 days 06:15:00
11,-50,690,765,10.03,9.82,10.5,0.02,2017-01-17 09:40:00,2017-01-17 15:55:00,10.31575312943648,9.458493741127038,0 days 06:15:00
12,-50,768,789,9.78,9.99,-10.5,-0.02,2017-01-18 09:40:00,2017-01-18 11:25:00,10.077038712668672,8.491845149325309,0 days 01:45:00
13,-50,768,789,9.78,9.99,-10.5,-0.02,2017-01-18 09:40:00,2017-01-18 11:25:00,10.077038712668672,9.125922574662654,0 days 01:45:00
14,-50,819,843,9.93,9.9,1.5,0.0,2017-01-18 13:55:00,2017-01-18 15:55:00,10.041044742626584,9.485821029493664,0 days 02:00:00
15,-50,819,843,9.93,9.9,1.5,0.0,2017-01-18 13:55:00,2017-01-18 15:55:00,10.041044742626584,9.707910514746832,0 days 02:00:00
