,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,SL,TP,Duration
0,50,690,765,163.5,163.79,14.5,0.0,2017-01-17 09:40:00,2017-01-17 15:55:00,162.0804892730204,166.00902145395918,0 days 06:15:00
1,50,790,816,163.98,163.5,-24.0,-0.0,2017-01-18 11:30:00,2017-01-18 13:40:00,163.14014744236115,165.68970511527772,0 days 02:10:00
2,50,822,843,163.92,164.31,19.5,0.0,2017-01-18 14:10:00,2017-01-18 15:55:00,163.37245077492912,164.92509845014172,0 days 01:45:00
3,50,849,895,164.33,164.12,-10.5,-0.0,2017-01-19 09:55:00,2017-01-19 13:45:00,163.54124124732726,165.93751750534548,0 days 03:50:00
4,50,1005,1011,163.91,163.17,-37.0,-0.0,2017-01-23 09:55:00,2017-01-23 10:25:00,162.85012130945515,166.2097573810897,0 days 00:30:00
5,-50,1222,1233,164.0,164.24,-12.0,-0.0,2017-01-25 15:00:00,2017-01-25 15:55:00,164.3749201501498,163.16015969970042,0 days 00:55:00
6,-50,1236,1266,163.6,164.26,-33.0,-0.0,2017-01-26 09:40:00,2017-01-26 12:10:00,164.48714790383937,162.48570419232124,0 days 02:30:00
7,-50,1314,1389,163.03,161.89,57.0,0.01,2017-01-27 09:40:00,2017-01-27 15:55:00,164.38195795287814,160.3560840942437,0 days 06:15:00
8,50,1626,1701,168.03,168.0,-1.5,-0.0,2017-02-02 09:40:00,2017-02-02 15:55:00,165.2785167802773,173.4429664394454,0 days 06:15:00
9,50,1715,1779,168.72,168.13,-29.5,-0.0,2017-02-03 10:35:00,2017-02-03 15:55:00,167.35687291302818,171.3862541739436,0 days 05:20:00
10,50,1938,2013,168.04,168.27,11.5,0.0,2017-02-08 09:40:00,2017-02-08 15:55:00,167.37023221959802,169.28953556080393,0 days 06:15:00
11,-50,2175,2205,171.04,171.65,-30.5,-0.0,2017-02-13 09:55:00,2017-02-13 12:25:00,172.25836866615185,168.69326266769627,0 days 02:30:00
12,-50,2789,2793,175.96,175.87,4.5,0.0,2017-02-23 15:35:00,2017-02-23 15:55:00,176.70824955298622,174.4635008940276,0 days 00:20:00
13,-50,2890,2901,176.95,177.15,-10.0,-0.0,2017-02-27 11:00:00,2017-02-27 11:55:00,177.98121847799564,174.8575630440087,0 days 00:55:00
14,-50,3083,3087,177.51,177.8,-14.5,-0.0,2017-03-01 14:05:00,2017-03-01 14:25:00,178.09924634708028,176.21150730583943,0 days 00:20:00
15,-50,3186,3261,170.9,170.46,22.0,0.0,2017-03-03 09:40:00,2017-03-03 15:55:00,174.36842654218617,163.90314691562764,0 days 06:15:00
16,-50,3275,3339,168.58,166.71,93.5,0.01,2017-03-06 10:35:00,2017-03-06 15:55:00,169.98696494684333,165.5560701063133,0 days 05:20:00
17,-50,3402,3417,167.47,166.82,32.5,0.0,2017-03-07 14:40:00,2017-03-07 15:55:00,167.94971842866656,166.45056314266685,0 days 01:15:00
18,-50,3420,3495,166.47,166.23,12.0,0.0,2017-03-08 09:40:00,2017-03-08 15:55:00,167.4941241409214,164.36175171815717,0 days 06:15:00
19,-50,3500,3573,166.25,165.69,28.0,0.0,2017-03-09 09:50:00,2017-03-09 15:55:00,166.96644444539893,164.54711110920212,0 days 06:05:00
20,-50,3589,3651,165.28,165.4,-6.0,-0.0,2017-03-10 10:45:00,2017-03-10 15:55:00,166.4111889478859,163.1976221042282,0 days 05:10:00
21,-50,3654,3729,164.7,164.56,7.0,0.0,2017-03-13 09:40:00,2017-03-13 15:55:00,165.35818943742098,163.203621125158,0 days 06:15:00
22,50,3966,4041,167.9,167.97,3.5,0.0,2017-03-17 09:40:00,2017-03-17 15:55:00,166.79443260692045,170.0211347861591,0 days 06:15:00
23,50,4124,4139,168.38,167.35,-51.68,-0.01,2017-03-21 09:50:00,2017-03-21 11:05:00,,170.56718927645338,0 days 01:15:00
24,50,4206,4253,167.5,167.39,-5.5,-0.0,2017-03-22 10:10:00,2017-03-22 14:05:00,166.28434384832534,170.08131230334936,0 days 03:55:00
25,50,4267,4275,167.62,167.81,9.5,0.0,2017-03-22 15:15:00,2017-03-22 15:55:00,167.15386100493717,168.5222779901257,0 days 00:40:00
26,50,4278,4306,168.05,167.43,-31.0,-0.0,2017-03-23 09:40:00,2017-03-23 12:00:00,167.2648546728672,169.83029065426564,0 days 02:20:00
27,50,4499,4509,166.23,166.2,-1.5,-0.0,2017-03-27 15:05:00,2017-03-27 15:55:00,165.71707010123188,167.2558597975362,0 days 00:50:00
28,-50,4516,4540,165.64,166.15,-25.5,-0.0,2017-03-28 10:00:00,2017-03-28 12:00:00,166.49057740556987,163.90884518886025,0 days 02:00:00
29,-50,4834,4899,167.4,166.84,28.0,0.0,2017-04-03 10:30:00,2017-04-03 15:55:00,168.1246397711951,165.8907204576098,0 days 05:25:00
30,50,5058,5122,170.2,169.79,-20.5,-0.0,2017-04-06 09:40:00,2017-04-06 15:00:00,168.1834974442286,174.44300511154282,0 days 05:20:00
31,50,5154,5211,170.29,170.63,17.0,0.0,2017-04-07 11:10:00,2017-04-07 15:55:00,169.44147283946847,172.01705432106309,0 days 04:45:00
32,50,5214,5237,171.1,170.32,-39.1,-0.0,2017-04-10 09:40:00,2017-04-10 11:35:00,,172.6941293768374,0 days 01:55:00
33,50,5275,5289,171.08,170.91,-8.5,-0.0,2017-04-10 14:45:00,2017-04-10 15:55:00,170.3171289905981,172.51574201880385,0 days 01:10:00
34,50,5292,5299,171.03,170.36,-33.5,-0.0,2017-04-11 09:40:00,2017-04-11 10:15:00,170.09551898915265,173.19896202169468,0 days 00:35:00
35,50,5337,5361,170.52,170.25,-13.5,-0.0,2017-04-11 13:25:00,2017-04-11 15:25:00,169.92020404628445,171.7495919074311,0 days 02:00:00
36,50,5374,5394,170.7,170.18,-26.0,-0.0,2017-04-12 10:00:00,2017-04-12 11:40:00,169.73935199840503,172.74129600318997,0 days 01:40:00
37,50,5694,5737,170.5,170.33,-8.5,-0.0,2017-04-19 10:40:00,2017-04-19 14:15:00,169.72649572869125,172.16700854261748,0 days 03:35:00
38,-50,5769,5782,170.08,170.44,-18.0,-0.0,2017-04-20 10:25:00,2017-04-20 11:30:00,171.06760396395828,168.13479207208346,0 days 01:05:00
39,50,6072,6147,175.8,176.8,50.0,0.01,2017-04-26 09:40:00,2017-04-26 15:55:00,173.2364223192084,180.89715536158317,0 days 06:15:00
40,50,6167,6225,177.1,177.46,18.0,0.0,2017-04-27 11:05:00,2017-04-27 15:55:00,176.31300965904146,178.67398068191707,0 days 04:50:00
41,50,6235,6248,177.56,177.1,-23.0,-0.0,2017-04-28 10:15:00,2017-04-28 11:20:00,176.6913598495605,179.267280300879,0 days 01:05:00
42,50,6254,6303,177.41,177.5,4.5,0.0,2017-04-28 11:50:00,2017-04-28 15:55:00,176.86572287002554,178.5285542599489,0 days 04:05:00
43,50,6313,6381,177.84,178.02,9.0,0.0,2017-05-01 10:15:00,2017-05-01 15:55:00,177.02502635247288,179.52994729505428,0 days 05:40:00
44,50,6396,6459,178.5,178.75,12.5,0.0,2017-05-02 10:40:00,2017-05-02 15:55:00,177.66529245762703,180.16941508474594,0 days 05:15:00
45,50,6462,6488,179.05,180.3,62.28,0.01,2017-05-03 09:40:00,2017-05-03 11:50:00,178.39722444637607,180.29555110724786,0 days 02:10:00
