,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,SL,TP,Duration
0,-50,378,388,85.87,86.32,-22.69,-0.01,2017-01-10 09:40:00,2017-01-10 10:30:00,,84.05497493362628,0 days 00:50:00
1,-50,378,388,85.87,86.32,-22.69,-0.01,2017-01-10 09:40:00,2017-01-10 10:30:00,,84.96248746681314,0 days 00:50:00
2,50,612,641,87.55,86.63,-45.79,-0.01,2017-01-13 09:40:00,2017-01-13 12:05:00,,91.1635898009287,0 days 02:25:00
3,50,612,641,87.55,86.63,-45.79,-0.01,2017-01-13 09:40:00,2017-01-13 12:05:00,,89.35179490046436,0 days 02:25:00
4,-50,690,765,85.06,83.32,87.0,0.02,2017-01-17 09:40:00,2017-01-17 15:55:00,86.24996350401717,80.35014598393127,0 days 06:15:00
5,-50,690,765,85.06,83.32,87.0,0.02,2017-01-17 09:40:00,2017-01-17 15:55:00,86.24996350401717,82.71007299196563,0 days 06:15:00
6,-50,783,826,83.58,83.72,-7.0,-0.0,2017-01-18 10:55:00,2017-01-18 14:30:00,84.41168197441606,80.25327210233577,0 days 03:35:00
7,-50,783,826,83.58,83.72,-7.0,-0.0,2017-01-18 10:55:00,2017-01-18 14:30:00,84.41168197441606,81.91663605116788,0 days 03:35:00
8,-50,869,921,83.67,83.37,15.0,0.0,2017-01-19 11:35:00,2017-01-19 15:55:00,84.36070318117473,80.95718727530112,0 days 04:20:00
9,-50,869,921,83.67,83.37,15.0,0.0,2017-01-19 11:35:00,2017-01-19 15:55:00,84.36070318117473,82.31859363765057,0 days 04:20:00
10,-50,974,997,83.46,83.6,-7.0,-0.0,2017-01-20 13:50:00,2017-01-20 15:45:00,83.92724772972367,81.59100908110527,0 days 01:55:00
11,-50,974,997,83.46,83.6,-7.0,-0.0,2017-01-20 13:50:00,2017-01-20 15:45:00,83.92724772972367,82.52550454055263,0 days 01:55:00
12,-50,1035,1045,83.48,83.68,-10.0,-0.0,2017-01-23 12:25:00,2017-01-23 13:15:00,83.90535182778945,81.77859268884224,0 days 00:50:00
13,-50,1035,1045,83.48,83.68,-10.0,-0.0,2017-01-23 12:25:00,2017-01-23 13:15:00,83.90535182778945,82.62929634442112,0 days 00:50:00
14,50,1333,1389,86.55,86.76,10.5,0.0,2017-01-27 11:15:00,2017-01-27 15:55:00,86.15057601407159,88.14769594371363,0 days 04:40:00
15,50,1333,1389,86.55,86.76,10.5,0.0,2017-01-27 11:15:00,2017-01-27 15:55:00,86.15057601407159,87.34884797185681,0 days 04:40:00
16,-50,1626,1701,84.34,84.59,-12.5,-0.0,2017-02-02 09:40:00,2017-02-02 15:55:00,85.15922322235885,81.16310711056461,0 days 06:15:00
17,-50,1626,1701,84.34,84.59,-12.5,-0.0,2017-02-02 09:40:00,2017-02-02 15:55:00,85.15922322235885,82.7615535552823,0 days 06:15:00
18,-50,2120,2144,87.0,87.32,-16.0,-0.0,2017-02-10 11:50:00,2017-02-10 13:50:00,87.45592278988003,85.17630884047986,0 days 02:00:00
19,-50,2120,2144,87.0,87.32,-16.0,-0.0,2017-02-10 11:50:00,2017-02-10 13:50:00,87.45592278988003,86.08815442023993,0 days 02:00:00
20,-50,2650,2654,90.6,90.89,-14.5,-0.0,2017-02-22 10:30:00,2017-02-22 10:50:00,91.14008123874908,88.43967504500367,0 days 00:20:00
21,-50,2650,2654,90.6,90.89,-14.5,-0.0,2017-02-22 10:30:00,2017-02-22 10:50:00,91.14008123874908,89.51983752250183,0 days 00:20:00
22,-50,2725,2758,90.7,90.93,-11.5,-0.0,2017-02-23 10:15:00,2017-02-23 13:00:00,91.3017878272607,88.29284869095723,0 days 02:45:00
23,-50,2725,2758,90.7,90.93,-11.5,-0.0,2017-02-23 10:15:00,2017-02-23 13:00:00,91.3017878272607,89.49642434547862,0 days 02:45:00
24,-50,2801,2871,90.28,90.11,8.5,0.0,2017-02-24 10:05:00,2017-02-24 15:55:00,91.11398495585891,86.99406017656439,0 days 05:50:00
25,-50,2801,2871,90.28,90.11,8.5,0.0,2017-02-24 10:05:00,2017-02-24 15:55:00,91.11398495585891,88.6420300882822,0 days 05:50:00
26,50,3220,3261,92.61,92.72,5.5,0.0,2017-03-03 12:30:00,2017-03-03 15:55:00,92.23189180590987,94.17243277636055,0 days 03:25:00
27,50,3220,3261,92.61,92.72,5.5,0.0,2017-03-03 12:30:00,2017-03-03 15:55:00,92.23189180590987,93.39621638818028,0 days 03:25:00
28,50,3420,3425,92.69,91.86,-41.64,-0.01,2017-03-08 09:40:00,2017-03-08 10:05:00,,96.07094075260348,0 days 00:25:00
29,50,3420,3425,92.69,91.86,-41.64,-0.01,2017-03-08 09:40:00,2017-03-08 10:05:00,,94.38547037630174,0 days 00:25:00
30,50,3456,3471,91.79,91.67,-6.0,-0.0,2017-03-08 12:40:00,2017-03-08 13:55:00,91.25804978959765,93.96780084160939,0 days 01:15:00
31,50,3456,3471,91.79,91.67,-6.0,-0.0,2017-03-08 12:40:00,2017-03-08 13:55:00,91.25804978959765,92.8839004208047,0 days 01:15:00
32,50,3503,3546,92.02,91.5,-26.0,-0.01,2017-03-09 10:05:00,2017-03-09 13:40:00,91.28266696334718,94.96933214661125,0 days 03:35:00
33,50,3503,3546,92.02,91.5,-26.0,-0.01,2017-03-09 10:05:00,2017-03-09 13:40:00,91.28266696334718,93.49466607330562,0 days 03:35:00
34,-50,3871,3885,91.8,91.71,4.5,0.0,2017-03-15 14:45:00,2017-03-15 15:55:00,92.5209833307332,88.91606667706718,0 days 01:10:00
35,-50,3871,3885,91.8,91.71,4.5,0.0,2017-03-15 14:45:00,2017-03-15 15:55:00,92.5209833307332,90.35803333853359,0 days 01:10:00
36,-50,3927,3929,92.08,92.16,-4.0,-0.0,2017-03-16 12:55:00,2017-03-16 13:05:00,92.47420094165378,90.50319623338488,0 days 00:10:00
37,-50,3927,3929,92.08,92.16,-4.0,-0.0,2017-03-16 12:55:00,2017-03-16 13:05:00,92.47420094165378,91.29159811669244,0 days 00:10:00
38,-50,3950,3963,91.94,91.6,17.0,0.0,2017-03-16 14:50:00,2017-03-16 15:55:00,92.23824278910358,90.69702884358571,0 days 01:05:00
39,-50,3950,3963,91.94,91.6,17.0,0.0,2017-03-16 14:50:00,2017-03-16 15:55:00,92.23824278910358,91.31351442179286,0 days 01:05:00
40,-50,4124,4139,90.31,89.01,65.13,0.01,2017-03-21 09:50:00,2017-03-21 11:05:00,90.96134334703885,89.00731330592231,0 days 01:15:00
41,-50,4124,4166,90.31,87.7,130.27,0.03,2017-03-21 09:50:00,2017-03-21 13:20:00,90.96134334703885,87.70462661184462,0 days 03:30:00
42,-50,4167,4197,87.69,87.16,26.5,0.01,2017-03-21 13:25:00,2017-03-21 15:55:00,88.49542551747494,84.41829793010027,0 days 02:30:00
43,-50,4167,4197,87.69,87.16,26.5,0.01,2017-03-21 13:25:00,2017-03-21 15:55:00,88.49542551747494,86.04914896505014,0 days 02:30:00
44,-50,4748,4821,88.41,87.98,21.5,0.0,2017-03-31 09:50:00,2017-03-31 15:55:00,88.98358631343018,86.06565474627931,0 days 06:05:00
45,-50,4748,4821,88.41,87.98,21.5,0.0,2017-03-31 09:50:00,2017-03-31 15:55:00,88.98358631343018,87.23282737313966,0 days 06:05:00
46,-50,4824,4885,87.74,87.49,12.5,0.0,2017-04-03 09:40:00,2017-04-03 14:45:00,88.37985457173703,85.23058171305189,0 days 05:05:00
47,-50,4824,4885,87.74,87.49,12.5,0.0,2017-04-03 09:40:00,2017-04-03 14:45:00,88.37985457173703,86.49029085652595,0 days 05:05:00
48,-50,4904,4926,87.01,87.46,-22.5,-0.01,2017-04-04 09:50:00,2017-04-04 11:40:00,87.78086338830404,83.92654644678386,0 days 01:50:00
49,-50,4904,4926,87.01,87.46,-22.5,-0.01,2017-04-04 09:50:00,2017-04-04 11:40:00,87.78086338830404,85.46827322339193,0 days 01:50:00
50,-50,4956,4977,87.27,87.3,-1.5,-0.0,2017-04-04 14:10:00,2017-04-04 15:55:00,87.62923368897027,85.78306524411893,0 days 01:45:00
51,-50,4956,4977,87.27,87.3,-1.5,-0.0,2017-04-04 14:10:00,2017-04-04 15:55:00,87.62923368897027,86.52153262205947,0 days 01:45:00
52,-50,5014,5053,87.5,86.32,58.91,0.01,2017-04-05 12:30:00,2017-04-05 15:45:00,88.08909868879599,86.32180262240803,0 days 03:15:00
53,-50,5014,5055,87.5,86.46,52.0,0.01,2017-04-05 12:30:00,2017-04-05 15:55:00,88.08909868879599,85.14360524481606,0 days 03:25:00
54,-50,5058,5133,85.84,86.47,-31.5,-0.01,2017-04-06 09:40:00,2017-04-06 15:55:00,87.00759908358717,81.2196036656513,0 days 06:15:00
55,-50,5058,5133,85.84,86.47,-31.5,-0.01,2017-04-06 09:40:00,2017-04-06 15:55:00,87.00759908358717,83.53480183282565,0 days 06:15:00
56,-50,5136,5177,86.18,86.38,-10.0,-0.0,2017-04-07 09:40:00,2017-04-07 13:05:00,86.96859286454549,83.12562854181807,0 days 03:25:00
57,-50,5136,5177,86.18,86.38,-10.0,-0.0,2017-04-07 09:40:00,2017-04-07 13:05:00,86.96859286454549,84.66281427090904,0 days 03:25:00
58,-50,5229,5289,86.26,85.82,22.0,0.01,2017-04-10 10:55:00,2017-04-10 15:55:00,86.76693553433296,84.28225786266815,0 days 05:00:00
59,-50,5229,5289,86.26,85.82,22.0,0.01,2017-04-10 10:55:00,2017-04-10 15:55:00,86.76693553433296,85.27612893133407,0 days 05:00:00
60,-50,5311,5363,84.98,85.48,-25.0,-0.01,2017-04-11 11:15:00,2017-04-11 15:35:00,85.76684480258731,81.83262078965076,0 days 04:20:00
61,-50,5311,5363,84.98,85.48,-25.0,-0.01,2017-04-11 11:15:00,2017-04-11 15:35:00,85.76684480258731,83.40631039482538,0 days 04:20:00
62,-50,5762,5785,84.71,85.0,-14.5,-0.0,2017-04-20 09:50:00,2017-04-20 11:45:00,85.36802130122007,82.02791479511974,0 days 01:55:00
63,-50,5762,5785,84.71,85.0,-14.5,-0.0,2017-04-20 09:50:00,2017-04-20 11:45:00,85.36802130122007,83.36395739755987,0 days 01:55:00
64,-50,5858,5913,85.14,84.72,21.0,0.0,2017-04-21 11:20:00,2017-04-21 15:55:00,85.67794931839892,82.98820272640434,0 days 04:35:00
65,-50,5858,5913,85.14,84.72,21.0,0.0,2017-04-21 11:20:00,2017-04-21 15:55:00,85.67794931839892,84.06410136320217,0 days 04:35:00
66,-50,6150,6165,88.13,87.09,51.98,0.01,2017-04-27 09:40:00,2017-04-27 10:55:00,88.64977665856452,87.09044668287095,0 days 01:15:00
67,-50,6150,6218,88.13,87.71,21.0,0.0,2017-04-27 09:40:00,2017-04-27 15:20:00,88.64977665856452,86.0508933657419,0 days 05:40:00
68,-50,6228,6231,87.42,87.74,-16.0,-0.0,2017-04-28 09:40:00,2017-04-28 09:55:00,87.87552141347939,85.59791434608245,0 days 00:15:00
69,-50,6228,6231,87.42,87.74,-16.0,-0.0,2017-04-28 09:40:00,2017-04-28 09:55:00,87.87552141347939,86.50895717304122,0 days 00:15:00
70,-50,6259,6303,87.51,87.01,25.0,0.01,2017-04-28 12:15:00,2017-04-28 15:55:00,87.92413640922516,85.8534543630994,0 days 03:40:00
71,-50,6259,6303,87.51,87.01,25.0,0.01,2017-04-28 12:15:00,2017-04-28 15:55:00,87.92413640922516,86.6817271815497,0 days 03:40:00
72,-50,6373,6381,87.35,87.2,7.5,0.0,2017-05-01 15:15:00,2017-05-01 15:55:00,87.72211631352553,85.86153474589784,0 days 00:40:00
73,-50,6373,6381,87.35,87.2,7.5,0.0,2017-05-01 15:15:00,2017-05-01 15:55:00,87.72211631352553,86.60576737294892,0 days 00:40:00
74,-50,6384,6459,86.73,86.49,12.0,0.0,2017-05-02 09:40:00,2017-05-02 15:55:00,87.21130494167272,84.7547802333091,0 days 06:15:00
75,-50,6384,6459,86.73,86.49,12.0,0.0,2017-05-02 09:40:00,2017-05-02 15:55:00,87.21130494167272,85.73739011665455,0 days 06:15:00
76,-50,6621,6683,86.8,86.9,-5.0,-0.0,2017-05-05 09:55:00,2017-05-05 15:05:00,87.32849950722905,84.7360019710838,0 days 05:10:00
77,-50,6621,6683,86.8,86.9,-5.0,-0.0,2017-05-05 09:55:00,2017-05-05 15:05:00,87.32849950722905,85.7730009855419,0 days 05:10:00
78,-50,6731,6749,86.78,87.02,-12.0,-0.0,2017-05-08 12:35:00,2017-05-08 14:05:00,87.13476413013353,85.36094347946587,0 days 01:30:00
79,-50,6731,6749,86.78,87.02,-12.0,-0.0,2017-05-08 12:35:00,2017-05-08 14:05:00,87.13476413013353,86.07047173973294,0 days 01:30:00
80,-50,6942,6949,86.43,87.08,-32.35,-0.01,2017-05-11 10:40:00,2017-05-11 11:15:00,,83.79179637043448,0 days 00:35:00
81,-50,6942,6949,86.43,87.08,-32.35,-0.01,2017-05-11 10:40:00,2017-05-11 11:15:00,,85.10589818521724,0 days 00:35:00
82,-50,7001,7005,87.08,87.12,-2.0,-0.0,2017-05-11 15:35:00,2017-05-11 15:55:00,87.34757911619647,86.00968353521411,0 days 00:20:00
83,-50,7001,7005,87.08,87.12,-2.0,-0.0,2017-05-11 15:35:00,2017-05-11 15:55:00,87.34757911619647,86.54484176760705,0 days 00:20:00
84,50,7066,7083,86.89,86.86,-1.5,-0.0,2017-05-12 14:30:00,2017-05-12 15:55:00,86.65472283980849,87.88110864076609,0 days 01:25:00
85,50,7066,7083,86.89,86.86,-1.5,-0.0,2017-05-12 14:30:00,2017-05-12 15:55:00,86.65472283980849,87.39055432038305,0 days 01:25:00
86,-50,7328,7379,84.31,84.41,-5.0,-0.0,2017-05-18 10:20:00,2017-05-18 14:35:00,85.25885340418918,80.51458638324328,0 days 04:15:00
87,-50,7328,7379,84.31,84.41,-5.0,-0.0,2017-05-18 10:20:00,2017-05-18 14:35:00,85.25885340418918,82.41229319162164,0 days 04:15:00
88,-50,7476,7509,84.73,84.97,-12.0,-0.0,2017-05-22 09:40:00,2017-05-22 12:25:00,85.35695706297214,82.17217174811142,0 days 02:45:00
89,-50,7476,7509,84.73,84.97,-12.0,-0.0,2017-05-22 09:40:00,2017-05-22 12:25:00,85.35695706297214,83.44608587405571,0 days 02:45:00
90,-50,7523,7551,84.64,84.71,-3.5,-0.0,2017-05-22 13:35:00,2017-05-22 15:55:00,84.97906521984866,83.28373912060535,0 days 02:20:00
91,-50,7523,7551,84.64,84.71,-3.5,-0.0,2017-05-22 13:35:00,2017-05-22 15:55:00,84.97906521984866,83.96186956030267,0 days 02:20:00
92,-50,7557,7564,84.62,84.86,-12.0,-0.0,2017-05-23 09:55:00,2017-05-23 10:30:00,85.09985506387177,82.70057974451294,0 days 00:35:00
93,-50,7557,7564,84.62,84.86,-12.0,-0.0,2017-05-23 09:55:00,2017-05-23 10:30:00,85.09985506387177,83.66028987225647,0 days 00:35:00
94,-50,7650,7671,85.34,85.67,-16.5,-0.0,2017-05-24 11:10:00,2017-05-24 12:55:00,85.77378801420886,83.60484794316457,0 days 01:45:00
95,-50,7650,7671,85.34,85.67,-16.5,-0.0,2017-05-24 11:10:00,2017-05-24 12:55:00,85.77378801420886,84.47242397158229,0 days 01:45:00
96,-50,7686,7688,85.46,85.61,-7.5,-0.0,2017-05-24 14:10:00,2017-05-24 14:20:00,85.9291650357761,83.63333985689562,0 days 00:10:00
97,-50,7686,7688,85.46,85.61,-7.5,-0.0,2017-05-24 14:10:00,2017-05-24 14:20:00,85.9291650357761,84.55166992844781,0 days 00:10:00
98,-50,7734,7785,85.28,85.35,-3.5,-0.0,2017-05-25 11:40:00,2017-05-25 15:55:00,85.81170462057986,83.10318151768054,0 days 04:15:00
99,-50,7734,7785,85.28,85.35,-3.5,-0.0,2017-05-25 11:40:00,2017-05-25 15:55:00,85.81170462057986,84.18659075884027,0 days 04:15:00
100,-50,7788,7830,85.1,85.45,-17.5,-0.0,2017-05-26 09:40:00,2017-05-26 13:10:00,85.58786754313033,83.19852982747868,0 days 03:30:00
101,-50,7788,7830,85.1,85.45,-17.5,-0.0,2017-05-26 09:40:00,2017-05-26 13:10:00,85.58786754313033,84.15426491373934,0 days 03:30:00
102,-50,7866,7926,84.89,83.89,50.19,0.01,2017-05-30 09:40:00,2017-05-30 14:40:00,85.39187919650358,83.88624160699284,0 days 05:00:00
103,-50,7866,7941,84.89,83.78,55.5,0.01,2017-05-30 09:40:00,2017-05-30 15:55:00,85.39187919650358,82.88248321398568,0 days 06:15:00
104,-50,7944,8019,82.91,82.09,41.0,0.01,2017-05-31 09:40:00,2017-05-31 15:55:00,83.60129916754697,80.1448033298121,0 days 06:15:00
105,-50,7944,8019,82.91,82.09,41.0,0.01,2017-05-31 09:40:00,2017-05-31 15:55:00,83.60129916754697,81.52740166490605,0 days 06:15:00
106,-50,8027,8030,81.78,82.43,-32.51,-0.01,2017-06-01 10:05:00,2017-06-01 10:20:00,,79.17919700407177,0 days 00:15:00
107,-50,8027,8030,81.78,82.43,-32.51,-0.01,2017-06-01 10:05:00,2017-06-01 10:20:00,,80.47959850203588,0 days 00:15:00
108,-50,8104,8132,82.22,82.81,-29.5,-0.01,2017-06-02 10:00:00,2017-06-02 12:20:00,82.9823488315637,79.07060467374522,0 days 02:20:00
109,-50,8104,8132,82.22,82.81,-29.5,-0.01,2017-06-02 10:00:00,2017-06-02 12:20:00,82.9823488315637,80.63530233687261,0 days 02:20:00
110,-50,8243,8253,83.04,82.8,12.0,0.0,2017-06-05 15:05:00,2017-06-05 15:55:00,83.32976900824141,81.88092396703438,0 days 00:50:00
111,-50,8243,8253,83.04,82.8,12.0,0.0,2017-06-05 15:05:00,2017-06-05 15:55:00,83.32976900824141,82.46046198351719,0 days 00:50:00
112,-50,8256,8262,82.2,82.71,-25.34,-0.01,2017-06-06 09:40:00,2017-06-06 10:10:00,,80.1225852575322,0 days 00:30:00
113,-50,8256,8262,82.2,82.71,-25.34,-0.01,2017-06-06 09:40:00,2017-06-06 10:10:00,,81.1562926287661,0 days 00:30:00
114,50,8412,8443,84.52,85.59,53.56,0.01,2017-06-08 09:40:00,2017-06-08 12:15:00,83.99940137662584,85.59119724674832,0 days 02:35:00
115,50,8412,8484,84.52,84.96,22.0,0.01,2017-06-08 09:40:00,2017-06-08 15:40:00,83.99940137662584,86.65239449349664,0 days 06:00:00
116,50,8490,8565,85.96,87.01,52.5,0.01,2017-06-09 09:40:00,2017-06-09 15:55:00,85.08582087330782,89.40671650676872,0 days 06:15:00
117,50,8490,8565,85.96,87.01,52.5,0.01,2017-06-09 09:40:00,2017-06-09 15:55:00,85.08582087330782,87.67835825338436,0 days 06:15:00
118,50,8568,8593,87.35,86.31,-52.25,-0.01,2017-06-12 09:40:00,2017-06-12 11:45:00,,91.5297056208149,0 days 02:05:00
119,50,8568,8593,87.35,86.31,-52.25,-0.01,2017-06-12 09:40:00,2017-06-12 11:45:00,,89.43985281040744,0 days 02:05:00
120,50,8636,8643,86.93,86.9,-1.5,-0.0,2017-06-12 15:20:00,2017-06-12 15:55:00,86.53541078574166,88.55835685703335,0 days 00:35:00
121,50,8636,8643,86.93,86.9,-1.5,-0.0,2017-06-12 15:20:00,2017-06-12 15:55:00,86.53541078574166,87.74917842851667,0 days 00:35:00
122,50,8660,8721,87.18,87.22,2.0,0.0,2017-06-13 10:50:00,2017-06-13 15:55:00,86.52657652276024,89.79369390895909,0 days 05:05:00
123,50,8660,8721,87.18,87.22,2.0,0.0,2017-06-13 10:50:00,2017-06-13 15:55:00,86.52657652276024,88.48684695447955,0 days 05:05:00
124,50,8786,8799,86.67,87.15,24.0,0.01,2017-06-14 14:50:00,2017-06-14 15:55:00,85.82648036960951,90.04407852156196,0 days 01:05:00
125,50,8786,8799,86.67,87.15,24.0,0.01,2017-06-14 14:50:00,2017-06-14 15:55:00,85.82648036960951,88.35703926078098,0 days 01:05:00
126,50,8803,8840,86.88,86.5,-19.0,-0.0,2017-06-15 09:45:00,2017-06-15 12:50:00,85.85383494820138,90.98466020719445,0 days 03:05:00
127,50,8803,8840,86.88,86.5,-19.0,-0.0,2017-06-15 09:45:00,2017-06-15 12:50:00,85.85383494820138,88.93233010359722,0 days 03:05:00
128,50,9090,9104,87.88,87.67,-10.5,-0.0,2017-06-20 14:10:00,2017-06-20 15:20:00,87.5285312278791,89.28587508848358,0 days 01:10:00
129,50,9090,9104,87.88,87.67,-10.5,-0.0,2017-06-20 14:10:00,2017-06-20 15:20:00,87.5285312278791,88.58293754424179,0 days 01:10:00
130,50,9196,9201,87.32,87.05,-13.5,-0.0,2017-06-22 10:00:00,2017-06-22 10:25:00,86.66393649757892,89.9442540096843,0 days 00:25:00
131,50,9196,9201,87.32,87.05,-13.5,-0.0,2017-06-22 10:00:00,2017-06-22 10:25:00,86.66393649757892,88.63212700484215,0 days 00:25:00
132,50,9257,9267,87.17,87.05,-6.0,-0.0,2017-06-22 15:05:00,2017-06-22 15:55:00,86.89055116844959,88.33779532620167,0 days 00:50:00
133,50,9257,9267,87.17,87.05,-6.0,-0.0,2017-06-22 15:05:00,2017-06-22 15:55:00,86.89055116844959,87.75889766310084,0 days 00:50:00
134,50,9426,9451,87.79,88.8,50.28,0.01,2017-06-27 09:40:00,2017-06-27 11:45:00,87.30222024071767,88.79555951856464,0 days 02:05:00
