,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,SL,TP,Duration
0,50,393,427,108.1,107.63,-23.5,-0.0,2017-01-10 10:55:00,2017-01-10 13:45:00,107.44914964767624,109.40170070464751,0 days 02:50:00
1,50,474,478,107.8,107.28,-26.01,-0.0,2017-01-11 11:10:00,2017-01-11 11:30:00,,108.84040876067682,0 days 00:20:00
2,50,534,602,107.67,108.67,50.15,0.01,2017-01-12 09:40:00,2017-01-12 15:20:00,107.16847422714183,108.67305154571635,0 days 05:40:00
3,50,603,609,108.68,108.76,4.0,0.0,2017-01-12 15:25:00,2017-01-12 15:55:00,108.26592479116944,109.47815041766113,0 days 00:30:00
4,50,628,676,109.14,108.75,-19.5,-0.0,2017-01-13 11:00:00,2017-01-13 15:00:00,108.60844566159986,110.20310867680028,0 days 04:00:00
5,50,772,843,108.91,108.77,-7.0,-0.0,2017-01-18 10:00:00,2017-01-18 15:55:00,108.068918297729,110.50216340454199,0 days 05:55:00
6,50,851,860,109.34,108.8,-26.93,-0.0,2017-01-19 10:05:00,2017-01-19 10:50:00,,110.4171764483988,0 days 00:45:00
7,50,924,932,109.72,108.97,-37.57,-0.01,2017-01-20 09:40:00,2017-01-20 10:20:00,,111.28285577928246,0 days 00:40:00
8,50,937,999,109.3,109.89,29.5,0.01,2017-01-20 10:45:00,2017-01-20 15:55:00,108.47388703015498,110.95222593969002,0 days 05:10:00
9,50,1051,1077,109.75,109.71,-2.0,-0.0,2017-01-23 13:45:00,2017-01-23 15:55:00,109.2538254677048,110.68234906459041,0 days 02:10:00
10,-50,1183,1212,109.74,110.06,-16.0,-0.0,2017-01-25 11:45:00,2017-01-25 14:10:00,110.28006291032354,108.65987417935291,0 days 02:25:00
11,-50,1237,1306,109.52,109.49,1.5,0.0,2017-01-26 09:45:00,2017-01-26 15:30:00,110.23463960957135,108.15072078085733,0 days 05:45:00
12,-50,1314,1339,109.11,109.53,-21.0,-0.0,2017-01-27 09:40:00,2017-01-27 11:45:00,109.74375249423775,107.6924950115245,0 days 02:05:00
13,-50,1470,1545,106.3,106.23,3.5,0.0,2017-01-31 09:40:00,2017-01-31 15:55:00,108.26402792780523,102.43194414438952,0 days 06:15:00
14,-50,1548,1623,105.49,105.0,24.5,0.0,2017-02-01 09:40:00,2017-02-01 15:55:00,106.45903798762068,103.52192402475866,0 days 06:15:00
15,-50,1687,1701,104.92,105.12,-10.0,-0.0,2017-02-02 14:45:00,2017-02-02 15:55:00,105.3551518950895,103.989696209821,0 days 01:10:00
16,-50,1782,1841,106.44,106.38,3.0,0.0,2017-02-06 09:40:00,2017-02-06 14:35:00,107.15022787577564,105.13954424844873,0 days 04:55:00
17,-50,1883,1904,106.14,106.59,-22.5,-0.0,2017-02-07 11:35:00,2017-02-07 13:20:00,106.76655756123324,104.88688487753352,0 days 01:45:00
18,-50,2165,2169,107.4,107.38,1.0,0.0,2017-02-10 15:35:00,2017-02-10 15:55:00,107.62577573473176,106.97844853053647,0 days 00:20:00
19,-50,2422,2481,109.28,109.3,-1.0,-0.0,2017-02-16 11:00:00,2017-02-16 15:55:00,110.01801849642635,107.77396300714729,0 days 04:55:00
20,-50,2518,2559,109.34,109.27,3.5,0.0,2017-02-17 12:30:00,2017-02-17 15:55:00,109.77420396774414,108.47159206451173,0 days 03:25:00
21,-50,2667,2694,109.84,109.18,32.88,0.01,2017-02-22 11:55:00,2017-02-22 14:10:00,110.18375143761602,109.18249712476793,0 days 02:15:00
22,-50,2695,2715,109.28,109.49,-10.5,-0.0,2017-02-22 14:15:00,2017-02-22 15:55:00,109.65876320289436,108.46247359421129,0 days 01:40:00
23,-50,2875,2882,109.95,110.59,-31.96,-0.01,2017-02-27 09:45:00,2017-02-27 10:20:00,,108.67165718205668,0 days 00:35:00
24,-50,2937,2949,110.67,110.47,10.0,0.0,2017-02-27 14:55:00,2017-02-27 15:55:00,110.88372199494131,110.1825560101174,0 days 01:00:00
