,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,SL,TP,Duration
0,-50,378,379,120.33,120.76,-21.47,-0.0,2017-01-10 09:40:00,2017-01-10 09:45:00,,119.44121518658943,0 days 00:05:00
1,-50,393,453,120.45,120.23,11.0,0.0,2017-01-10 10:55:00,2017-01-10 15:55:00,120.93487106663878,119.45025786672244,0 days 05:00:00
2,50,538,551,121.22,120.91,-15.5,-0.0,2017-01-12 10:00:00,2017-01-12 11:05:00,120.44858397975231,122.85283204049537,0 days 01:05:00
3,50,577,609,121.7,122.19,24.5,0.0,2017-01-12 13:15:00,2017-01-12 15:55:00,121.19688845131493,122.67622309737013,0 days 02:40:00
4,50,696,765,121.68,122.68,50.0,0.01,2017-01-17 10:10:00,2017-01-17 15:55:00,120.87451856520518,123.29096286958966,0 days 05:45:00
5,50,780,838,122.89,122.6,-14.5,-0.0,2017-01-18 10:40:00,2017-01-18 15:30:00,122.08260206475667,124.53479587048668,0 days 04:50:00
6,50,869,892,122.84,122.54,-15.0,-0.0,2017-01-19 11:35:00,2017-01-19 13:30:00,122.20690025239627,124.13619949520745,0 days 01:55:00
7,-50,1093,1155,121.13,121.02,5.5,0.0,2017-01-24 10:45:00,2017-01-24 15:55:00,121.9171194689831,119.64576106203378,0 days 05:10:00
8,-50,1325,1343,121.78,122.45,-33.26,-0.01,2017-01-27 10:35:00,2017-01-27 12:05:00,,120.44970489043988,0 days 01:30:00
9,50,1603,1623,122.28,122.41,6.5,0.0,2017-02-01 14:15:00,2017-02-01 15:55:00,121.88631524199509,123.15736951600982,0 days 01:40:00
10,50,1626,1701,122.88,123.2,16.0,0.0,2017-02-02 09:40:00,2017-02-02 15:55:00,122.30107757507761,124.09784484984479,0 days 06:15:00
11,50,1724,1779,123.97,124.3,16.5,0.0,2017-02-03 11:20:00,2017-02-03 15:55:00,123.44930241426422,124.98139517147153,0 days 04:35:00
12,50,1860,1910,125.17,124.74,-21.5,-0.0,2017-02-07 09:40:00,2017-02-07 13:50:00,124.59650150727929,126.31699698544143,0 days 04:10:00
13,50,1943,1973,125.0,124.71,-14.5,-0.0,2017-02-08 10:05:00,2017-02-08 12:35:00,124.32843845143613,126.34312309712774,0 days 02:30:00
14,-50,2027,2091,124.62,124.68,-3.0,-0.0,2017-02-09 10:35:00,2017-02-09 15:55:00,125.2087551819972,123.47248963600558,0 days 05:20:00
15,-50,2199,2223,125.81,125.96,-7.5,-0.0,2017-02-13 11:55:00,2017-02-13 13:55:00,126.28955055128283,124.79089889743436,0 days 02:00:00
16,-50,2242,2247,125.79,125.54,12.5,0.0,2017-02-13 15:30:00,2017-02-13 15:55:00,126.08134310650597,125.17731378698807,0 days 00:25:00
17,-50,2263,2306,125.42,125.67,-12.5,-0.0,2017-02-14 10:45:00,2017-02-14 14:20:00,126.05315238259034,124.12369523481931,0 days 03:35:00
18,-50,2313,2322,125.41,125.69,-13.85,-0.0,2017-02-14 14:55:00,2017-02-14 15:40:00,,124.79600385820406,0 days 00:45:00
19,-50,2394,2403,126.26,126.37,-5.5,-0.0,2017-02-15 15:10:00,2017-02-15 15:55:00,126.55558054728655,125.66883890542691,0 days 00:45:00
20,-50,2435,2479,126.45,126.64,-9.5,-0.0,2017-02-16 12:05:00,2017-02-16 15:45:00,126.91745480223761,125.45509039552479,0 days 03:40:00
21,-50,2874,2949,127.02,126.99,1.5,0.0,2017-02-27 09:40:00,2017-02-27 15:55:00,128.00186322069464,124.9662735586107,0 days 06:15:00
22,-50,3112,3149,128.75,129.06,-15.5,-0.0,2017-03-02 11:20:00,2017-03-02 14:25:00,129.51783900173012,127.21432199653978,0 days 03:05:00
23,-50,3170,3245,128.19,127.86,16.5,0.0,2017-03-03 09:40:00,2017-03-03 15:55:00,128.97076654565885,126.59846690868235,0 days 06:15:00
24,50,3424,3461,128.07,127.92,-7.5,-0.0,2017-03-08 11:20:00,2017-03-08 14:25:00,127.59142732034265,129.0271453593147,0 days 03:05:00
25,50,3466,3479,128.14,128.11,-1.5,-0.0,2017-03-08 14:50:00,2017-03-08 15:55:00,127.74291987989373,128.90416024021252,0 days 01:05:00
26,50,3485,3506,128.41,128.04,-18.5,-0.0,2017-03-09 09:55:00,2017-03-09 11:40:00,127.74761536319394,129.67476927361207,0 days 01:45:00
27,50,3623,3635,128.05,128.11,3.0,0.0,2017-03-10 14:55:00,2017-03-10 15:55:00,127.73668368285189,128.6466326342962,0 days 01:00:00
28,-50,3794,3796,127.65,128.22,-28.5,-0.0,2017-03-15 09:40:00,2017-03-15 09:50:00,128.2687195863813,126.41256082723743,0 days 00:10:00
29,-50,3807,3820,127.67,127.97,-15.0,-0.0,2017-03-15 10:45:00,2017-03-15 11:50:00,128.32664817552183,126.35670364895635,0 days 01:05:00
30,-50,3846,3846,127.55,127.99,-22.16,-0.0,2017-03-15 14:00:00,2017-03-15 14:00:00,,126.57360583560397,0 days 00:00:00
31,-50,3902,3912,127.95,128.32,-18.5,-0.0,2017-03-16 12:10:00,2017-03-16 13:00:00,128.5087383436175,126.86252331276499,0 days 00:50:00
32,50,3950,4025,129.04,128.72,-16.0,-0.0,2017-03-17 09:40:00,2017-03-17 15:55:00,128.2904431846771,130.50911363064583,0 days 06:15:00
33,50,4107,4115,129.35,128.83,-25.77,-0.0,2017-03-21 09:45:00,2017-03-21 10:25:00,,130.44072351999182,0 days 00:40:00
34,50,4184,4190,128.72,128.56,-8.0,-0.0,2017-03-22 09:40:00,2017-03-22 10:10:00,127.94973924736168,130.2005215052766,0 days 00:30:00
35,50,4197,4259,128.75,129.12,18.5,0.0,2017-03-22 10:45:00,2017-03-22 15:55:00,128.17099687901342,129.9680062419732,0 days 05:10:00
36,50,4262,4328,129.14,129.11,-1.5,-0.0,2017-03-23 09:40:00,2017-03-23 15:10:00,128.64404373567479,130.19191252865042,0 days 05:30:00
37,50,4360,4403,129.54,129.32,-11.0,-0.0,2017-03-24 11:20:00,2017-03-24 14:55:00,128.9880846737593,130.6438306524814,0 days 03:35:00
38,50,4419,4427,129.48,129.16,-16.0,-0.0,2017-03-27 09:45:00,2017-03-27 10:25:00,128.68221475232738,130.9855704953452,0 days 00:40:00
39,50,4445,4486,129.54,129.45,-4.5,-0.0,2017-03-27 11:55:00,2017-03-27 15:20:00,129.16455530223556,130.29088939552886,0 days 03:25:00
40,-50,4582,4649,129.19,128.82,18.5,0.0,2017-03-29 10:20:00,2017-03-29 15:55:00,129.87101406188668,127.8579718762266,0 days 05:35:00
41,-50,4653,4656,128.76,129.17,-20.37,-0.0,2017-03-30 09:45:00,2017-03-30 10:00:00,,127.97511592464608,0 days 00:15:00
42,-50,4808,4871,129.27,129.58,-15.5,-0.0,2017-04-03 09:40:00,2017-04-03 14:55:00,129.73221130778197,128.3455773844361,0 days 05:15:00
43,50,4964,5032,130.33,130.78,22.5,0.0,2017-04-05 09:40:00,2017-04-05 15:20:00,129.65132447316947,131.6873510536611,0 days 05:40:00
44,50,5096,5103,130.57,130.23,-17.24,-0.0,2017-04-06 14:10:00,2017-04-06 14:45:00,,131.28950602042923,0 days 00:35:00
45,50,5166,5195,130.33,130.1,-11.5,-0.0,2017-04-07 13:30:00,2017-04-07 15:55:00,129.96951579835294,131.05096840329415,0 days 02:25:00
46,50,5276,5351,130.38,131.14,38.0,0.01,2017-04-11 09:40:00,2017-04-11 15:55:00,129.68991831470828,131.73016337058345,0 days 06:15:00
47,50,5358,5429,131.04,131.24,10.0,0.0,2017-04-12 10:00:00,2017-04-12 15:55:00,130.48649276805776,132.1170144638845,0 days 05:55:00
48,50,5510,5585,131.46,131.38,-4.0,-0.0,2017-04-17 09:40:00,2017-04-17 15:55:00,130.6910966962305,132.967806607539,0 days 06:15:00
49,50,5588,5639,132.41,132.02,-19.5,-0.0,2017-04-18 09:40:00,2017-04-18 13:55:00,131.58102139667778,134.03795720664445,0 days 04:15:00
50,50,5659,5663,132.15,132.41,13.0,0.0,2017-04-18 15:35:00,2017-04-18 15:55:00,131.82940049935095,132.7911990012981,0 days 00:20:00
51,50,5677,5741,132.71,132.76,2.5,0.0,2017-04-19 10:35:00,2017-04-19 15:55:00,132.16713082642133,133.79573834715737,0 days 05:20:00
52,50,5746,5819,133.0,133.36,18.0,0.0,2017-04-20 09:50:00,2017-04-20 15:55:00,132.4416747092779,134.11665058144422,0 days 06:05:00
53,50,5822,5889,133.47,133.41,-3.0,-0.0,2017-04-21 09:40:00,2017-04-21 15:15:00,132.97121429165026,134.40757141669945,0 days 05:35:00
54,50,5912,5973,134.1,134.11,0.5,0.0,2017-04-24 10:40:00,2017-04-24 15:45:00,133.24203924833515,135.8159215033297,0 days 05:05:00
55,50,5978,6053,138.75,141.62,143.5,0.02,2017-04-25 09:40:00,2017-04-25 15:55:00,136.38817688117553,143.41364623764892,0 days 06:15:00
56,50,6134,6166,141.71,141.3,-20.5,-0.0,2017-04-27 09:40:00,2017-04-27 12:20:00,140.6157922759057,143.89841544818862,0 days 02:40:00
57,50,6296,6365,140.76,141.21,22.5,0.0,2017-05-01 10:10:00,2017-05-01 15:55:00,140.07949514457647,142.12100971084703,0 days 05:45:00
58,50,6446,6521,141.87,142.6,36.5,0.01,2017-05-03 09:40:00,2017-05-03 15:55:00,140.91644818519666,143.6871036296067,0 days 06:15:00
59,50,6524,6599,142.58,143.45,43.5,0.01,2017-05-04 09:40:00,2017-05-04 15:55:00,142.08558527420243,143.68882945159515,0 days 06:15:00
60,50,6639,6677,143.38,143.87,24.5,0.0,2017-05-05 12:45:00,2017-05-05 15:55:00,142.99015089682686,144.18969820634624,0 days 03:10:00
61,50,6682,6755,143.95,144.1,7.5,0.0,2017-05-08 09:50:00,2017-05-08 15:55:00,143.43852254441705,144.9129549111659,0 days 06:05:00
