,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,SL,TP,Duration
0,50,384,391,125.14,124.63,-25.5,-0.0,2017-01-10 10:10:00,2017-01-10 10:45:00,123.9561699903593,127.53766001928142,0 days 00:35:00
1,50,475,531,124.89,125.98,54.5,0.01,2017-01-11 11:15:00,2017-01-11 15:55:00,124.14117641965393,126.35764716069212,0 days 04:40:00
2,50,548,609,125.94,126.64,35.0,0.01,2017-01-12 10:50:00,2017-01-12 15:55:00,124.707014515075,128.37597096985002,0 days 05:05:00
3,50,612,687,128.65,128.41,-12.0,-0.0,2017-01-13 09:40:00,2017-01-13 15:55:00,127.414134862876,131.12173027424802,0 days 06:15:00
4,50,825,843,127.74,127.86,6.0,0.0,2017-01-18 14:25:00,2017-01-18 15:55:00,127.23688131207999,128.74623737584,0 days 01:30:00
5,50,847,854,128.2,127.58,-31.06,-0.0,2017-01-19 09:45:00,2017-01-19 10:20:00,,129.44224625669193,0 days 00:35:00
6,50,868,900,127.99,127.66,-16.5,-0.0,2017-01-19 11:30:00,2017-01-19 14:10:00,127.28010409673561,129.43979180652877,0 days 02:40:00
7,50,1004,1077,127.93,128.94,50.5,0.01,2017-01-23 09:50:00,2017-01-23 15:55:00,126.98597161993872,129.78805676012257,0 days 06:05:00
8,50,1236,1311,132.44,132.78,17.0,0.0,2017-01-26 09:40:00,2017-01-26 15:55:00,131.7059854103197,133.96802917936063,0 days 06:15:00
9,50,1348,1366,132.68,132.09,-29.5,-0.0,2017-01-27 12:30:00,2017-01-27 14:00:00,131.9400647072565,134.18987058548697,0 days 01:30:00
10,50,1549,1623,131.72,133.05,66.5,0.01,2017-02-01 09:45:00,2017-02-01 15:55:00,130.64030113399605,133.8793977320079,0 days 06:10:00
11,-50,1730,1779,131.25,131.0,12.5,0.0,2017-02-03 11:50:00,2017-02-03 15:55:00,132.33867083430005,129.04265833139993,0 days 04:05:00
12,-50,2023,2036,133.31,134.12,-40.5,-0.01,2017-02-09 10:15:00,2017-02-09 11:20:00,134.33677666758422,131.28644666483154,0 days 01:05:00
13,-50,2051,2068,133.8,134.12,-16.0,-0.0,2017-02-09 12:35:00,2017-02-09 14:00:00,134.37588734458657,132.67822531082686,0 days 01:25:00
14,-50,2172,2215,134.02,134.48,-23.0,-0.0,2017-02-13 09:40:00,2017-02-13 13:15:00,134.64058272713186,132.8088345457363,0 days 03:35:00
15,-50,2243,2247,134.0,133.99,0.5,0.0,2017-02-13 15:35:00,2017-02-13 15:55:00,134.46150247829607,133.0469950434079,0 days 00:20:00
16,-50,2255,2288,133.26,133.86,-30.0,-0.0,2017-02-14 10:05:00,2017-02-14 12:50:00,134.05460248428253,131.67079503143492,0 days 02:45:00
17,-50,2313,2320,133.52,133.76,-12.0,-0.0,2017-02-14 14:55:00,2017-02-14 15:30:00,133.9877373278225,132.58452534435506,0 days 00:35:00
18,-50,2328,2378,133.31,133.42,-5.5,-0.0,2017-02-15 09:40:00,2017-02-15 13:50:00,133.96797070318698,132.05405859362608,0 days 04:10:00
19,-50,2406,2407,133.21,133.71,-25.04,-0.0,2017-02-16 09:40:00,2017-02-16 09:45:00,,132.1485477887088,0 days 00:05:00
20,-50,2428,2460,133.19,133.49,-15.0,-0.0,2017-02-16 11:30:00,2017-02-16 14:10:00,133.9498469650334,131.64030606993322,0 days 02:40:00
