,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,SL,TP,Duration
0,-50,564,592,129.17,129.73,-28.0,-0.0,2017-01-12 12:10:00,2017-01-12 14:30:00,130.2891350944756,126.93172981104877,0 days 02:20:00
1,-50,601,609,129.25,129.21,2.0,0.0,2017-01-12 15:15:00,2017-01-12 15:55:00,129.96013153492976,127.79973693014051,0 days 00:40:00
2,50,612,687,131.25,133.53,114.0,0.02,2017-01-13 09:40:00,2017-01-13 15:55:00,129.41699916899623,134.7660016620075,0 days 06:15:00
3,50,708,725,133.77,132.72,-52.5,-0.01,2017-01-17 11:10:00,2017-01-17 12:35:00,132.11987593946174,137.1302481210765,0 days 01:25:00
4,50,747,759,133.22,132.72,-25.0,-0.0,2017-01-17 14:25:00,2017-01-17 15:25:00,131.82164411174773,136.0467117765045,0 days 01:00:00
5,50,832,843,132.1,133.0,45.0,0.01,2017-01-18 15:00:00,2017-01-18 15:55:00,131.24320629395137,133.7535874120973,0 days 00:55:00
6,50,846,921,141.53,138.52,-150.5,-0.02,2017-01-19 09:40:00,2017-01-19 15:55:00,136.88430280993325,150.70139438013354,0 days 06:15:00
7,50,938,962,140.12,139.23,-44.5,-0.01,2017-01-20 10:50:00,2017-01-20 12:50:00,138.34250126995636,143.64499746008732,0 days 02:00:00
8,50,1011,1028,139.14,138.3,-42.0,-0.01,2017-01-23 10:25:00,2017-01-23 11:50:00,137.5822883062733,142.16542338745342,0 days 01:25:00
9,50,1095,1155,139.29,140.33,52.0,0.01,2017-01-24 10:55:00,2017-01-24 15:55:00,137.64882331667496,142.5123533666501,0 days 05:00:00
10,-50,1250,1311,139.78,138.93,42.5,0.01,2017-01-26 10:50:00,2017-01-26 15:55:00,141.38459171879472,136.51081656241053,0 days 05:05:00
11,50,1555,1561,141.84,140.45,-69.4,-0.01,2017-02-01 10:15:00,2017-02-01 10:45:00,,144.61609933858185,0 days 00:30:00
12,50,1598,1623,140.86,140.73,-6.5,-0.0,2017-02-01 13:50:00,2017-02-01 15:55:00,139.93175201599175,142.71649596801655,0 days 02:05:00
13,50,1629,1633,140.73,140.5,-11.5,-0.0,2017-02-02 09:55:00,2017-02-02 10:15:00,139.40259846955897,143.4148030608821,0 days 00:20:00
14,-50,1785,1816,139.65,140.02,-18.5,-0.0,2017-02-06 09:55:00,2017-02-06 12:30:00,140.51333328148374,138.04333343703252,0 days 02:35:00
