,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,SL,TP,Duration
0,-50,379,453,38.82,38.68,7.0,0.0,2017-01-10 09:45:00,2017-01-10 15:55:00,39.115625934547886,37.63749626180846,0 days 06:10:00
1,-50,379,453,38.82,38.68,7.0,0.0,2017-01-10 09:45:00,2017-01-10 15:55:00,39.115625934547886,38.22874813090423,0 days 06:10:00
2,50,577,607,38.91,39.27,18.23,0.01,2017-01-12 13:15:00,2017-01-12 15:45:00,38.72765833338796,39.274683333224075,0 days 02:30:00
3,50,577,609,38.91,39.27,18.0,0.01,2017-01-12 13:15:00,2017-01-12 15:55:00,38.72765833338796,39.639366666448154,0 days 02:40:00
4,50,629,687,39.18,39.27,4.5,0.0,2017-01-13 11:05:00,2017-01-13 15:55:00,38.94800992016569,40.107960319337245,0 days 04:50:00
5,50,629,687,39.18,39.27,4.5,0.0,2017-01-13 11:05:00,2017-01-13 15:55:00,38.94800992016569,39.64398015966862,0 days 04:50:00
6,50,769,796,39.28,39.06,-11.0,-0.01,2017-01-18 09:45:00,2017-01-18 12:00:00,38.99527184602761,40.41891261588955,0 days 02:15:00
7,50,769,796,39.28,39.06,-11.0,-0.01,2017-01-18 09:45:00,2017-01-18 12:00:00,38.99527184602761,39.84945630794478,0 days 02:15:00
8,50,802,818,39.15,39.09,-3.0,-0.0,2017-01-18 12:30:00,2017-01-18 13:50:00,38.95165028934032,39.94339884263871,0 days 01:20:00
9,50,802,818,39.15,39.09,-3.0,-0.0,2017-01-18 12:30:00,2017-01-18 13:50:00,38.95165028934032,39.54669942131935,0 days 01:20:00
10,50,838,843,39.16,39.22,3.0,0.0,2017-01-18 15:30:00,2017-01-18 15:55:00,39.0121345164314,39.751461934274374,0 days 00:25:00
11,50,838,843,39.16,39.22,3.0,0.0,2017-01-18 15:30:00,2017-01-18 15:55:00,39.0121345164314,39.455730967137185,0 days 00:25:00
12,50,847,860,39.34,39.13,-10.62,-0.01,2017-01-19 09:45:00,2017-01-19 10:50:00,,40.189340627621505,0 days 01:05:00
13,50,847,860,39.34,39.13,-10.62,-0.01,2017-01-19 09:45:00,2017-01-19 10:50:00,,39.764670313810754,0 days 01:05:00
14,50,872,908,39.22,39.15,-3.5,-0.0,2017-01-19 11:50:00,2017-01-19 14:50:00,39.04514409186866,39.969423632525356,0 days 03:00:00
15,50,872,908,39.22,39.15,-3.5,-0.0,2017-01-19 11:50:00,2017-01-19 14:50:00,39.04514409186866,39.599711816262676,0 days 03:00:00
16,50,933,999,39.64,39.87,11.5,0.01,2017-01-20 10:25:00,2017-01-20 15:55:00,39.293672340795624,41.02531063681751,0 days 05:30:00
17,50,933,999,39.64,39.87,11.5,0.01,2017-01-20 10:25:00,2017-01-20 15:55:00,39.293672340795624,40.332655318408754,0 days 05:30:00
18,50,1080,1155,39.86,40.1,12.0,0.01,2017-01-24 09:40:00,2017-01-24 15:55:00,39.63914034686417,40.74343861254333,0 days 06:15:00
19,50,1080,1155,39.86,40.1,12.0,0.01,2017-01-24 09:40:00,2017-01-24 15:55:00,39.63914034686417,40.301719306271664,0 days 06:15:00
20,-50,1366,1389,40.18,40.15,1.5,0.0,2017-01-27 14:00:00,2017-01-27 15:55:00,40.31229533459669,39.700818661613226,0 days 01:55:00
21,-50,1366,1389,40.18,40.15,1.5,0.0,2017-01-27 14:00:00,2017-01-27 15:55:00,40.31229533459669,39.94540933080661,0 days 01:55:00
22,50,1628,1656,39.9,39.81,-4.5,-0.0,2017-02-02 09:50:00,2017-02-02 12:10:00,39.64096876076531,40.88612495693876,0 days 02:20:00
23,50,1628,1656,39.9,39.81,-4.5,-0.0,2017-02-02 09:50:00,2017-02-02 12:10:00,39.64096876076531,40.38806247846938,0 days 02:20:00
24,50,1673,1691,39.91,39.88,-1.5,-0.0,2017-02-02 13:35:00,2017-02-02 15:05:00,39.75259548207924,40.48961807168302,0 days 01:30:00
25,50,1673,1691,39.91,39.88,-1.5,-0.0,2017-02-02 13:35:00,2017-02-02 15:05:00,39.75259548207924,40.19480903584151,0 days 01:30:00
26,-50,1826,1857,40.15,40.09,3.0,0.0,2017-02-06 13:20:00,2017-02-06 15:55:00,40.29432147428469,39.57271410286122,0 days 02:35:00
27,-50,1826,1857,40.15,40.09,3.0,0.0,2017-02-06 13:20:00,2017-02-06 15:55:00,40.29432147428469,39.86135705143061,0 days 02:35:00
