,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,SL,TP,Duration
0,-50,588,600,148.42,149.75,-66.5,-0.01,2018-04-13 10:50:00,2018-04-13 11:50:00,150.07661281393462,145.4067743721308,0 days 01:00:00
1,-50,629,649,149.0,148.96,2.0,0.0,2018-04-13 14:15:00,2018-04-13 15:55:00,149.71747897541937,147.6250420491613,0 days 01:40:00
2,-50,654,677,148.37,145.25,155.95,0.02,2018-04-16 09:50:00,2018-04-16 11:45:00,150.09451571116148,145.250968577677,0 days 01:55:00
3,-50,678,727,145.65,144.47,59.0,0.01,2018-04-16 11:50:00,2018-04-16 15:55:00,147.33146618632432,142.70706762735134,0 days 04:05:00
4,50,970,1039,154.92,157.71,139.5,0.02,2018-04-20 10:10:00,2018-04-20 15:55:00,152.38165407452723,160.23669185094553,0 days 05:45:00
5,50,1042,1043,159.99,157.7,-114.53,-0.01,2018-04-23 09:40:00,2018-04-23 09:45:00,,164.60120060172392,0 days 00:05:00
6,50,1066,1117,157.65,158.21,28.0,0.0,2018-04-23 11:40:00,2018-04-23 15:55:00,154.58603943071333,163.7479211385733,0 days 04:15:00
7,50,1254,1273,153.44,153.02,-21.0,-0.0,2018-04-25 14:20:00,2018-04-25 15:55:00,151.5121732704282,157.20565345914358,0 days 01:35:00
8,50,1288,1338,153.9,157.58,184.07,0.02,2018-04-26 10:40:00,2018-04-26 14:50:00,152.1642844368238,157.58143112635238,0 days 04:10:00
9,50,1339,1351,157.46,157.04,-21.0,-0.0,2018-04-26 14:55:00,2018-04-26 15:55:00,156.12751375392227,160.27497249215543,0 days 01:00:00
10,50,1432,1507,161.88,161.49,-19.5,-0.0,2018-04-30 09:40:00,2018-04-30 15:55:00,159.65589286117824,166.3282142776435,0 days 06:15:00
11,50,1513,1539,162.87,161.3,-78.5,-0.01,2018-05-01 09:55:00,2018-05-01 12:05:00,161.01873593578517,166.39252812842966,0 days 02:10:00
12,50,1560,1585,163.75,165.0,62.5,0.01,2018-05-01 13:50:00,2018-05-01 15:55:00,162.34180130882962,167.13639738234076,0 days 02:05:00
13,50,1588,1663,169.63,169.87,12.0,0.0,2018-05-02 09:40:00,2018-05-02 15:55:00,167.13774374086523,174.94451251826956,0 days 06:15:00
14,50,1737,1741,160.17,160.3,6.5,0.0,2018-05-03 15:35:00,2018-05-03 15:55:00,158.13034589150175,165.11930821699653,0 days 00:20:00
15,-50,1754,1819,156.08,153.04,152.0,0.02,2018-05-04 10:30:00,2018-05-04 15:55:00,159.53209525476845,148.9358094904631,0 days 05:25:00
16,-50,1822,1828,153.65,148.45,259.99,0.03,2018-05-07 09:40:00,2018-05-07 10:10:00,156.29489382652218,148.45021234695565,0 days 00:30:00
17,-50,1829,1845,148.66,152.78,-205.96,-0.03,2018-05-07 10:15:00,2018-05-07 11:35:00,,140.15141797677182,0 days 01:20:00
18,-50,1852,1897,151.59,150.02,78.5,0.01,2018-05-07 12:10:00,2018-05-07 15:55:00,154.14269839923008,146.4246032015398,0 days 03:45:00
19,-50,1933,1975,151.26,150.61,32.5,0.0,2018-05-08 12:25:00,2018-05-08 15:55:00,152.85262395291275,148.2247520941745,0 days 03:30:00
