,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,SL,TP,Duration
0,-50,380,393,86.73,87.08,-17.5,-0.0,2017-01-10 09:50:00,2017-01-10 10:55:00,87.22835909114782,84.73656363540873,0 days 01:05:00
1,-50,380,393,86.73,87.08,-17.5,-0.0,2017-01-10 09:50:00,2017-01-10 10:55:00,87.22835909114782,85.73328181770437,0 days 01:05:00
2,-50,423,433,86.87,86.22,32.31,0.01,2017-01-10 13:25:00,2017-01-10 14:15:00,87.17812977397293,86.22374045205414,0 days 00:50:00
3,-50,423,453,86.87,86.08,39.5,0.01,2017-01-10 13:25:00,2017-01-10 15:55:00,87.17812977397293,85.58748090410829,0 days 02:30:00
4,-50,523,530,86.47,86.83,-17.89,-0.0,2017-01-11 15:15:00,2017-01-11 15:50:00,,85.08878170244081,0 days 00:35:00
5,-50,523,530,86.47,86.83,-17.89,-0.0,2017-01-11 15:15:00,2017-01-11 15:50:00,,85.78439085122041,0 days 00:35:00
6,-50,555,609,86.33,86.3,1.5,0.0,2017-01-12 11:25:00,2017-01-12 15:55:00,87.05912778557102,83.46348885771593,0 days 04:30:00
7,-50,555,609,86.33,86.3,1.5,0.0,2017-01-12 11:25:00,2017-01-12 15:55:00,87.05912778557102,84.90174442885797,0 days 04:30:00
8,-50,612,621,86.36,86.44,-4.0,-0.0,2017-01-13 09:40:00,2017-01-13 10:25:00,86.73015371360871,84.82938514556511,0 days 00:45:00
9,-50,612,621,86.36,86.44,-4.0,-0.0,2017-01-13 09:40:00,2017-01-13 10:25:00,86.73015371360871,85.58969257278255,0 days 00:45:00
10,-50,652,687,86.3,86.36,-3.0,-0.0,2017-01-13 13:00:00,2017-01-13 15:55:00,86.62385241221779,85.00459035112884,0 days 02:55:00
11,-50,652,687,86.3,86.36,-3.0,-0.0,2017-01-13 13:00:00,2017-01-13 15:55:00,86.62385241221779,85.65229517556442,0 days 02:55:00
12,-50,846,921,85.16,84.66,25.0,0.01,2017-01-19 09:40:00,2017-01-19 15:55:00,85.76685587756057,82.73257648975769,0 days 06:15:00
13,-50,846,921,85.16,84.66,25.0,0.01,2017-01-19 09:40:00,2017-01-19 15:55:00,85.76685587756057,83.94628824487884,0 days 06:15:00
14,-50,1208,1233,85.42,85.39,1.5,0.0,2017-01-25 13:50:00,2017-01-25 15:55:00,85.67519287248086,84.34922851007653,0 days 02:05:00
15,-50,1208,1233,85.42,85.39,1.5,0.0,2017-01-25 13:50:00,2017-01-25 15:55:00,85.67519287248086,84.87961425503826,0 days 02:05:00
16,-50,1253,1283,85.26,85.48,-11.0,-0.0,2017-01-26 11:05:00,2017-01-26 13:35:00,85.75204637401598,83.29181450393612,0 days 02:30:00
17,-50,1253,1283,85.26,85.48,-11.0,-0.0,2017-01-26 11:05:00,2017-01-26 13:35:00,85.75204637401598,84.27590725196806,0 days 02:30:00
18,-50,1332,1378,85.08,85.36,-14.0,-0.0,2017-01-27 11:10:00,2017-01-27 15:00:00,85.55371414638783,83.18514341444866,0 days 03:50:00
19,-50,1332,1378,85.08,85.36,-14.0,-0.0,2017-01-27 11:10:00,2017-01-27 15:00:00,85.55371414638783,84.13257170722433,0 days 03:50:00
20,-50,1410,1467,84.58,84.63,-2.5,-0.0,2017-01-30 11:10:00,2017-01-30 15:55:00,85.02260395894331,82.80958416422676,0 days 04:45:00
21,-50,1410,1467,84.58,84.63,-2.5,-0.0,2017-01-30 11:10:00,2017-01-30 15:55:00,85.02260395894331,83.69479208211338,0 days 04:45:00
22,-50,1472,1545,84.12,83.61,25.5,0.01,2017-01-31 09:50:00,2017-01-31 15:55:00,84.90691246199049,80.92235015203805,0 days 06:05:00
23,-50,1472,1545,84.12,83.61,25.5,0.01,2017-01-31 09:50:00,2017-01-31 15:55:00,84.90691246199049,82.51617507601902,0 days 06:05:00
24,-50,1550,1623,83.45,82.92,26.5,0.01,2017-02-01 09:50:00,2017-02-01 15:55:00,84.05960391664428,81.0115843334229,0 days 06:05:00
25,-50,1550,1623,83.45,82.92,26.5,0.01,2017-02-01 09:50:00,2017-02-01 15:55:00,84.05960391664428,82.23079216671145,0 days 06:05:00
26,-50,1705,1713,82.92,83.48,-28.03,-0.01,2017-02-03 09:45:00,2017-02-03 10:25:00,,80.82793477394155,0 days 00:40:00
27,-50,1705,1713,82.92,83.48,-28.03,-0.01,2017-02-03 09:45:00,2017-02-03 10:25:00,,81.88896738697078,0 days 00:40:00
28,-50,1787,1857,83.18,83.2,-1.0,-0.0,2017-02-06 10:05:00,2017-02-06 15:55:00,83.55433109202589,81.63267563189645,0 days 05:50:00
29,-50,1787,1857,83.18,83.2,-1.0,-0.0,2017-02-06 10:05:00,2017-02-06 15:55:00,83.55433109202589,82.40133781594822,0 days 05:50:00
30,-50,1873,1935,83.04,82.72,16.0,0.0,2017-02-07 10:45:00,2017-02-07 15:55:00,83.5049115363517,81.18035385459324,0 days 05:10:00
31,-50,1873,1935,83.04,82.72,16.0,0.0,2017-02-07 10:45:00,2017-02-07 15:55:00,83.5049115363517,82.11017692729662,0 days 05:10:00
32,-50,1938,2013,81.72,81.38,17.0,0.0,2017-02-08 09:40:00,2017-02-08 15:55:00,82.36659781053118,79.1336087578753,0 days 06:15:00
33,-50,1938,2013,81.72,81.38,17.0,0.0,2017-02-08 09:40:00,2017-02-08 15:55:00,82.36659781053118,80.42680437893765,0 days 06:15:00
34,-50,2161,2168,82.4,82.52,-6.0,-0.0,2017-02-10 15:15:00,2017-02-10 15:50:00,82.62451647768458,81.50193408926171,0 days 00:35:00
35,-50,2161,2168,82.4,82.52,-6.0,-0.0,2017-02-10 15:15:00,2017-02-10 15:50:00,82.62451647768458,81.95096704463086,0 days 00:35:00
36,-50,2254,2299,82.71,82.61,5.0,0.0,2017-02-14 10:00:00,2017-02-14 13:45:00,83.10872299480398,81.06510802078408,0 days 03:45:00
37,-50,2254,2299,82.71,82.61,5.0,0.0,2017-02-14 10:00:00,2017-02-14 13:45:00,83.10872299480398,81.88255401039204,0 days 03:45:00
38,-50,2426,2481,82.79,82.19,30.0,0.01,2017-02-16 11:20:00,2017-02-16 15:55:00,83.26072750636364,80.85708997454546,0 days 04:35:00
39,-50,2426,2481,82.79,82.19,30.0,0.01,2017-02-16 11:20:00,2017-02-16 15:55:00,83.26072750636364,81.81854498727273,0 days 04:35:00
40,-50,2484,2559,81.89,81.58,15.5,0.0,2017-02-17 09:40:00,2017-02-17 15:55:00,82.30092311126693,80.2463075549323,0 days 06:15:00
